type,distance_cm
direct_peak,12.259143
direct_peak,11.410658
direct_peak,13.049112
direct_peak,12.668757
direct_peak,10.386625
direct_peak,10.386625
direct_peak,12.142111
direct_peak,12.142111
direct_peak,10.094044
direct_peak,10.094044
direct_peak,10.503657
direct_peak,10.474399
direct_peak,11.995820
direct_peak,11.995820
direct_peak,9.977011
direct_peak,9.918495
direct_peak,9.918495
direct_peak,11.820272
direct_peak,9.625914
direct_peak,9.567398
incident_peak,8.777429
incident_peak,8.601881
incident_peak,8.484848
incident_peak,8.338558
incident_peak,8.133751
incident_peak,13.780564
incident_peak,7.870428
incident_peak,13.809822
incident_peak,7.636364
incident_peak,13.663532
incident_peak,7.724138
incident_peak,13.605016
incident_peak,7.928945
incident_peak,13.751306
incident_peak,7.987461
incident_peak,13.926855
incident_peak,7.870428
incident_peak,13.985371
incident_peak,7.694880
incident_peak,13.897597
incident_peak,7.607106
incident_peak,13.370951
incident_peak,7.841170
incident_peak,12.317659
incident_peak,8.631139
incident_peak,12.580982
incident_peak,8.455590
incident_peak,13.370951
incident_peak,8.045977
incident_peak,13.926855
incident_peak,7.665622
incident_peak,7.782654
incident_peak,7.928945
incident_peak,9.128527
incident_peak,11.966562
incident_peak,10.913271
incident_peak,10.094044
incident_peak,12.171369
incident_peak,8.952978
incident_peak,13.078370
incident_peak,8.221526
incident_peak,13.575758
incident_peak,7.724138
