start_frame,end_frame_exclusive,center_time_s,start_time_s,end_time_s,incident_energy,reflected_energy,reflection_energy_ratio,reflection_amplitude_ratio_sqrt,fft_incident_lambda_cm,fft_incident_period_s,stable_candidate,selected_low_reflection_window
0,60,0.9833333333333333,0.0,1.9666666666666666,555628.5284322853,993145.6103514119,1.7874273179485365,1.3369470138896815,11.886668365282949,5.688888888888889,False,False
8,68,1.25,0.26666666666666666,2.2333333333333334,6900738.08990111,2428983.7222735966,0.35198897431396425,0.5932865869998784,11.391390516729492,5.688888888888889,False,False
16,76,1.5166666666666666,0.5333333333333333,2.5,41379480.15499632,6555546.724389687,0.1584250623699086,0.3980264593841829,45.56556206691797,0.4740740740740741,False,False
24,84,1.7833333333333332,0.8,2.7666666666666666,129766640.75483847,11595585.976599988,0.08935721776528792,0.29892677659468364,45.56556206691797,0.4876190476190476,False,False
32,92,2.05,1.0666666666666667,3.033333333333333,257118427.3479851,13093763.565991685,0.050925029765643885,0.22566574787867982,39.056196057358264,0.4876190476190476,True,False
40,100,2.3166666666666664,1.3333333333333333,3.3,400230317.0973046,13971514.889678579,0.034908687055513095,0.18683866584707004,34.174171550188476,0.4740740740740741,True,False
48,108,2.5833333333333335,1.6,3.566666666666667,509388330.2280661,15421531.470157318,0.03027460692562923,0.1739959968666786,34.174171550188476,0.4740740740740741,True,True
56,116,2.85,1.8666666666666667,3.8333333333333335,584657978.6397393,29423129.468913656,0.050325370633561316,0.22433316882164642,34.174171550188476,0.4740740740740741,True,False
64,124,3.1166666666666663,2.1333333333333333,4.1,651525292.7092996,66724434.75369118,0.10241265458202646,0.3200197721735744,34.174171550188476,0.4740740740740741,True,False
72,132,3.383333333333333,2.4,4.366666666666666,714333475.5077695,136719809.26341733,0.19139493521038312,0.4374870686207572,34.174171550188476,0.4740740740740741,True,False
80,140,3.6500000000000004,2.6666666666666665,4.633333333333334,755148389.787788,253615373.41472164,0.3358483933018684,0.5795242818915083,34.174171550188476,0.4740740740740741,True,False
88,148,3.916666666666667,2.933333333333333,4.9,747708796.089826,366251104.27565706,0.48983120994561297,0.699879425290966,39.056196057358264,0.4740740740740741,True,False
96,156,4.183333333333334,3.2,5.166666666666667,722120973.3554772,470485306.06014466,0.6515325318331943,0.8071756511647228,39.056196057358264,0.4740740740740741,True,False
104,164,4.45,3.466666666666667,5.433333333333334,673583442.9055662,577769754.43948,0.8577552796535722,0.9261507866722202,39.056196057358264,0.4740740740740741,True,False
