kind,frame,time_s,x1_px,x2_px,x1_cm,x2_cm,spacing_cm,eta1_cm,eta2_cm,from_stable_window,used_for_summary
直接未分离峰距,101,3.366667,222.029576,935.727215,8.092135,34.103704,26.011569,0.635439,0.584098,1,1
直接未分离峰距,102,3.400000,237.769748,998.923114,8.665805,36.406955,27.741150,0.585705,0.585876,1,1
直接未分离峰距,103,3.433333,295.674864,1056.358664,10.776226,38.500262,27.724036,0.501017,0.572056,1,1
直接未分离峰距,104,3.466667,347.463935,1105.568089,12.663741,40.293759,27.630018,0.699103,0.529431,1,1
直接未分离峰距,115,3.833333,233.912244,1088.591940,8.525213,39.675043,31.149830,0.603225,0.869156,1,1
直接未分离峰距,116,3.866667,234.166698,1089.754249,8.534487,39.717405,31.182918,0.607501,0.873938,1,1
直接未分离峰距,117,3.900000,235.133301,1128.218517,8.569716,41.119281,32.549565,0.515603,0.826068,1,1
直接未分离峰距,118,3.933333,312.846957,1199.286165,11.402084,43.709427,32.307343,0.478659,0.680923,1,1
直接未分离峰距,125,4.166667,59.844970,838.101565,2.181122,30.545620,28.364498,0.191437,0.493992,0,0
直接未分离峰距,126,4.200000,59.830372,839.081631,2.180590,30.581340,28.400750,0.199084,0.491904,0,0
直接未分离峰距,129,4.300000,214.046364,1056.622357,7.801177,38.509873,30.708696,0.598714,0.443363,0,0
直接未分离峰距,130,4.333333,230.041010,1094.667981,8.384121,39.896492,31.512370,0.635492,0.647713,0,0
直接未分离峰距,131,4.366667,240.178931,1092.811201,8.753610,39.828819,31.075209,0.601505,0.754337,0,0
直接未分离峰距,132,4.400000,234.898356,1097.828233,8.561153,40.011671,31.450518,0.439604,0.770255,0,0
直接未分离峰距,133,4.433333,363.786433,1107.922600,13.258634,40.379572,27.120938,0.266354,0.198167,0,0
直接未分离峰距,134,4.466667,364.579690,1107.945669,13.287545,40.380413,27.092867,0.268399,0.181722,0,0
直接未分离峰距,138,4.600000,71.769490,706.693190,2.615725,25.756283,23.140558,-0.483599,1.188204,0,0
直接未分离峰距,139,4.633333,97.025970,624.742121,3.536228,22.769478,19.233250,-0.194409,1.047051,0,0
直接未分离峰距,140,4.666667,113.399868,655.271614,4.132995,23.882162,19.749168,0.085436,0.758818,0,0
直接未分离峰距,141,4.700000,97.425847,674.329559,3.550802,24.576752,21.025950,0.159606,0.407218,0,0
直接未分离峰距,142,4.733333,200.133799,683.125662,7.294117,24.897337,17.603219,0.408474,-0.008025,0,0
直接未分离峰距,142,4.733333,683.125662,1179.061868,24.897337,42.972328,18.074992,-0.008025,0.260138,0,0
直接未分离峰距,143,4.766667,227.143935,1163.298864,8.278534,42.397827,34.119293,0.602956,0.569940,0,0
直接未分离峰距,144,4.800000,241.562984,1067.243640,8.804054,38.896978,30.092925,0.697256,0.909227,0,0
直接未分离峰距,148,4.933333,238.459598,1103.532055,8.690947,40.219553,31.528606,0.363298,0.377504,0,0
直接未分离峰距,149,4.966667,230.515768,916.928752,8.401424,33.418571,25.017147,0.159992,0.227462,0,0
分离后入射剖面峰距,102,3.400000,246.254669,1005.977911,8.975048,36.664075,27.689028,0.502926,0.540561,1,1
分离后入射剖面峰距,103,3.433333,301.294697,1055.602100,10.981048,38.472688,27.491641,0.554303,0.540360,1,1
分离后入射剖面峰距,104,3.466667,348.304250,1097.150061,12.694367,39.986954,27.292586,0.662768,0.482766,1,1
分离后入射剖面峰距,105,3.500000,392.671670,1183.610475,14.311391,43.138108,28.826716,0.781795,0.437388,1,1
分离后入射剖面峰距,106,3.533333,443.428721,1207.326813,16.161293,44.002478,27.841185,0.893217,0.362807,1,1
分离后入射剖面峰距,116,3.866667,246.763872,1099.620603,8.993606,40.076996,31.083390,0.418143,0.702236,1,1
分离后入射剖面峰距,117,3.900000,288.390528,1158.011705,10.510740,42.205130,31.694390,0.451224,0.726337,1,1
分离后入射剖面峰距,118,3.933333,320.629754,1188.912753,11.685737,43.331356,31.645619,0.490766,0.760375,1,1
分离后入射剖面峰距,119,3.966667,358.370036,1212.063555,13.061227,44.175114,31.113887,0.541771,0.736513,1,1
分离后入射剖面峰距,88,2.933333,261.897930,1170.440956,9.545185,42.658129,33.112944,0.462511,0.262158,0,0
分离后入射剖面峰距,89,2.966667,311.301574,1178.525398,11.345760,42.952776,31.607016,0.539930,0.270446,0,0
分离后入射剖面峰距,90,3.000000,353.853484,1189.252843,12.896616,43.343751,30.447135,0.653890,0.234675,0,0
分离后入射剖面峰距,91,3.033333,398.176098,1202.601209,14.512007,43.830248,29.318241,0.757951,0.162529,0,0
分离后入射剖面峰距,131,4.366667,275.214991,1089.769954,10.030541,39.717977,29.687436,0.379083,0.457165,0,0
分离后入射剖面峰距,132,4.400000,316.784011,1161.842272,11.545574,42.344739,30.799165,0.409686,0.451549,0,0
分离后入射剖面峰距,133,4.433333,345.549280,1186.449300,12.593959,43.241572,30.647613,0.410560,0.414226,0,0
分离后入射剖面峰距,134,4.466667,382.680763,1204.941406,13.947261,43.915539,29.968278,0.402944,0.352129,0,0
分离后入射剖面峰距,140,4.666667,107.101526,802.039210,3.903444,29.231284,25.327840,0.189027,0.656112,0,0
分离后入射剖面峰距,141,4.700000,131.283906,847.111624,4.784800,30.874002,26.089202,0.284654,0.587280,0,0
分离后入射剖面峰距,142,4.733333,154.569361,887.549597,5.633466,32.347813,26.714347,0.325578,0.481644,0,0
分离后入射剖面峰距,143,4.766667,177.504897,999.549044,6.469380,36.429767,29.960388,0.321556,0.537344,0,0
分离后入射剖面峰距,147,4.900000,326.431921,1129.729135,11.897204,41.174337,29.277133,0.344905,0.577712,0,0
分离后入射剖面峰距,148,4.933333,362.438500,1168.703432,13.209507,42.594803,29.385295,0.367769,0.549199,0,0
分离后入射剖面峰距,149,4.966667,406.206608,1195.791746,14.804689,43.582069,28.777380,0.399913,0.474044,0,0
