frame,time_s,incident_energy_cm2,reflected_energy_cm2,reflection_incident_energy_ratio,in_stable_window
0,0.000000,0.0046539153,0.0044066780,0.9468754530,0
1,0.033333,0.0044858833,0.0042405329,0.9453061223,0
2,0.066667,0.0041695405,0.0039280606,0.9420847893,0
3,0.100000,0.0037404620,0.0035050104,0.9370527864,0
4,0.133333,0.0032434016,0.0030163417,0.9299932718,0
5,0.166667,0.0027245479,0.0025084217,0.9206744432,0
6,0.200000,0.0022245743,0.0020220024,0.9089390039,0
7,0.233333,0.0017738782,0.0015873914,0.8948705196,0
8,0.266667,0.0013906257,0.0012224396,0.8790572286,0
9,0.300000,0.0010813932,0.0009331513,0.8629158735,0
10,0.333333,0.0008436186,0.0007161474,0.8488995433,0
11,0.366667,0.0006688526,0.0005619721,0.8402032852,0
12,0.400000,0.0005459089,0.0004583379,0.8395868540,0
13,0.433333,0.0004633263,0.0003927049,0.8475773931,0
14,0.466667,0.0004109223,0.0003539610,0.8613818884,0
15,0.500000,0.0003805042,0.0003332422,0.8757910728,0
16,0.533333,0.0003659542,0.0003240783,0.8855706453,0
17,0.566667,0.0003629325,0.0003220999,0.8874927163,0
18,0.600000,0.0003684347,0.0003245565,0.8809066415,0
19,0.633333,0.0003803879,0.0003298539,0.8671513796,0
20,0.666667,0.0003976799,0.0003375163,0.8487136960,0
21,0.700000,0.0004193799,0.0003473204,0.8281759024,0
22,0.733333,0.0004443338,0.0003588289,0.8075659275,0
23,0.766667,0.0004716153,0.0003718250,0.7884074450,0
24,0.800000,0.0005003138,0.0003860775,0.7716707587,0
25,0.833333,0.0005294142,0.0004011947,0.7578088045,0
26,0.866667,0.0005577811,0.0004165909,0.7468715906,0
27,0.900000,0.0005842089,0.0004315280,0.7386536598,0
28,0.933333,0.0006074930,0.0004451821,0.7328184843,0
29,0.966667,0.0006265086,0.0004567173,0.7289880514,0
30,1.000000,0.0006402892,0.0004653729,0.7268167138,0
31,1.033333,0.0006480981,0.0004705570,0.7260583639,0
32,1.066667,0.0006494802,0.0004719238,0.7266176939,0
33,1.100000,0.0006442904,0.0004694144,0.7285758853,0
34,1.133333,0.0006326958,0.0004632566,0.7321949005,0
35,1.166667,0.0006151529,0.0004539233,0.7379032373,0
36,1.200000,0.0005923624,0.0004420546,0.7462570667,0
37,1.233333,0.0005652120,0.0004283609,0.7578764558,0
38,1.266667,0.0005347155,0.0004135304,0.7733653188,0
39,1.300000,0.0005019499,0.0003981612,0.7932290435,0
40,1.333333,0.0004679959,0.0003827231,0.8177916408,0
41,1.366667,0.0004338843,0.0003675537,0.8471236825,0
42,1.400000,0.0004005516,0.0003528868,0.8810022473,0
43,1.433333,0.0003688033,0.0003389017,0.9189226627,0
44,1.466667,0.0003392901,0.0003257700,0.9601517320,0
45,1.500000,0.0003124967,0.0003136825,1.0037945509,0
46,1.533333,0.0002887491,0.0003028544,1.0488495827,0
47,1.566667,0.0002682460,0.0002935170,1.0942080021,0
48,1.600000,0.0002511198,0.0002859021,1.1385086775,0
49,1.633333,0.0002375298,0.0002802292,1.1797642708,0
50,1.666667,0.0002277822,0.0002767075,1.2147896290,0
51,1.700000,0.0002224707,0.0002755635,1.2386510372,0
52,1.733333,0.0002226361,0.0002770938,1.2446043491,0
53,1.766667,0.0002299397,0.0002817309,1.2252379656,0
54,1.800000,0.0002468419,0.0002901084,1.1752800941,0
55,1.833333,0.0002767797,0.0003031046,1.0951113701,0
56,1.866667,0.0003243425,0.0003218378,0.9922776818,0
57,1.900000,0.0003954487,0.0003476004,0.8790024519,0
58,1.933333,0.0004975389,0.0003817393,0.7672552466,0
59,1.966667,0.0006398298,0.0004255081,0.6650332808,0
60,2.000000,0.0008337080,0.0004799209,0.5756462216,0
61,2.033333,0.0010933318,0.0005456389,0.4990606606,0
62,2.066667,0.0014364612,0.0006229149,0.4336454868,0
63,2.100000,0.0018854385,0.0007115956,0.3774164915,0
64,2.133333,0.0024681534,0.0008111557,0.3286488056,0
65,2.166667,0.0032187321,0.0009207256,0.2860522866,0
66,2.200000,0.0041776197,0.0010390821,0.2487258613,0
67,2.233333,0.0053907153,0.0011645881,0.2160359174,0
68,2.266667,0.0069073145,0.0012951003,0.1874969304,0
69,2.300000,0.0087768156,0.0014278872,0.1626885384,0
70,2.333333,0.0110444641,0.0015596329,0.1412139982,0
71,2.366667,0.0137467161,0.0016865905,0.1226904318,0
72,2.400000,0.0169070754,0.0018049182,0.1067551970,0
73,2.433333,0.0205333345,0.0019111794,0.0930769145,0
74,2.466667,0.0246171206,0.0020029377,0.0813636035,0
75,2.500000,0.0291361976,0.0020793318,0.0713659301,0
76,2.533333,0.0340595245,0.0021414827,0.0628747046,0
77,2.566667,0.0393542089,0.0021925974,0.0557144322,0
78,2.600000,0.0449929722,0.0022376801,0.0497339927,0
79,2.633333,0.0509603098,0.0022828479,0.0447965860,0
80,2.666667,0.0572557449,0.0023343395,0.0407704003,0
81,2.700000,0.0638929754,0.0023973873,0.0375219211,0
82,2.733333,0.0708946809,0.0024751767,0.0349134319,0
83,2.766667,0.0782836974,0.0025681176,0.0328052677,0
84,2.800000,0.0860722587,0.0026736064,0.0310623478,0
85,2.833333,0.0942516252,0.0027863600,0.0295629911,0
86,2.866667,0.1027843431,0.0028992719,0.0282073300,0
87,2.900000,0.1116009504,0.0030046382,0.0269230530,0
88,2.933333,0.1206018925,0.0030955265,0.0256673135,0
89,2.966667,0.1296645701,0.0031670451,0.0244249068,0
90,3.000000,0.1386546642,0.0032172620,0.0232034177,0
91,3.033333,0.1474402547,0.0032475737,0.0220263712,0
92,3.066667,0.1559066176,0.0032624472,0.0209256485,0
93,3.100000,0.1639693528,0.0032686146,0.0199343022,0
94,3.133333,0.1715834737,0.0032738969,0.0190804899,1
95,3.166667,0.1787466556,0.0032858406,0.0183826685,1
96,3.200000,0.1854956597,0.0033103991,0.0178462341,1
97,3.233333,0.1918962896,0.0033509571,0.0174623337,1
98,3.266667,0.1980273426,0.0034080241,0.0172098670,1
