frame,ruler_y1_px,ruler_y2_px,strip,period_px,px_per_cm,strength,used
0,499,533,上沿毫米刻度,2.742812,27.428118,390.397886,1
0,499,533,上沿扩展毫米刻度,2.737880,27.378804,196.925607,1
0,499,533,下沿毫米刻度,2.746259,27.462586,290.292531,1
0,499,533,下沿扩展毫米刻度,2.746280,27.462798,312.576377,1
0,499,533,十厘米数字标签辅助检查,,27.044691,"[46.49826989619377, 321.6476868327402, 593.8780487804878, 862.5415162454874, 1126.528384279476]",0
15,499,534,上沿毫米刻度,2.739492,27.394917,410.400905,1
15,499,534,上沿扩展毫米刻度,2.737667,27.376668,227.468998,1
15,499,534,下沿毫米刻度,2.743915,27.439145,279.254130,1
15,499,534,下沿扩展毫米刻度,2.744748,27.447476,294.008963,1
15,499,534,十厘米数字标签辅助检查,,27.047581,"[47.006024096385545, 322.0946502057613, 593.9638157894736, 863.0462633451957, 1126.345054945055]",0
31,499,534,上沿毫米刻度,2.740320,27.403203,389.909591,1
31,499,534,上沿扩展毫米刻度,2.737164,27.371640,215.615539,1
31,499,534,下沿毫米刻度,2.743878,27.438779,284.858125,1
31,499,534,下沿扩展毫米刻度,2.743670,27.436702,298.520917,1
31,499,534,十厘米数字标签辅助检查,,27.234648,"[46.93811074918567, 321.5809128630705, 593.927392739274, 862.7239057239058]",0
47,498,533,上沿毫米刻度,2.743183,27.431827,389.858856,1
47,498,533,上沿扩展毫米刻度,2.740703,27.407033,228.429143,1
47,498,533,下沿毫米刻度,2.747722,27.477222,281.209710,1
47,498,533,下沿扩展毫米刻度,2.746870,27.468695,304.143969,1
47,498,533,十厘米数字标签辅助检查,,27.058618,"[46.467576791808874, 321.23333333333335, 593.68, 862.4056939501779, 1126.058568329718]",0
63,499,532,上沿毫米刻度,2.742628,27.426276,364.343303,1
63,499,532,上沿扩展毫米刻度,2.735203,27.352033,176.528913,1
63,499,532,下沿毫米刻度,2.748468,27.484682,263.455251,1
63,499,532,下沿扩展毫米刻度,2.746700,27.467003,290.333942,1
63,499,532,十厘米数字标签辅助检查,,27.101391,"[46.43589743589744, 320.8714859437751, 593.8345323741007, 862.8993055555555, 1126.2260869565218]",0
79,498,532,上沿毫米刻度,2.742562,27.425625,390.389047,1
79,498,532,上沿扩展毫米刻度,2.713347,27.133470,185.429195,1
79,498,532,下沿毫米刻度,2.745876,27.458761,247.775059,1
79,498,532,下沿扩展毫米刻度,2.745379,27.453792,266.147627,1
79,498,532,十厘米数字标签辅助检查,,27.074957,"[46.08783783783784, 321.1835205992509, 593.7735849056604, 862.6826568265683, 1125.6402877697842]",0
94,498,532,上沿毫米刻度,2.743936,27.439361,369.014817,1
94,498,532,上沿扩展毫米刻度,2.744365,27.443650,173.068549,1
94,498,532,下沿毫米刻度,2.746343,27.463431,244.047190,1
94,498,532,下沿扩展毫米刻度,2.745554,27.455539,253.911915,1
94,498,532,十厘米数字标签辅助检查,,27.030550,"[46.66775244299674, 321.9153225806452, 594.0428571428571, 862.5263157894736, 1126.5023255813953]",0
110,498,532,上沿毫米刻度,2.741259,27.412588,393.527838,1
110,498,532,上沿扩展毫米刻度,2.742188,27.421876,175.943418,1
110,498,532,下沿毫米刻度,2.746556,27.465565,249.658581,1
110,498,532,下沿扩展毫米刻度,2.745975,27.459749,264.232257,1
110,498,532,十厘米数字标签辅助检查,,26.997703,"[47.60327868852459, 322.74015748031496, 594.2707581227437, 862.694214876033, 1126.4188235294118]",0
126,498,532,上沿毫米刻度,2.741557,27.415573,365.374563,1
126,498,532,上沿扩展毫米刻度,2.744077,27.440774,167.218831,1
126,498,532,下沿毫米刻度,2.743020,27.430199,254.143715,1
126,498,532,下沿扩展毫米刻度,2.743000,27.430000,267.246299,1
126,498,532,十厘米数字标签辅助检查,,27.040675,"[47.38566552901024, 321.9655172413793, 594.2768166089966, 862.7790262172284, 1125.5390428211588]",0
142,498,532,上沿毫米刻度,2.743113,27.431132,364.598338,1
142,498,532,上沿扩展毫米刻度,2.744780,27.447799,173.869079,1
142,498,532,下沿毫米刻度,2.742056,27.420562,232.564620,1
142,498,532,下沿扩展毫米刻度,2.742079,27.420786,245.782308,1
142,498,532,十厘米数字标签辅助检查,,27.020365,"[47.36426116838488, 322.60714285714283, 594.0282685512367, 863.0144404332129, 1126.880733944954]",0
158,498,532,上沿毫米刻度,2.743177,27.431775,362.012734,1
158,498,532,上沿扩展毫米刻度,2.744529,27.445293,161.931182,1
158,498,532,下沿毫米刻度,2.744433,27.444327,228.736501,1
158,498,532,下沿扩展毫米刻度,2.744966,27.449659,245.261576,1
158,498,532,十厘米数字标签辅助检查,,27.007271,"[47.58303886925795, 322.86206896551727, 595.2592592592592, 863.0074906367041, 1127.1764705882354]",0
174,498,532,上沿毫米刻度,2.742728,27.427279,363.300273,1
174,498,532,上沿扩展毫米刻度,2.744078,27.440783,162.883929,1
174,498,532,下沿毫米刻度,2.743515,27.435149,252.365134,1
174,498,532,下沿扩展毫米刻度,2.743870,27.438699,267.508251,1
174,498,532,十厘米数字标签辅助检查,,27.018153,"[47.52739726027397, 322.5471014492754, 594.2673611111111, 862.91015625, 1126.406779661017]",0
