frame,px_per_cm,ruler_y1,ruler_y2,strip_estimates
0,27.522825635292122,500,531,27.480|27.474|41.259|27.566
15,27.55418564199444,501,531,27.531|27.551|41.231|27.558
31,27.528698075629116,501,532,27.518|27.511|41.227|27.540
47,27.5909679609027,500,531,27.567|27.576|41.261|27.606
63,27.59641603800169,500,531,27.575|27.569|41.236|27.618
79,27.60192440494945,500,530,27.586|27.568|41.231|27.618
94,27.605626929831878,500,530,27.615|27.502|41.235|27.596
110,27.626625201983504,500,530,27.648|27.536|41.228|27.606
126,27.59461009084506,500,530,27.602|27.544|41.215|27.587
142,27.597161738059484,500,530,27.584|27.582|41.224|27.611
158,27.57799934708254,500,530,27.587|27.523|41.216|27.569
174,27.57613435355261,500,530,27.557|27.567|41.207|27.585
