frame,time_s,incident_energy_px2,reflected_energy_px2,reflected_incident_energy_ratio,in_low_reflection_window
0,0.0,67.34946,24.338947,0.361383,False
1,0.03333333333333333,66.85098,22.416954,0.3353272,False
2,0.06666666666666667,66.661736,20.492893,0.30741614,False
3,0.1,67.60659,18.447945,0.272872,False
4,0.13333333333333333,69.39641,16.466751,0.23728535,False
5,0.16666666666666666,70.72983,14.3923435,0.20348337,False
6,0.2,72.51503,12.382607,0.17075919,False
7,0.23333333333333334,74.37654,10.353699,0.13920651,False
8,0.26666666666666666,76.3519,8.329323,0.10909124,False
9,0.3,82.33285,8.535067,0.10366539,False
10,0.3333333333333333,88.35371,8.7883835,0.099468194,False
11,0.36666666666666664,94.20541,8.852775,0.09397311,False
12,0.4,100.33877,9.165693,0.09134748,False
13,0.43333333333333335,106.63067,9.458028,0.088698946,True
14,0.4666666666666667,112.29634,9.660162,0.08602384,True
15,0.5,117.93839,9.876364,0.08374172,True
16,0.5333333333333333,124.49144,10.02416,0.08052088,True
17,0.5666666666666667,129.94867,10.242313,0.07881815,True
18,0.6,135.22742,10.386064,0.07680442,True
19,0.6333333333333333,141.19084,10.549696,0.07471941,True
20,0.6666666666666666,146.45885,10.698981,0.07305111,True
21,0.7,151.40025,10.808797,0.0713922,True
22,0.7333333333333333,156.38135,10.961823,0.070096746,True
23,0.7666666666666667,161.01869,11.053617,0.06864803,True
24,0.8,164.84372,11.226803,0.068105735,True
25,0.8333333333333334,168.59413,11.466086,0.068009995,True
26,0.8666666666666667,171.41055,11.506999,0.067131214,True
27,0.9,172.94193,11.688513,0.06758635,True
28,0.9333333333333333,174.13576,12.082136,0.06938343,True
29,0.9666666666666667,173.70877,12.457311,0.07171377,True
30,1.0,172.28564,12.996082,0.07543334,True
31,1.0333333333333334,170.78319,13.565465,0.079430915,True
32,1.0666666666666667,168.70537,14.283469,0.08466517,True
33,1.1,166.44398,15.235964,0.09153809,False
34,1.1333333333333333,163.95499,16.210636,0.09887248,False
35,1.1666666666666667,161.20062,17.367838,0.107740514,False
36,1.2,158.28297,18.581318,0.11739303,False
37,1.2333333333333334,155.80417,19.929556,0.12791413,False
38,1.2666666666666666,153.18661,21.364288,0.13946576,False
39,1.3,150.60616,22.75103,0.15106308,False
40,1.3333333333333333,147.93665,24.043718,0.16252713,False
41,1.3666666666666667,144.26888,24.982716,0.17316775,False
42,1.4,141.20692,25.758198,0.18241455,False
43,1.4333333333333333,138.30383,26.339005,0.19044305,False
44,1.4666666666666666,134.74182,26.76296,0.198624,False
45,1.5,131.24432,27.315168,0.20812456,False
46,1.5333333333333334,127.53079,27.730423,0.217441,False
47,1.5666666666666667,124.34398,28.240204,0.22711356,False
48,1.6,122.33066,29.157598,0.2383507,False
49,1.6333333333333333,120.802475,30.486353,0.2523653,False
50,1.6666666666666667,118.718994,31.974808,0.26933187,False
51,1.7,117.54271,33.711742,0.2868042,False
52,1.7333333333333334,117.52271,35.834354,0.3049143,False
53,1.7666666666666666,117.06656,38.135437,0.32575858,False
54,1.8,117.973564,41.202663,0.34925336,False
55,1.8333333333333333,119.362236,44.309486,0.37121862,False
56,1.8666666666666667,119.99499,47.34315,0.39454275,False
57,1.9,120.690605,50.266045,0.4164868,False
58,1.9333333333333333,121.19204,52.952282,0.43692872,False
59,1.9666666666666666,121.195786,55.503235,0.4579634,False
60,2.0,120.357834,57.613148,0.47868216,False
61,2.033333333333333,118.263664,59.859253,0.50615084,False
62,2.066666666666667,114.99337,60.741055,0.52821356,False
63,2.1,112.40439,60.96896,0.5424073,False
64,2.1333333333333333,110.26962,62.244682,0.56447715,False
65,2.1666666666666665,106.538734,63.1383,0.59263235,False
66,2.2,103.30017,65.14425,0.6306306,False
67,2.2333333333333334,100.478836,67.56149,0.6723952,False
68,2.2666666666666666,96.99429,69.510574,0.716646,False
69,2.3,93.52756,70.74011,0.7563558,False
70,2.3333333333333335,92.2571,73.38541,0.7954445,False
71,2.3666666666666667,92.58823,77.564674,0.837738,False
72,2.4,91.29912,79.81035,0.8741634,False
73,2.433333333333333,91.953575,83.914734,0.91257715,False
74,2.466666666666667,91.04909,85.55033,0.93960667,False
75,2.5,90.49389,85.76516,0.9477453,False
76,2.533333333333333,90.64971,86.96737,0.9593783,False
77,2.566666666666667,88.82635,87.58827,0.9860619,False
78,2.6,91.16797,88.69597,0.9728852,False
79,2.6333333333333333,94.25802,89.86197,0.9533615,False
80,2.6666666666666665,96.04797,89.40277,0.9308137,False
81,2.7,97.737335,88.40503,0.90451646,False
82,2.7333333333333334,99.380066,87.22898,0.87773114,False
83,2.7666666666666666,101.61609,86.69799,0.85319155,False
84,2.8,102.31505,84.813545,0.828945,False
