method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
incident_direction_filtered,65,2.1666666666666665,15.700000000000001,32.0,16.299999999999997,2,0.22523578505639522
incident_direction_filtered,66,2.2,16.25,32.2,15.950000000000003,2,0.2298002707873875
incident_direction_filtered,67,2.2333333333333334,17.0,32.4,15.399999999999999,2,0.23703286667443255
incident_direction_filtered,68,2.2666666666666666,17.8,32.550000000000004,14.750000000000004,2,0.24598563987561758
incident_direction_filtered,69,2.3,18.55,32.7,14.150000000000002,2,0.2557096502121674
incident_direction_filtered,252,8.4,2.85,34.1,31.25,2,0.2477788047682395
incident_direction_filtered,253,8.433333333333334,3.0500000000000003,34.25,31.2,2,0.2493925999042347
incident_direction_filtered,254,8.466666666666667,3.25,34.4,31.15,2,0.24912055124819274
incident_direction_filtered,255,8.5,3.45,34.550000000000004,31.100000000000005,2,0.24700337250092103
incident_direction_filtered,256,8.533333333333333,3.6500000000000004,34.7,31.050000000000004,2,0.2430906740404399
incident_direction_filtered,257,8.566666666666666,3.85,34.85,31.0,2,0.2374251183145997
incident_direction_filtered,258,8.6,4.05,35.050000000000004,31.000000000000004,2,0.2300329897870358
incident_direction_filtered,259,8.633333333333333,4.25,35.2,30.950000000000003,2,0.22092460422145901
incident_direction_filtered,260,8.666666666666666,4.45,35.35,30.900000000000002,2,0.21010762309695638
incident_direction_filtered,261,8.7,4.65,35.45,30.800000000000004,2,0.19761625226119117
incident_direction_filtered,262,8.733333333333333,4.800000000000001,35.6,30.8,2,0.18356046545057775
incident_direction_filtered,263,8.766666666666667,5.0,35.75,30.75,2,0.16820323784580024
incident_direction_filtered,264,8.8,5.1000000000000005,35.85,30.75,2,0.15208168998112404
incident_direction_filtered,265,8.833333333333334,5.15,35.9,30.75,2,0.1361972957719437
incident_direction_filtered,279,9.3,2.1,24.3,22.2,2,0.41936952967544344
incident_direction_filtered,280,9.333333333333334,2.3000000000000003,24.55,22.25,2,0.44920593131778574
incident_direction_filtered,281,9.366666666666667,2.5,24.8,22.3,2,0.4779068720831419
incident_direction_filtered,282,9.4,2.7,25.05,22.35,2,0.5055884942341792
incident_direction_filtered,283,9.433333333333334,2.9000000000000004,25.3,22.4,2,0.5324268973705476
incident_direction_filtered,284,9.466666666666667,3.1,25.55,22.45,2,0.5586371335910995
incident_direction_filtered,285,9.5,3.3000000000000003,25.75,22.45,2,0.5844528359282893
incident_direction_filtered,286,9.533333333333333,3.45,25.950000000000003,22.500000000000004,2,0.6101079585604509
incident_direction_filtered,287,9.566666666666666,3.6500000000000004,26.200000000000003,22.550000000000004,2,0.6358219234978524
incident_direction_filtered,288,9.6,3.85,26.400000000000002,22.55,2,0.6617890175562458
incident_direction_filtered,289,9.633333333333333,4.05,26.6,22.55,2,0.6881722818251956
incident_direction_filtered,290,9.666666666666666,4.2,26.8,22.6,2,0.7151015250246576
incident_direction_filtered,291,9.7,4.4,26.950000000000003,22.550000000000004,2,0.7426746036989895
incident_direction_filtered,292,9.733333333333333,4.55,27.150000000000002,22.6,2,0.7709608324862592
incident_direction_filtered,293,9.766666666666667,4.75,27.35,22.6,2,0.8000053394995522
incident_direction_filtered,294,9.8,4.9,27.5,22.6,2,0.82983332947043
incident_direction_filtered,295,9.833333333333334,5.1000000000000005,27.650000000000002,22.55,2,0.8604534895037744
incident_direction_filtered,296,9.866666666666667,5.25,27.85,22.6,2,0.8918600906676538
incident_direction_filtered,297,9.9,5.45,28.0,22.55,2,0.9240336399185045
incident_direction_filtered,298,9.933333333333334,5.6000000000000005,28.150000000000002,22.55,2,0.9569401835107517
incident_direction_filtered,299,9.966666666666667,5.75,28.3,22.55,2,0.9905295425977967
incident_direction_filtered,300,10.0,5.95,28.5,22.55,2,1.0247328789529477
incident_direction_filtered,301,10.033333333333333,6.1000000000000005,28.650000000000002,22.55,2,1.0594600555436864
incident_direction_filtered,302,10.066666666666666,6.25,28.8,22.55,2,1.094597283856608
incident_direction_filtered,303,10.1,6.45,28.950000000000003,22.500000000000004,2,1.130005542623864
incident_direction_filtered,304,10.133333333333333,6.6000000000000005,29.1,22.5,2,1.1655202104801408
incident_direction_filtered,305,10.166666666666666,6.75,29.3,22.55,2,1.2009522749516437
incident_direction_filtered,306,10.2,6.95,29.450000000000003,22.500000000000004,2,1.236091360593115
incident_direction_filtered,307,10.233333333333333,7.1000000000000005,29.6,22.5,2,1.2707106639905752
incident_direction_filtered,308,10.266666666666667,7.25,29.75,22.5,2,1.3045737037903362
incident_direction_filtered,309,10.3,7.45,29.900000000000002,22.450000000000003,2,1.3374426073064907
incident_direction_filtered,310,10.333333333333334,7.6000000000000005,30.05,22.45,2,1.3690874825880486
incident_direction_filtered,311,10.366666666666667,7.75,30.200000000000003,22.450000000000003,2,1.3992962869081704
incident_direction_filtered,312,10.4,7.95,30.400000000000002,22.450000000000003,2,1.4278845165228995
incident_direction_filtered,313,10.433333333333334,8.1,30.5,22.4,2,1.4547040189550675
incident_direction_filtered,314,10.466666666666667,8.25,30.650000000000002,22.400000000000002,2,1.4796502712033612
incident_direction_filtered,315,10.5,8.4,30.8,22.4,2,1.5026675709975024
incident_direction_filtered,316,10.533333333333333,8.6,30.950000000000003,22.35,2,1.523751743068261
incident_direction_filtered,317,10.566666666666666,8.75,31.1,22.35,2,1.5429501532313465
incident_direction_filtered,318,10.6,8.9,31.25,22.35,2,1.5603590318204712
incident_direction_filtered,319,10.633333333333333,9.1,31.35,22.25,2,1.5761183153698652
incident_direction_filtered,320,10.666666666666666,9.25,31.5,22.25,2,1.5904044026029527
incident_direction_filtered,321,10.7,9.4,31.650000000000002,22.25,2,1.6034213708963374
incident_direction_filtered,322,10.733333333333333,9.55,31.8,22.25,2,1.615391299108413
incident_direction_filtered,323,10.766666666666667,9.700000000000001,31.900000000000002,22.200000000000003,2,1.6265443834659485
incident_direction_filtered,324,10.8,9.9,32.050000000000004,22.150000000000006,2,1.6371095124086736
incident_direction_filtered,325,10.833333333333334,10.05,40.35,30.3,2,1.6473058875210338
incident_direction_filtered,326,10.866666666666667,10.200000000000001,40.5,30.299999999999997,2,1.6573361505316286
incident_direction_filtered,327,10.9,10.350000000000001,40.650000000000006,30.300000000000004,2,1.6673813152252492
incident_direction_filtered,328,10.933333333333334,10.5,40.800000000000004,30.300000000000004,2,1.67759762525531
incident_direction_filtered,329,10.966666666666667,10.700000000000001,40.900000000000006,30.200000000000003,2,1.6881152821339305
incident_direction_filtered,330,11.0,10.850000000000001,41.050000000000004,30.200000000000003,2,1.6990388284655638
incident_direction_filtered,331,11.033333333333333,11.0,41.2,30.200000000000003,2,1.7104488431071587
incident_direction_filtered,332,11.066666666666666,11.15,41.35,30.200000000000003,2,1.7224045170125462
incident_direction_filtered,333,11.1,11.350000000000001,41.5,30.15,2,1.7349466370211284
incident_direction_filtered,334,11.133333333333333,11.5,41.6,30.1,2,1.7481005124616114
incident_direction_filtered,335,11.166666666666666,11.65,41.75,30.1,2,1.761878435772038
incident_direction_filtered,336,11.2,11.850000000000001,41.900000000000006,30.050000000000004,2,1.7762813696760136
incident_direction_filtered,337,11.233333333333333,12.0,42.050000000000004,30.050000000000004,2,1.7912996920446396
incident_direction_filtered,338,11.266666666666667,12.15,42.2,30.050000000000004,2,1.8069129928068395
incident_direction_filtered,339,11.3,12.350000000000001,42.35,30.0,2,1.823089087443287
incident_direction_filtered,340,11.333333333333334,12.5,42.5,30.0,2,1.8397825668747356
incident_direction_filtered,341,11.366666666666667,12.65,42.650000000000006,30.000000000000007,2,1.8569333205027694
incident_direction_filtered,342,11.4,12.850000000000001,42.800000000000004,29.950000000000003,2,1.8744655266937833
incident_direction_filtered,343,11.433333333333334,13.0,42.95,29.950000000000003,2,1.8922875889369792
incident_direction_filtered,344,11.466666666666667,13.200000000000001,43.1,29.9,2,1.910293402934472
incident_direction_filtered,375,12.5,2.15,18.85,16.700000000000003,2,2.3645500581397534
incident_direction_filtered,376,12.533333333333333,2.3000000000000003,19.0,16.7,2,2.376923979247404
incident_direction_filtered,377,12.566666666666666,2.45,19.200000000000003,16.750000000000004,2,2.3887938355165534
incident_direction_filtered,378,12.6,2.6,19.400000000000002,16.8,2,2.4002227699466228
incident_direction_filtered,379,12.633333333333333,2.7,19.6,16.900000000000002,2,2.41130563053562
incident_direction_filtered,380,12.666666666666666,2.85,19.8,16.95,2,2.4221634651980697
incident_direction_filtered,381,12.7,3.0,20.0,17.0,2,2.432936460718753
incident_direction_filtered,382,12.733333333333333,3.1500000000000004,20.200000000000003,17.050000000000004,2,2.4437759540440935
incident_direction_filtered,383,12.766666666666667,3.3000000000000003,20.400000000000002,17.1,2,2.454836188091675
incident_direction_filtered,384,12.8,3.4000000000000004,20.6,17.200000000000003,2,2.466266458184763
incident_direction_filtered,385,12.833333333333334,3.5500000000000003,20.85,17.3,2,2.478204207723194
incident_direction_filtered,386,12.866666666666667,3.7,21.05,17.35,2,2.490769499988343
incident_direction_filtered,387,12.9,3.8000000000000003,21.3,17.5,2,2.5040611393878582
incident_direction_filtered,388,12.933333333333334,3.95,21.5,17.55,2,2.5181545626069592
incident_direction_filtered,389,12.966666666666667,4.1000000000000005,21.75,17.65,2,2.5331014860508834
incident_direction_filtered,390,13.0,4.2,22.0,17.8,2,2.5489311904279943
incident_direction_filtered,391,13.033333333333333,4.3500000000000005,22.25,17.9,2,2.565653246763035
incident_direction_filtered,392,13.066666666666666,4.45,22.5,18.05,2,2.5832614332765056
incident_direction_filtered,393,13.1,4.6000000000000005,22.75,18.15,2,2.6017385484163613
incident_direction_filtered,394,13.133333333333333,4.7,23.05,18.35,2,2.621061782148236
incident_direction_filtered,395,13.166666666666666,4.8500000000000005,23.3,18.45,2,2.6412082614002865
incident_direction_filtered,396,13.2,4.95,23.55,18.6,2,2.6621603405892467
incident_direction_filtered,397,13.233333333333333,5.1000000000000005,23.85,18.75,2,2.6839101767821854
incident_direction_filtered,398,13.266666666666667,5.2,24.1,18.900000000000002,2,2.706463128804304
incident_direction_filtered,399,13.3,5.3500000000000005,24.400000000000002,19.05,2,2.7298395682688845
incident_direction_filtered,400,13.333333333333334,5.45,24.650000000000002,19.200000000000003,2,2.7540748003882105
incident_direction_filtered,401,13.366666666666667,5.6000000000000005,24.900000000000002,19.3,2,2.7792169652187604
incident_direction_filtered,402,13.4,5.7,25.200000000000003,19.500000000000004,2,2.8053230135404474
incident_direction_filtered,403,13.433333333333334,5.8500000000000005,25.450000000000003,19.6,2,2.8324530995085273
incident_direction_filtered,404,13.466666666666667,6.0,25.700000000000003,19.700000000000003,2,2.860663967055958
incident_direction_filtered,405,13.5,6.1000000000000005,25.950000000000003,19.85,2,2.8900020864636113
incident_direction_filtered,406,13.533333333333333,6.25,26.200000000000003,19.950000000000003,2,2.920497383060494
incident_direction_filtered,407,13.566666666666666,6.4,26.450000000000003,20.050000000000004,2,2.9521583660864823
