method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
raw_no_direction_filter,61,2.033333333333333,15.05,30.700000000000003,15.650000000000002,2,0.43445783853530884
raw_no_direction_filter,62,2.066666666666667,15.05,30.450000000000003,15.400000000000002,2,0.3129100501537323
raw_no_direction_filter,63,2.1,15.05,30.450000000000003,15.400000000000002,2,0.2947477102279663
raw_no_direction_filter,64,2.1333333333333333,15.0,30.650000000000002,15.650000000000002,2,0.31939172744750977
raw_no_direction_filter,69,2.3,15.05,30.55,15.5,2,0.41525691747665405
raw_no_direction_filter,70,2.3333333333333335,15.05,30.5,15.45,2,0.24672101438045502
raw_no_direction_filter,71,2.3666666666666667,15.100000000000001,41.95,26.85,2,0.1859346628189087
raw_no_direction_filter,72,2.4,15.200000000000001,42.0,26.799999999999997,2,0.26374372839927673
raw_no_direction_filter,100,3.3333333333333335,25.3,41.050000000000004,15.750000000000004,2,0.3329455256462097
raw_no_direction_filter,101,3.3666666666666667,25.5,40.85,15.350000000000001,2,0.5108679533004761
raw_no_direction_filter,102,3.4,25.35,41.0,15.649999999999999,2,0.48593586683273315
raw_no_direction_filter,104,3.466666666666667,15.100000000000001,41.5,26.4,2,0.4165203273296356
raw_no_direction_filter,106,3.533333333333333,14.65,39.25,24.6,2,0.3362908959388733
raw_no_direction_filter,109,3.6333333333333333,25.25,41.35,16.1,2,0.30422815680503845
raw_no_direction_filter,110,3.6666666666666665,25.1,41.25,16.15,2,0.3439902663230896
raw_no_direction_filter,111,3.7,25.1,41.0,15.899999999999999,2,0.4003952145576477
raw_no_direction_filter,112,3.7333333333333334,25.3,40.75,15.45,2,0.3814825117588043
raw_no_direction_filter,119,3.966666666666667,25.3,40.2,14.900000000000002,2,0.32958048582077026
raw_no_direction_filter,124,4.133333333333334,15.0,29.200000000000003,14.200000000000003,2,0.20566299557685852
raw_no_direction_filter,131,4.366666666666666,7.45,25.150000000000002,17.700000000000003,2,0.2535818815231323
raw_no_direction_filter,132,4.4,7.65,25.150000000000002,17.5,2,0.255359947681427
raw_no_direction_filter,137,4.566666666666666,7.050000000000001,24.900000000000002,17.85,2,0.3072366416454315
raw_no_direction_filter,139,4.633333333333334,15.0,30.3,15.3,2,0.25154033303260803
raw_no_direction_filter,140,4.666666666666667,15.05,29.8,14.75,2,0.21889905631542206
raw_no_direction_filter,148,4.933333333333334,7.1000000000000005,25.150000000000002,18.05,2,0.19948576390743256
raw_no_direction_filter,149,4.966666666666667,7.2,25.0,17.8,2,0.18575933575630188
raw_no_direction_filter,150,5.0,7.25,35.300000000000004,28.050000000000004,2,0.23830927908420563
