method,frame,time_s,lambda_cm,amp_std_px
reflected phase-gradient,60,2.0,24.55245577061103,0.15345589533043869
reflected phase-gradient,61,2.033333333333333,24.718659805999565,0.1527040148356977
reflected phase-gradient,62,2.066666666666667,24.704953492710857,0.15070218132145718
reflected phase-gradient,268,8.933333333333334,27.0710412058496,0.15807830111851523
reflected phase-gradient,269,8.966666666666667,26.928944943305968,0.1699327776782826
reflected phase-gradient,270,9.0,26.79832733227715,0.18155898050101751
reflected phase-gradient,271,9.033333333333333,26.687754067124114,0.19281044094306052
reflected phase-gradient,272,9.066666666666666,26.598725874186947,0.20356440490495487
reflected phase-gradient,273,9.1,26.533284107579235,0.21372599655514263
reflected phase-gradient,274,9.133333333333333,26.497228166658992,0.22323214306250028
reflected phase-gradient,275,9.166666666666666,26.471515654154153,0.2320545089502612
reflected phase-gradient,276,9.2,26.47671777830433,0.2402008943007265
reflected phase-gradient,277,9.233333333333333,26.483579366409856,0.2477147530554084
reflected phase-gradient,278,9.266666666666667,26.50622035124758,0.25467267254928566
reflected phase-gradient,279,9.3,26.52949295977899,0.2611798196520957
reflected phase-gradient,280,9.333333333333334,26.543631085272715,0.26736350626140315
reflected phase-gradient,281,9.366666666666667,26.566689924346445,0.2733651653990121
reflected phase-gradient,282,9.4,26.58130160785343,0.2793311661494238
reflected phase-gradient,283,9.433333333333334,26.584978284132422,0.28540303145159884
reflected phase-gradient,284,9.466666666666667,26.592766945334283,0.29170774478568856
reflected phase-gradient,285,9.5,26.59310288687685,0.29834891332299857
reflected phase-gradient,286,9.533333333333333,26.589892934359334,0.30539956159192233
reflected phase-gradient,287,9.566666666666666,26.584262556389568,0.3128972330422509
reflected phase-gradient,288,9.6,26.59292119111384,0.3208418715579591
reflected phase-gradient,289,9.633333333333333,26.606048309796527,0.32919666686344745
reflected phase-gradient,290,9.666666666666666,26.640574208946802,0.33789172881249796
reflected phase-gradient,291,9.7,26.679060786143477,0.3468301657699277
reflected phase-gradient,292,9.733333333333333,26.746596921842713,0.3558959289903798
reflected phase-gradient,293,9.766666666666667,26.841980686576136,0.3649626698429387
reflected phase-gradient,294,9.8,26.954530068105605,0.3739028362370846
reflected phase-gradient,295,9.833333333333334,27.110962954048237,0.3825962891595136
reflected phase-gradient,296,9.866666666666667,27.28596431035941,0.3909378263626073
reflected phase-gradient,297,9.9,27.507128346903563,0.39884313866432203
reflected phase-gradient,298,9.933333333333334,27.74750348712526,0.4062528823475743
reflected phase-gradient,299,9.966666666666667,28.006595185092696,0.4131347207888915
reflected phase-gradient,300,10.0,28.28021994542419,0.419483362664556
reflected phase-gradient,301,10.033333333333333,28.535098956315966,0.42531879347420154
reflected phase-gradient,302,10.066666666666666,28.78884542091556,0.4306830482786585
reflected phase-gradient,303,10.1,29.01485040475941,0.43563598963186967
reflected phase-gradient,304,10.133333333333333,29.21365808465516,0.4402506181903872
reflected phase-gradient,305,10.166666666666666,29.3903931893568,0.44460844065637317
reflected phase-gradient,306,10.2,29.513616603573603,0.44879534550276845
reflected phase-gradient,307,10.233333333333333,29.605464360793846,0.4528982988277459
reflected phase-gradient,308,10.266666666666667,29.709323111023824,0.4570029916834125
reflected phase-gradient,309,10.3,29.750318945225526,0.46119237787112144
reflected phase-gradient,310,10.333333333333334,29.721494176332342,0.46554587301178996
reflected phase-gradient,311,10.366666666666667,29.660398225122815,0.4701388727519833
reflected phase-gradient,312,10.4,29.48601881292976,0.4750422093088547
reflected phase-gradient,313,10.433333333333334,29.27226941376519,0.48032120397569517
reflected phase-gradient,314,10.466666666666667,29.086748592870205,0.48603407548723226
reflected phase-gradient,315,10.5,28.940977591163104,0.49222960544633326
reflected phase-gradient,316,10.533333333333333,28.7419405186154,0.4989441127775779
reflected phase-gradient,317,10.566666666666666,28.57863295561243,0.5061979223615602
reflected phase-gradient,318,10.6,28.39577565012873,0.513991609791811
reflected phase-gradient,319,10.633333333333333,28.23276808424209,0.5223023567600094
