t_center_s,right_energy,left_energy,left_over_right
3.0,66713984.72201138,70150515.61706673,1.0515114021351735
4.0,68485943.68974172,86829514.96140963,1.26784432371654
5.0,91324057.90291983,101662664.82139593,1.1132079230367353
6.0,116468264.68866292,105465356.72944035,0.9055287035602789
7.0,681341121.3301414,236796383.466889,0.34754453540776403
8.0,7860573267.788546,3329793690.151917,0.4236069783608422
9.0,20058078666.055695,3175343527.6047354,0.1583074620690551
10.0,45211641781.78197,8658058311.315025,0.1915006394393709
11.0,74912434008.36568,8461779266.318777,0.11295560447780707
12.0,134892295670.79337,14347375314.222857,0.1063617105993795
13.0,213511320143.82007,14229821512.316513,0.06664668413239815
14.0,291103788585.19775,12377139486.603542,0.042517960850863706
15.0,366363736197.9973,12670688996.506721,0.03458499776205739
16.0,452081756363.82263,11212352796.359417,0.024801604219870425
17.0,523129151695.7566,7798351919.091421,0.014907125503926831
18.0,545440530220.21423,6851784389.789374,0.012561927488269085
19.0,563326338241.7219,11043019821.248417,0.019603237185245693
20.0,594480376318.6375,8929913636.2978,0.01502137663752155
21.0,618011051272.3851,12232769621.253319,0.019793771642219047
22.0,589753263364.8186,14644062170.295216,0.024830828551492844
23.0,588962102024.9922,25177481687.44518,0.04274889946378382
24.0,612659846207.4813,26345506272.733063,0.04300184912691501
25.0,644615613205.4833,59430000564.05095,0.09219447892135763
26.0,645355915185.0295,68045297309.19365,0.10543840338038031
27.0,699792325614.294,117175530409.09581,0.16744329155973012
28.0,735990283082.1167,126698883057.1939,0.1721474942938312
29.0,760135442766.0153,171560273240.93707,0.22569697923393203
30.0,736320921985.6147,172203434391.45953,0.23387008198420284
31.0,761518297082.7834,206133847943.34088,0.2706879778634293
32.0,744991694969.5352,196894914291.0724,0.2642914217978282
33.0,711652447586.3876,221309502547.42355,0.310979753246136
34.0,665688152339.7478,211126962837.50275,0.31715595672754243
35.0,687987247046.8291,228039862186.43436,0.33145943208292117
36.0,692209545703.1016,220302066527.02383,0.318259214849826
