n,mean_cm,std_cm,median_cm,min_cm,max_cm,window,t0_s,t1_s,method,reflection_energy_ratio
53,22.333962264150944,0.19159592518793592,22.350000000000005,21.85,22.650000000000002,stable_measured_18_20s,18.0,19.833,raw_peak,0.4389360540414029
55,23.207272727272734,0.0729143217516174,23.200000000000003,23.049999999999997,23.300000000000004,stable_measured_18_20s,18.0,19.833,incident_peak,0.4389360540414029
38,19.017105263157898,0.6189874377397807,19.0,17.75,20.8,stable_measured_18_20s,18.0,19.833,reflected_peak,0.4389360540414029
55,23.1,,23.1,,,stable_measured_18_20s,18.0,19.833,raw_acf,0.4389360540414029
55,22.950000000000003,,22.950000000000003,,,stable_measured_18_20s,18.0,19.833,incident_acf,0.4389360540414029
55,30.85,,30.85,,,stable_measured_18_20s,18.0,19.833,reflected_acf,0.4389360540414029
99,22.49747474747475,0.5040334120653631,22.4,21.55,23.650000000000006,low_reflection_14_24s,14.0,24.0,raw_peak,0.016123028531209095
227,23.174449339207047,0.7050130425185361,23.200000000000003,21.15,24.200000000000003,low_reflection_14_24s,14.0,24.0,incident_peak,0.016123028531209095
243,25.480658436213997,5.657914844809575,23.7,14.349999999999998,32.6,low_reflection_14_24s,14.0,24.0,reflected_peak,0.016123028531209095
301,23.55,,23.55,,,low_reflection_14_24s,14.0,24.0,raw_acf,0.016123028531209095
301,22.400000000000002,,22.400000000000002,,,low_reflection_14_24s,14.0,24.0,incident_acf,0.016123028531209095
301,21.05,,21.05,,,low_reflection_14_24s,14.0,24.0,reflected_acf,0.016123028531209095
70,22.203571428571436,1.2585741134998139,22.300000000000004,20.299999999999997,26.45,transition_25_31s,25.0,31.0,raw_peak,0.17072514824293614
160,23.681875,0.5341921397197497,23.450000000000003,22.75,24.500000000000004,transition_25_31s,25.0,31.0,incident_peak,0.17072514824293614
156,21.143910256410255,1.512180042923695,20.4,19.250000000000004,25.1,transition_25_31s,25.0,31.0,reflected_peak,0.17072514824293614
181,24.25,,24.25,,,transition_25_31s,25.0,31.0,raw_acf,0.17072514824293614
181,23.25,,23.25,,,transition_25_31s,25.0,31.0,incident_acf,0.17072514824293614
181,20.5,,20.5,,,transition_25_31s,25.0,31.0,reflected_acf,0.17072514824293614
32,24.753125000000004,0.6465712918803858,24.625,23.6,26.0,high_reflection_31_36s,31.0,36.0,raw_peak,0.40764304616615593
102,24.45784313725491,0.8523045375072261,24.525,22.6,25.6,high_reflection_31_36s,31.0,36.0,incident_peak,0.40764304616615593
120,20.689166666666672,0.30618164360319106,20.75,19.85,21.1,high_reflection_31_36s,31.0,36.0,reflected_peak,0.40764304616615593
151,24.55,,24.55,,,high_reflection_31_36s,31.0,36.0,raw_acf,0.40764304616615593
151,23.200000000000003,,23.200000000000003,,,high_reflection_31_36s,31.0,36.0,incident_acf,0.40764304616615593
151,20.25,,20.25,,,high_reflection_31_36s,31.0,36.0,reflected_acf,0.40764304616615593
