center_s,start_s,end_s,right_lambda_cm,left_lambda_cm,right_speed_cm_s
0.9,0.0,1.8,21.3338724232365,22.008651177534407,107.50541783621715
1.2,0.3,2.1,21.37047159573165,22.27892571380838,108.30815165969616
1.5,0.6,2.4,21.65081683700153,21.991429488287675,107.19673781369123
1.8,0.9,2.7,21.767229718534537,21.392961511312134,106.50217097981928
2.1,1.2,3.0,23.497414690138044,20.804411102257827,237.50680192656313
2.4,1.5,3.3,23.555547569842016,22.595974413249703,291.9109266826123
2.7,1.8,3.6,23.907281128864508,24.004327243260168,294.8730143313069
3.0,2.1,3.9,23.301959181284,23.905512302032957,289.4480492007081
3.3,2.4,4.2,22.334999507160965,23.897717496427305,284.6345571766252
3.6,2.7,4.5,21.670045572351267,24.014639892723814,278.71475932705505
3.9,3.0,4.8,20.756814070588046,23.99172623349573,264.55310777582986
4.199999999999999,3.3,5.1,23.52518708401604,23.59405743116838,11.712993913039092
4.5,3.6,5.4,22.873319403472667,22.704965565799906,11.40628539848993
4.8,3.9,5.7,22.585460459583757,22.987765191737115,12.558530392528546
5.1,4.2,6.0,21.979689663090188,19.77302768228321,11.588799266787333
5.4,4.5,6.3,21.6747126862067,19.814342516972395,10.805101296542588
5.699999999999999,4.8,6.6,22.551790839692995,23.813890750356183,11.243625641065707
6.0,5.1,6.9,22.894938577687846,23.1594763112659,11.415390827563275
6.300000000000001,5.4,7.2,22.58595913233131,21.391812278498858,11.24733655409213
6.6,5.7,7.5,21.713662947325815,21.338521654663673,10.822993485776365
6.9,6.0,7.8,21.10314190681477,19.885461179006317,10.520715010310825
7.199999999999999,6.3,8.1,20.607734287530324,19.733515069017088,10.857481731868859
7.5,6.6,8.4,20.848154720863228,24.20442077562643,10.384589281897286
7.8,6.9,8.7,21.380944130629256,21.98081709132341,11.27940756997418
8.1,7.2,9.0,21.125631018496897,19.854409441862984,11.131519048984014
8.4,7.5,9.3,20.371005410751966,23.813839183914055,10.138962236453148
8.7,7.8,9.6,20.600370895906618,23.226585633881548,10.268213053239199
9.0,8.1,9.9,21.371430594241325,22.281074419819188,11.27005739171957
9.3,8.4,10.2,21.720192700552353,21.721317388000813,10.811485618971783
9.6,8.7,10.5,22.310018332039274,22.02944787981451,11.115540560562794
9.9,9.0,10.8,22.604844934467803,22.307951591530767,11.911060905637349
10.2,9.3,11.1,22.60811496622077,22.582841023835055,11.26656537462579
10.5,9.6,11.4,22.33958641075466,22.314843147714104,11.12775845573011
10.8,9.9,11.7,22.027198051745923,22.314832740374754,10.977806415572653
11.1,10.2,12.0,21.709346857501274,21.735067659492387,10.82252321718429
11.4,10.5,12.3,21.631824764631283,22.026338656375398,10.779653134647164
11.7,10.8,12.6,21.34862845708748,22.60280698934696,10.643503821748382
12.0,11.1,12.9,20.840519502697845,22.01269475965923,10.980946979832677
12.3,11.4,13.2,20.607090451188967,22.64015651770047,10.269461008839796
12.6,11.7,13.5,21.112061156424346,22.29656174436592,10.515655363486374
12.9,12.0,13.8,21.962169340658136,22.58326372276248,10.947445948414936
13.2,12.3,14.1,22.33029319338829,21.355781436263893,11.130733340883618
13.5,12.6,14.4,22.9461205135522,21.986986943973786,11.432181802081903
13.8,12.9,14.7,23.243530358143666,23.260697028970906,11.581195968495802
14.1,13.2,15.0,22.988271392856753,23.232046841581557,11.45626184053644
14.4,13.5,15.3,22.965651607539126,21.703579148173517,11.44976181676778
14.7,13.8,15.6,22.66016010779571,22.321247707955767,11.293698484850726
15.0,14.1,15.9,22.30712898147499,23.867051909952234,11.117802367822176
15.3,14.4,16.2,21.674352933075756,21.038716522349546,10.805753433806066
15.6,14.7,16.5,21.341309235744287,22.608577804086156,11.24187713787477
15.9,15.0,16.8,21.63886729708046,23.540764114850553,10.78245579361976
16.200000000000003,15.3,17.1,22.24716418310483,20.804890116387615,11.08058680075378
16.5,15.6,17.4,21.984938833223573,21.97144474095265,10.958710675327154
16.8,15.9,17.7,22.269499328440087,23.798209880437074,11.08878260353129
17.1,16.2,18.0,22.61552631522169,23.257829912231117,11.257379597528892
17.4,16.5,18.3,22.653583783873117,22.304846874573943,11.9484328479508
17.700000000000003,16.8,18.6,22.634976307814068,21.361702521587823,11.932549353195366
18.0,17.1,18.9,22.655601884248405,21.629024369254847,11.283375411244672
18.299999999999997,17.4,19.2,22.95104721103821,22.290399039555517,11.431118667066823
18.6,17.7,19.5,23.228308242149804,23.83923196135656,11.568626153738446
18.9,18.0,19.8,22.93250490515709,23.846200953562693,11.420858142059219
19.200000000000003,18.3,20.1,22.604593879574878,23.20837773688478,11.91687709230881
19.5,18.6,20.4,22.294386830957134,23.202592785183214,11.75937649247585
19.799999999999997,18.9,20.7,22.266019701743325,21.715512457861635,11.094751607275384
20.1,19.2,21.0,22.277708811025743,19.85362564008783,10.455404768176162
20.4,19.5,21.3,22.57701924398757,19.746617546939007,11.237716113916573
20.700000000000003,19.8,21.6,22.91126953760556,23.958760099732945,11.418312955338928
21.0,20.1,21.9,23.227545350974,22.907211661159856,12.239687756069802
21.299999999999997,20.4,22.2,23.237039037008532,22.32014620567594,12.243190925954796
21.6,20.7,22.5,22.967115390817693,22.302072873533795,12.099570908010769
21.9,21.0,22.8,22.9532453830522,21.622836772477807,11.442562156702289
22.200000000000003,21.3,23.1,22.943344730970594,21.716673726235904,11.427551799237769
22.5,21.6,23.4,22.922535082650302,23.994641836589725,11.406613104150154
22.799999999999997,21.9,23.7,22.630511025856983,23.5509717558975,11.275334260168444
23.1,22.2,24.0,22.580855998203617,23.527089819446083,11.9062566949185
23.4,22.5,24.3,22.272099162193562,22.299740124047077,11.751538911641411
23.700000000000003,22.8,24.6,22.572204981891566,20.822545454817437,11.248436245354368
24.0,23.1,24.9,23.22126712103198,19.75651521671168,10.884472504906336
24.299999999999997,23.4,25.2,23.52106965321311,19.57349352054624,11.707194325985451
24.6,23.7,25.5,23.22582976336925,19.864795355112932,12.23766166224401
24.9,24.0,25.8,23.218684026036126,21.593945471148295,11.58264164939434
25.200000000000003,24.3,26.1,23.281832185291975,22.032084100152748,12.265367568815394
25.5,24.6,26.4,23.286016015495765,21.682597679364356,12.280325137979203
25.799999999999997,24.9,26.7,23.248947877672162,19.8720488898514,11.593485712308356
26.1,25.2,27.0,23.227711677892028,19.69917951060466,10.89712712115011
26.4,25.5,27.3,23.214293952239927,19.82910430087168,11.550934211551226
26.700000000000003,25.8,27.6,22.882800434405752,22.00534215479572,12.053233976274822
27.0,26.1,27.9,22.25425401046339,21.97355947165832,11.741700084529901
