video,action,src,dst,bytes
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_contact.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_contact.png,551967
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_fps.txt,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_fps.txt,2
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0000.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0000.png,471311
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0014.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0014.png,517592
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0029.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0029.png,520988
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0043.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0043.png,556834
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0058.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0058.png,581258
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0072.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0072.png,598200
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0087.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0087.png,610539
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0101.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0101.png,541852
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0101_label_boxes.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0101_label_boxes.png,536469
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0101_ruler_crop.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0101_ruler_crop.png,133889
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0101_surface_crop.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0101_surface_crop.png,236787
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0101_surface_overlay.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0101_surface_overlay.png,532472
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_frame_0116.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_frame_0116.png,527610
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_incident_window_wavelengths.csv,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_incident_window_wavelengths.csv,1982
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_kymograph.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_kymograph.png,363448
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_measured_frame_0075.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_measured_frame_0075.png,606603
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_measured_frame_0089.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_measured_frame_0089.png,579716
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_measured_frame_0113.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_measured_frame_0113.png,550838
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_surface_lines.npy,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_surface_lines.npy,1198208
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\4_xt_direction_filtered.png,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_xt_direction_filtered.png,527701
4.mp4,copy,D:\虚拟C盘\学习\wave_measurement\xt_directional_analysis.py,D:\虚拟C盘\5.6实验\3.2\水波分析结果\xt_directional_analysis.py,14763
4.mp4,split_csv,D:\虚拟C盘\学习\wave_measurement\crest_distances.csv,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_crest_distances.csv,1921
4.mp4,split_csv,D:\虚拟C盘\学习\wave_measurement\wave_crest_summary.csv,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_wave_crest_summary.csv,195
4.mp4,split_csv,D:\虚拟C盘\学习\wave_measurement\xt_directional_summary.csv,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_xt_directional_summary.csv,638
4.mp4,update_caution_fields,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_xt_directional_summary.csv,D:\虚拟C盘\5.6实验\3.2\水波分析结果\4_xt_directional_summary.csv,816
4.mp4,add_caution_readme,D:\虚拟C盘\5.6实验\3.2\水波分析结果\README_结果说明.md,D:\虚拟C盘\5.6实验\3.2\水波分析结果\README_结果说明.md,1038
