frame_index,time_s,scale,kind,x_px,x_cm,y_px,eta_cm,prominence_cm
12,0.413791,broad,crest,92,2.787879,278.697532,0.235906,0.309172
12,0.413791,local,crest,820,24.848485,286.703195,0.035650,0.047054
12,0.413791,local,trough,864,26.181818,291.604027,-0.026917,0.057909
13,0.448274,broad,crest,233,7.060606,278.920084,0.238939,0.397299
13,0.448274,local,crest,821,24.878788,286.649188,0.034923,0.045384
13,0.448274,local,trough,865,26.212121,291.191282,-0.025659,0.058680
14,0.482756,broad,crest,241,7.303030,278.814142,0.264185,0.401620
15,0.517239,broad,crest,323,9.787879,279.716370,0.265741,0.377936
16,0.551721,broad,crest,398,12.060606,280.092761,0.292486,0.368521
17,0.586204,broad,crest,578,17.515152,282.922286,0.244670,0.259699
18,0.620687,broad,crest,593,17.969697,282.952013,0.274009,0.252253
18,0.620687,broad,trough,72,2.181818,311.941707,-0.603677,0.168742
19,0.655169,broad,crest,552,16.727273,282.819154,0.293813,0.254328
19,0.655169,broad,trough,132,4.000000,311.459419,-0.571807,0.393118
20,0.689652,broad,crest,710,21.515152,282.884981,0.300836,0.252261
20,0.689652,broad,trough,246,7.454545,312.359840,-0.589290,0.649983
21,0.724134,broad,crest,734,22.242424,282.849816,0.293421,0.254777
21,0.724134,broad,trough,279,8.454545,311.937138,-0.587302,0.859407
22,0.758617,broad,crest,822,24.909091,283.397840,0.259193,0.246433
22,0.758617,broad,trough,334,10.121212,310.048646,-0.544205,0.803398
23,0.793100,broad,trough,413,12.515152,307.923489,-0.509639,0.690105
24,0.827582,broad,trough,423,12.818182,308.397613,-0.547422,0.659265
24,0.827582,local,crest,826,25.030303,286.546125,0.035754,0.055314
25,0.862065,broad,trough,548,16.606061,307.757052,-0.578341,0.637455
26,0.896547,broad,crest,251,7.606061,262.569655,0.750194,0.565631
26,0.896547,broad,trough,580,17.575758,308.424181,-0.634355,0.657785
27,0.931030,broad,crest,326,9.878788,260.020134,0.808147,0.869530
27,0.931030,broad,trough,668,20.242424,304.079916,-0.525473,0.524126
28,0.965512,broad,crest,379,11.484848,258.444825,0.858177,1.126000
28,0.965512,broad,trough,659,19.969697,304.287142,-0.527590,0.531465
