frame_index,time_s,waterline_y_mean_px,waterline_y_std_px,waterline_y_center_px,waterline_good_fraction,edge_strength_median,eta_range_cm,broad_crest_count,broad_trough_count,local_crest_count,local_trough_count,broad_adjacent_distances_cm,autocorr_wavelength_cm
0,0.000000,289.561270,2.345962,290,0.919531,15.551750,0.207202,0,0,0,0,,32.909091
1,0.034483,289.539338,2.327834,290,0.919531,15.474991,0.202036,0,0,0,0,,32.727273
2,0.068965,289.517066,2.307744,290,0.919531,15.418266,0.202453,0,0,0,0,,32.666667
3,0.103448,289.514291,2.300569,290,0.919531,15.317284,0.197236,0,0,0,0,,32.757576
4,0.137930,289.507918,2.296012,290,0.918750,15.291527,0.197604,0,0,0,0,,32.818182
5,0.172413,289.499321,2.181531,289,0.914062,15.758570,0.188412,0,0,0,0,,34.636364
6,0.206896,289.350002,2.125577,289,0.919531,16.662842,0.191319,0,0,0,0,,
7,0.241378,289.432384,2.094904,289,0.917969,17.343052,0.192550,0,0,0,0,,12.393939
8,0.275861,289.118996,2.383654,289,0.919531,17.669664,0.303039,0,0,0,0,,
9,0.310343,289.141157,2.351431,289,0.919531,17.708969,0.287944,0,0,0,0,,
10,0.344826,288.844350,2.780853,289,0.919531,17.714195,0.401403,0,0,0,0,,
11,0.379308,288.322726,3.534386,288,0.919531,18.863728,0.422990,0,0,0,0,,
12,0.413791,286.575702,4.039373,287,0.919531,17.768744,0.405894,1,0,1,1,,13.696970
13,0.448274,286.833384,4.040111,287,0.919531,16.512062,0.520853,1,0,1,1,,
14,0.482756,287.542249,4.978322,287,0.919531,16.467241,0.736491,1,0,0,0,,32.696970
15,0.517239,288.489954,6.309388,286,0.919531,17.174353,0.942643,1,0,0,0,,21.272727
16,0.551721,289.787091,7.700691,287,0.919531,17.935144,0.955867,1,0,0,0,,32.363636
17,0.586204,291.012879,8.582823,286,0.919531,18.079716,0.865462,1,0,0,0,,34.515152
18,0.620687,291.953276,9.314608,286,0.919531,17.801937,0.879571,1,1,0,0,,
19,0.655169,292.516381,9.346194,286,0.919531,17.592249,0.868389,1,1,0,0,,
20,0.689652,292.838861,9.343588,286,0.919531,18.501968,0.893551,1,1,0,0,,
21,0.724134,292.574625,8.981097,286,0.919531,18.118111,0.881980,1,1,0,0,,33.727273
22,0.758617,292.062654,8.881704,287,0.919531,17.752502,0.949490,1,1,0,0,,31.000000
23,0.793100,291.140116,9.598118,287,0.919531,18.051926,1.003698,0,1,0,0,,27.878788
24,0.827582,290.228264,10.977418,287,0.919531,18.866652,1.139537,0,1,1,0,,25.696970
25,0.862065,288.604337,11.946649,288,0.919531,18.824989,1.240658,0,1,0,0,,24.727273
26,0.896547,287.475368,12.901135,288,0.919531,17.898706,1.390039,1,1,0,0,,26.272727
27,0.931030,286.718515,12.951439,288,0.919531,16.795561,1.335638,1,1,0,0,,
28,0.965512,286.830720,13.132084,289,0.919531,18.014423,1.390319,1,1,1,1,,30.242424
29,0.999995,287.312846,13.611688,291,0.919531,16.977724,1.475069,1,1,0,0,,28.545455
30,1.034478,288.299061,14.019531,298,0.919531,17.233322,1.617259,1,1,0,0,,25.969697
31,1.068960,289.622239,14.705436,299,0.919531,16.936684,1.749269,1,1,0,0,,23.515152
32,1.103443,290.777554,15.189549,299,0.919531,17.080555,1.744486,1,1,0,0,,22.696970
33,1.137925,292.234986,15.469196,299,0.919531,16.823145,1.730153,1,0,0,0,,23.090909
34,1.172408,292.655710,15.655022,299,0.919531,17.014851,1.755341,1,1,1,0,,24.606061
35,1.206891,293.002030,15.211573,308,0.919531,16.732513,1.743578,1,1,1,1,,25.787879
36,1.241373,292.977706,15.217349,306,0.919531,17.640448,1.759448,1,1,1,0,,26.303030
37,1.275856,291.525875,15.230876,307,0.919531,17.215399,1.642716,1,1,2,1,,25.636364
38,1.310338,289.902893,15.933338,307,0.919531,17.592630,1.624924,1,1,0,1,,25.181818
39,1.344821,287.972177,16.689862,307,0.919531,17.998655,1.506690,1,1,0,1,,25.151515
40,1.379303,286.294472,17.698509,264,0.919531,17.200253,1.503212,2,1,0,0,27.667,25.242424
41,1.413786,285.242729,18.004198,305,0.919531,16.196684,1.507441,2,1,0,0,26.182,25.575758
42,1.448269,285.399319,17.573821,305,0.919531,16.735353,1.618353,2,1,0,0,25.909,25.787879
43,1.482751,285.982148,16.805399,304,0.919531,16.771204,1.611598,1,1,0,0,,26.666667
44,1.517234,287.620300,16.520747,302,0.919531,16.798723,1.733722,1,1,0,0,,26.666667
45,1.551716,289.245731,16.152382,302,0.919531,16.059143,1.871871,1,1,1,0,,25.636364
