frame_index,crop_y0,crop_y1,px_per_cm_estimate,autocorr_score
0,360,430,33.0,450.7785778867742
0,380,430,33.0,448.25626714800404
0,395,430,33.0,448.15130783409603
11,360,430,33.0,451.55100890771973
11,380,430,33.0,450.1856562451994
11,395,430,33.0,448.56630172442334
22,360,430,33.0,464.4183791371157
22,380,430,33.0,463.44103713082563
22,395,430,33.0,463.10248134418896
33,360,430,33.0,469.19759080600767
33,380,430,33.0,467.80331693579353
33,395,430,33.0,467.9140966117549
44,360,430,33.0,462.1802335911249
44,380,430,33.0,462.2191245378035
44,395,430,33.0,465.1352193837402
55,360,430,33.0,468.35509877193994
55,380,430,33.0,463.7128894079785
55,395,430,33.0,462.0167917647194
66,360,430,33.0,450.3868203617619
66,380,430,33.0,446.2875999953516
66,395,430,33.0,444.63532236114696
