frame,time_s,method,best_spacing_cm,direct_spacing_cm,direct_spacing_mad_cm,autocorr_spacing_cm,autocorr_strength,n_peaks,n_direct_intervals,quality_weight,used_for_average,waterline_amp_px_p95_p5,waterline_repaired_columns,waterline_repaired_fraction,prominence_threshold_px,peak_x_px_all,peak_x_cm_all,direct_interval_cm_list
0,0.0,direct_peaks,16.081854749928485,16.081854749928485,0.0,30.306835549349763,0.14598692441871683,3,1,0.9014188262021182,True,1.2145767211914062,0,0.0,0.1,280;663;1148,9.2844;21.9841;38.0659,16.0819
1,0.034482758620689655,direct_peaks,15.882903969516999,15.882903969516999,0.0,31.832124865837827,0.15800905998124487,3,1,0.9055592024150444,True,1.7373313903808594,0,0.0,0.12933632026993178,286;663;1142,9.4833;21.9841;37.8670,15.8829
2,0.06896551724137931,direct_peaks,15.882903969516999,15.882903969516999,0.0,31.798966402435912,0.1408175621682762,3,1,0.8993136257431651,True,1.9794315338134765,0,0.0,0.16492243195904333,300;664;1143,9.9475;22.0172;37.9001,15.8829
3,0.10344827586206896,direct_peaks,16.04869628652657,16.04869628652657,0.0,31.533698695220597,0.112000947911048,3,1,0.8878116086794949,True,1.7495201110839842,0,0.0,0.15139646121364314,307;662;1146,10.1796;21.9509;37.9996,16.0487
4,0.13793103448275862,direct_peaks,24.835689088033888,24.835689088033888,0.0,25.266749112258776,0.19230245123342146,2,1,0.8256203051012176,False,1.614667510986328,0,0.0,0.131222860627186,418;1167,13.8602;38.6959,24.8357
5,0.1724137931034483,direct_peaks,24.1725198199956,24.1725198199956,0.0,24.1725198199956,0.2680584823576797,2,1,0.8517046875750298,False,1.474080276489257,0,0.0,0.11571626723592297,416;1145,13.7939;37.9664,24.1725
6,0.20689655172413793,direct_peaks,20.359296528775445,20.359296528775445,0.0,15.252893164880625,0.16863934084997614,2,1,0.8038927404293459,True,1.1418853759765621,0,0.0,0.1,570;1184,18.9003;39.2596,20.3593
7,0.2413793103448276,autocorr_fallback,29.079972403478934,nan,nan,29.079972403478934,0.14773214714043698,3,0,0.2716587018846367,False,1.8326435089111328,0,0.0,0.12756523820229201,269;597;967,8.9196;19.7956;32.0642,
8,0.27586206896551724,direct_peaks,17.640302529818463,17.640302529818463,0.0,28.98049701327319,0.18889450495642,2,1,0.8130253107754452,True,2.6723892211914064,0,0.0,0.1743313130711765,182;714,6.0348;23.6751,17.6403
9,0.3103448275862069,direct_peaks,13.362860750971505,13.362860750971505,0.0,28.947338549871276,0.16587348242535577,3,1,0.9030706516104317,True,2.1005462646484374,0,0.0,0.15505759810454794,210;613;935,6.9633;20.3261;31.0032,13.3629
10,0.3448275862068966,direct_peaks,13.62812845818682,13.62812845818682,0.23210924381340092,29.21260625708659,0.12471996073435118,3,2,0.8873051886952394,True,2.0232261657714843,0,0.0,0.15628112794970683,211;615;1033,6.9964;20.3925;34.2527,13.3960;13.8602
11,0.3793103448275862,direct_peaks,13.827079238598307,13.827079238598307,0.5968523412344595,15.120259311272967,0.1299227539108527,3,2,0.8866310867935864,True,1.7218303680419917,0,0.0,0.12522134008771388,211;610;1045,6.9964;20.2267;34.6506,13.2302;14.4239
12,0.41379310344827586,direct_peaks,14.04260925071075,14.04260925071075,1.1439669873660465,14.52340697003851,0.21043081474842057,3,2,0.9142830424120305,True,1.5295528411865227,0,0.0,0.10685266656103401,199;657;1046,6.5985;21.7851;34.6838,15.1866;12.8986
13,0.4482758620689655,direct_peaks,15.567898567198812,15.567898567198812,0.5139561827296735,13.69444538499065,0.256121560153162,3,2,0.9393365444358255,True,1.5890941619873047,0,0.0,0.10336239204635479,198;652;1137,6.5654;21.6193;37.7012,15.0539;16.0819
14,0.4827586206896552,direct_peaks,17.77293638342612,17.77293638342612,0.0,30.041567842134448,0.28136706834220176,3,1,0.954279871007535,True,1.632181167602539,0,0.0,0.11937152299203216,245;781;1144,8.1238;25.8968;37.9333,17.7729
15,0.5172413793103449,direct_peaks,18.237154871052923,18.237154871052923,0.0,30.306835549349763,0.26081891313676914,3,1,0.9449256470818713,True,1.9220851898193356,0,0.0,0.1403899514962391,257;596;1146,8.5217;19.7624;37.9996,18.2372
