frame,ruler_y1_px,ruler_y2_px,strip,period_px,px_per_cm,strength,used
0,408,445,upper_mm_ticks,3.021952,30.219523,1308.926180,1
0,408,445,upper_mm_ticks_wide,3.021398,30.213977,833.230262,1
0,408,445,lower_mm_ticks,3.019114,30.191139,715.232101,1
0,408,445,lower_mm_ticks_wide,3.019161,30.191606,801.201083,1
0,408,445,whole_ruler_band,3.021021,30.210208,542.421173,1
0,408,445,ten_cm_label_check,,30.061116,"[23.745019920318725, 327.91709844559585, 630.9216152019002, 929.1394101876675, 1222.7593818984546]",0
12,408,446,upper_mm_ticks,3.019742,30.197421,1424.348622,1
12,408,446,upper_mm_ticks_wide,3.018990,30.189902,901.144220,1
12,408,446,lower_mm_ticks,3.016065,30.160655,732.018709,1
12,408,446,lower_mm_ticks_wide,3.016196,30.161958,799.187361,1
12,408,446,whole_ruler_band,3.018370,30.183695,545.739680,1
12,408,446,ten_cm_label_check,,30.082431,"[23.76923076923077, 327.56716417910445, 630.6808035714286, 929.2157894736843, 1222.781857451404]",0
24,409,446,upper_mm_ticks,3.017660,30.176604,1510.938098,1
24,409,446,upper_mm_ticks_wide,3.016013,30.160127,845.572518,1
24,409,446,lower_mm_ticks,3.014478,30.144782,833.733329,1
24,409,446,lower_mm_ticks_wide,3.014623,30.146232,917.778369,1
24,409,446,whole_ruler_band,3.016046,30.160457,573.517349,1
24,409,446,ten_cm_label_check,,30.086207,"[23.94248608534323, 327.43163538873995, 630.8299319727892, 929.1557788944724, 1222.7371794871794]",0
36,409,446,upper_mm_ticks,3.019136,30.191357,1565.366006,1
36,409,446,upper_mm_ticks_wide,3.017885,30.178845,895.265285,1
36,409,446,lower_mm_ticks,3.014623,30.146226,840.795432,1
36,409,446,lower_mm_ticks_wide,3.014818,30.148183,930.428073,1
36,409,446,whole_ruler_band,3.017191,30.171911,591.353164,1
36,409,446,ten_cm_label_check,,30.089807,"[23.93885601577909, 327.5686274509804, 630.8068181818181, 929.36476426799, 1222.7962577962578]",0
49,410,447,upper_mm_ticks,3.018640,30.186395,1555.092461,1
49,410,447,upper_mm_ticks_wide,3.016988,30.169881,846.760258,1
49,410,447,lower_mm_ticks,3.014357,30.143574,841.368168,1
49,410,447,lower_mm_ticks_wide,3.014615,30.146146,918.603402,1
49,410,447,whole_ruler_band,3.016461,30.164612,578.059240,1
49,410,447,ten_cm_label_check,,30.076443,"[23.83, 327.76863753213365, 630.9379310344827, 929.2975, 1222.3526785714287]",0
61,410,447,upper_mm_ticks,3.017861,30.178614,1489.952324,1
61,410,447,upper_mm_ticks_wide,3.016661,30.166611,869.997514,1
61,410,447,lower_mm_ticks,3.013986,30.139858,900.279183,1
61,410,447,lower_mm_ticks_wide,3.014084,30.140838,991.659220,1
61,410,447,whole_ruler_band,3.015630,30.156299,596.452618,1
61,410,447,ten_cm_label_check,,30.049473,"[24.171779141104295, 328.28101265822784, 631.2920560747664, 929.2704714640198, 1222.7350427350427]",0
73,410,448,upper_mm_ticks,3.017532,30.175324,1490.531377,1
73,410,448,upper_mm_ticks_wide,3.016557,30.165572,932.563162,1
73,410,448,lower_mm_ticks,3.013902,30.139018,906.929467,1
73,410,448,lower_mm_ticks_wide,3.014012,30.140123,984.158822,1
73,410,448,whole_ruler_band,3.015302,30.153020,598.531329,1
