frame,time_s,amplitude_px,peak_count,peak_x_px,direct_spacing_px,direct_spacing_cm,estimated_spacing_px,estimated_spacing_cm,method,confidence,track_id,track_x_px,track_spacing_px,track_spacing_cm,best_spacing_px,best_spacing_cm,best_method
0,0.0,0.0,0,,,,,,not_enough_signal,low,,,,,,,
1,0.03333333333333333,0.30554420198313886,0,,,,,,not_enough_signal,low,,,,,,,
2,0.06666666666666667,0.9027841553092003,0,,,,,,not_enough_signal,low,,,,,,,
3,0.1,1.0723591491580007,0,,,,,,not_enough_signal,low,,,,,,,
4,0.13333333333333333,1.5630550324916834,0,,,,,,not_enough_signal,low,,,,,,,
5,0.16666666666666666,1.6139134228229521,0,,,,,,not_enough_signal,low,,,,,,,
6,0.2,1.615795812010765,0,,,,,,not_enough_signal,low,,,,,,,
7,0.23333333333333334,2.1230332642793655,0,,,,,,not_enough_signal,low,,,,,,,
8,0.26666666666666666,2.8393555998802187,0,,,,,,not_enough_signal,low,,,,,,,
9,0.3,3.430983611941337,0,,,,,,not_enough_signal,low,,,,,,,
10,0.3333333333333333,5.381477028131485,0,,,,,,not_enough_signal,low,,,,,,,
11,0.36666666666666664,6.699111503362656,0,,,,,,not_enough_signal,low,,,,,,,
12,0.4,6.6892542988061905,0,,,,,,not_enough_signal,low,,,,,,,
13,0.43333333333333335,6.860330255329609,0,,,,,,not_enough_signal,low,,,,,,,
14,0.4666666666666667,7.4065152406692505,0,,,,,,not_enough_signal,low,,,,,,,
15,0.5,7.1848551802337175,0,,,,,,not_enough_signal,low,,,,,,,
16,0.5333333333333333,8.292680448293684,0,,,,,,not_enough_signal,low,,,,,,,
17,0.5666666666666667,12.500952076911924,0,,,,,,not_enough_signal,low,,,,,,,
18,0.6,15.633763408660887,0,,,,,,not_enough_signal,low,,,,,,,
19,0.6333333333333333,18.322995328903197,0,,,,,,not_enough_signal,low,,,,,,,
20,0.6666666666666666,17.911275959014894,0,,,,,,not_enough_signal,low,,,,,,,
21,0.7,18.0988178730011,1,290.0,,,1042.0,31.385542168674696,crest_trough_half_wave,medium,0.0,290.0,843.6044895001135,25.409773780123896,843.6044895001135,25.409773780123896,crest_track_model
22,0.7333333333333333,18.152703142166136,1,341.0,,,942.0,28.373493975903614,crest_trough_half_wave,medium,0.0,341.0,853.6495609263377,25.71233617248005,853.6495609263377,25.71233617248005,crest_track_model
23,0.7666666666666667,23.126338434219356,1,389.0,,,1092.0,32.89156626506024,crest_trough_half_wave,medium,0.0,389.0,863.6946323525615,26.014898564836187,863.6946323525615,26.014898564836187,crest_track_model
24,0.8,29.223264026641846,1,429.0,,,,,not_enough_signal,low,,,,,,,
25,0.8333333333333334,31.234645986557005,1,522.0,,,856.0,25.78313253012048,crest_trough_half_wave,medium,0.0,522.0,883.7847752050095,26.620023349548475,883.7847752050095,26.620023349548475,crest_track_model
26,0.8666666666666667,31.66285834312439,1,628.0,,,998.0,30.06024096385542,crest_trough_half_wave,medium,0.0,628.0,893.8298466312333,26.922585741904616,893.8298466312333,26.922585741904616,crest_track_model
27,0.9,33.14827871322632,1,652.0,,,918.0,27.65060240963855,crest_trough_half_wave,medium,0.0,652.0,903.8749180574575,27.225148134260767,903.8749180574575,27.225148134260767,crest_track_model
28,0.9333333333333333,33.99417548179626,1,750.0,,,1000.0,30.12048192771084,crest_trough_half_wave,medium,0.0,750.0,913.9199894836815,27.52771052661691,913.9199894836815,27.52771052661691,crest_track_model
29,0.9666666666666667,32.313118839263915,1,756.0,,,886.0,26.686746987951803,crest_trough_half_wave,medium,0.0,756.0,923.9650609099056,27.830272918973055,923.9650609099056,27.830272918973055,crest_track_model
30,1.0,31.91610629558563,2,760.0;1092.0,,,,,not_enough_signal,low,,,,,,,
31,1.0333333333333334,31.707450675964342,1,1089.0,,,566.0,17.048192771084334,crest_trough_half_wave,medium,0.0,1089.0,944.0552037623534,28.43539770368534,944.0552037623534,28.43539770368534,crest_track_model
32,1.0666666666666667,31.276860427856448,1,1093.0,,,1068.0,32.16867469879518,crest_trough_half_wave,medium,0.0,1093.0,954.1002751885771,28.737960096041476,954.1002751885771,28.737960096041476,crest_track_model
33,1.1,34.21136560440063,0,,,,,,not_enough_signal,low,,,,,,,
34,1.1333333333333333,34.14441962242127,0,,,,,,not_enough_signal,low,,,,,,,
35,1.1666666666666667,36.97588539123535,1,327.0,,,880.0,26.50602409638554,crest_trough_half_wave,medium,1.0,327.0,924.42267057701,27.84405634268102,924.42267057701,27.84405634268102,crest_track_model
36,1.2,42.81754179000855,1,372.0,,,880.0,26.50602409638554,crest_trough_half_wave,medium,1.0,372.0,931.5229938871403,28.057921502624705,931.5229938871403,28.057921502624705,crest_track_model
37,1.2333333333333334,42.51676368713379,1,432.0,,,768.0,23.132530120481924,crest_trough_half_wave,medium,1.0,432.0,938.6233171972708,28.271786662568395,938.6233171972708,28.271786662568395,crest_track_model
38,1.2666666666666666,41.26596050262451,1,510.0,,,828.0,24.939759036144576,crest_trough_half_wave,medium,1.0,510.0,945.7236405074013,28.485651822512086,945.7236405074013,28.485651822512086,crest_track_model
39,1.3,43.39972848892212,1,561.0,,,890.0,26.807228915662648,crest_trough_half_wave,medium,1.0,561.0,952.8239638175316,28.69951698245577,952.8239638175316,28.69951698245577,crest_track_model
40,1.3333333333333333,45.243349933624266,1,637.0,,,850.0,25.602409638554214,crest_trough_half_wave,medium,1.0,637.0,959.9242871276622,28.91338214239946,959.9242871276622,28.91338214239946,crest_track_model
41,1.3666666666666667,46.38376884460449,1,692.0,,,852.0,25.662650602409638,crest_trough_half_wave,medium,1.0,692.0,967.0246104377927,29.12724730234315,967.0246104377927,29.12724730234315,crest_track_model
42,1.4,44.972851276397705,1,751.0,,,1058.0,31.86746987951807,crest_trough_half_wave,medium,1.0,751.0,974.124933747923,29.341112462286837,974.124933747923,29.341112462286837,crest_track_model
43,1.4333333333333333,42.59338455200195,1,861.0,,,1176.0,35.42168674698795,crest_trough_half_wave,medium,1.0,861.0,981.2252570580536,29.554977622230528,981.2252570580536,29.554977622230528,crest_track_model
44,1.4666666666666666,43.825517082214354,1,873.0,,,346.0,10.421686746987952,crest_trough_half_wave,medium,1.0,873.0,988.3255803681839,29.76884278217421,988.3255803681839,29.76884278217421,crest_track_model
45,1.5,41.45253396034241,1,960.0,,,1090.0,32.831325301204814,crest_trough_half_wave,medium,1.0,960.0,995.4259036783146,29.98270794211791,995.4259036783146,29.98270794211791,crest_track_model
46,1.5333333333333334,39.613841915130614,1,1085.0,,,,,not_enough_signal,low,,,,,,,
47,1.5666666666666667,34.903050899505615,1,1098.0,,,1204.0,36.265060240963855,crest_trough_half_wave,medium,1.0,1098.0,914.4767540152134,27.544480542626907,914.4767540152134,27.544480542626907,crest_track_model
48,1.6,36.278209877014156,1,1170.0,,,788.0,23.73493975903614,crest_trough_half_wave,medium,,,,,,,
49,1.6333333333333333,39.03038654327393,1,301.0,,,1036.0,31.20481927710843,crest_trough_half_wave,medium,2.0,301.0,899.7884576961483,27.102061978799643,899.7884576961483,27.102061978799643,crest_track_model
50,1.6666666666666667,41.22322521209717,1,356.0,,,1014.0,30.542168674698793,crest_trough_half_wave,medium,2.0,356.0,901.5305310074525,27.154534066489532,901.5305310074525,27.154534066489532,crest_track_model
51,1.7,42.82661399841308,1,409.0,,,1018.0,30.662650602409634,crest_trough_half_wave,medium,2.0,409.0,903.2726043187565,27.20700615417941,903.2726043187565,27.20700615417941,crest_track_model
52,1.7333333333333334,43.309262657165526,1,471.0,,,972.0,29.277108433734938,crest_trough_half_wave,medium,2.0,471.0,905.0146776300608,27.2594782418693,905.0146776300608,27.2594782418693,crest_track_model
53,1.7666666666666666,46.93870401382446,1,537.0,,,1020.0,30.72289156626506,crest_trough_half_wave,medium,2.0,537.0,906.7567509413648,27.311950329559178,906.7567509413648,27.311950329559178,crest_track_model
54,1.8,48.9315902709961,1,608.0,,,926.0,27.891566265060238,crest_trough_half_wave,medium,2.0,608.0,908.498824252669,27.364422417249063,908.498824252669,27.364422417249063,crest_track_model
55,1.8333333333333333,50.20798482894898,1,662.0,,,566.0,17.048192771084334,crest_trough_half_wave,medium,2.0,662.0,910.2408975639732,27.416894504938952,910.2408975639732,27.416894504938952,crest_track_model
56,1.8666666666666667,50.566340637207034,1,729.0,,,1086.0,32.71084337349397,crest_trough_half_wave,medium,2.0,729.0,911.9829708752773,27.46936659262883,911.9829708752773,27.46936659262883,crest_track_model
57,1.9,46.63105330467224,1,760.0,,,574.0,17.289156626506024,crest_trough_half_wave,medium,2.0,760.0,913.7250441865813,27.521838680318712,913.7250441865813,27.521838680318712,crest_track_model
58,1.9333333333333333,47.10462503433227,1,864.0,,,1104.0,33.253012048192765,crest_trough_half_wave,medium,2.0,864.0,915.4671174978855,27.574310768008598,915.4671174978855,27.574310768008598,crest_track_model
59,1.9666666666666666,47.18673558235169,1,903.0,,,1044.0,31.445783132530117,crest_trough_half_wave,medium,2.0,903.0,917.2091908091897,27.626782855698483,917.2091908091897,27.626782855698483,crest_track_model
60,2.0,43.77248373031616,1,965.0,,,1074.0,32.34939759036144,crest_trough_half_wave,medium,2.0,965.0,918.9512641204938,27.679254943388365,918.9512641204938,27.679254943388365,crest_track_model
61,2.033333333333333,37.02851572036743,1,1014.0,,,1100.0,33.132530120481924,crest_trough_half_wave,medium,2.0,1014.0,920.6933374317978,27.731727031078243,920.6933374317978,27.731727031078243,crest_track_model
62,2.066666666666667,33.96753726005554,2,251.0;1095.0,844.0,25.421686746987948,844.0,25.421686746987948,adjacent_crests,high,,,,,844.0,25.421686746987948,adjacent_crests
63,2.1,42.891528606414795,1,298.0,,,1028.0,30.963855421686745,crest_trough_half_wave,medium,3.0,298.0,865.4028388278368,26.066350567103516,865.4028388278368,26.066350567103516,crest_track_model
64,2.1333333333333333,51.50826454162598,1,352.0,,,930.0,28.012048192771083,crest_trough_half_wave,medium,3.0,352.0,865.7980311355293,26.07825394986534,865.7980311355293,26.07825394986534,crest_track_model
65,2.1666666666666665,58.78197555541992,1,406.0,,,828.0,24.939759036144576,crest_trough_half_wave,medium,3.0,406.0,866.1932234432215,26.090157332627154,866.1932234432215,26.090157332627154,crest_track_model
66,2.2,62.96302080154418,1,458.0,,,1060.0,31.92771084337349,crest_trough_half_wave,medium,3.0,458.0,866.5884157509138,26.102060715388966,866.5884157509138,26.102060715388966,crest_track_model
67,2.2333333333333334,65.24937906265258,1,512.0,,,1030.0,31.024096385542165,crest_trough_half_wave,medium,3.0,512.0,866.983608058606,26.11396409815078,866.983608058606,26.11396409815078,crest_track_model
68,2.2666666666666666,62.28624067306518,1,563.0,,,992.0,29.879518072289155,crest_trough_half_wave,medium,3.0,563.0,867.3788003662983,26.125867480912596,867.3788003662983,26.125867480912596,crest_track_model
69,2.3,58.307527160644526,1,629.0,,,892.0,26.86746987951807,crest_trough_half_wave,medium,3.0,629.0,867.7739926739907,26.13777086367442,867.7739926739907,26.13777086367442,crest_track_model
70,2.3333333333333335,51.819262409210204,1,683.0,,,870.0,26.20481927710843,crest_trough_half_wave,medium,3.0,683.0,868.1691849816827,26.149674246436224,868.1691849816827,26.149674246436224,crest_track_model
71,2.3666666666666667,47.13406987190246,1,748.0,,,816.0,24.578313253012045,crest_trough_half_wave,medium,3.0,748.0,868.5643772893752,26.161577629198046,868.5643772893752,26.161577629198046,crest_track_model
72,2.4,40.67304618358612,1,859.0,,,1212.0,36.50602409638554,crest_trough_half_wave,medium,3.0,859.0,868.9595695970672,26.173481011959854,868.9595695970672,26.173481011959854,crest_track_model
73,2.433333333333333,47.597534275054926,1,888.0,,,1058.0,31.86746987951807,crest_trough_half_wave,medium,3.0,888.0,869.3547619047597,26.185384394721677,869.3547619047597,26.185384394721677,crest_track_model
74,2.466666666666667,56.144984340667726,1,1005.0,,,1138.0,34.27710843373494,crest_trough_half_wave,medium,3.0,1005.0,869.7499542124522,26.197287777483496,869.7499542124522,26.197287777483496,crest_track_model
75,2.5,58.771638584136966,1,1028.0,,,1132.0,34.09638554216867,crest_trough_half_wave,medium,3.0,1028.0,870.1451465201446,26.209191160245318,870.1451465201446,26.209191160245318,crest_track_model
76,2.533333333333333,55.88472280502319,1,1047.0,,,1078.0,32.46987951807229,crest_trough_half_wave,medium,3.0,1047.0,870.5403388278366,26.221094543007126,870.5403388278366,26.221094543007126,crest_track_model
77,2.566666666666667,42.24692573547363,2,257.0;1076.0,819.0,24.66867469879518,819.0,24.66867469879518,adjacent_crests,high,,,,,819.0,24.66867469879518,adjacent_crests
78,2.6,38.01461772918701,1,307.0,,,530.0,15.963855421686745,crest_trough_half_wave,medium,4.0,307.0,848.9591391021038,25.571058406689872,848.9591391021038,25.571058406689872,crest_track_model
79,2.6333333333333333,43.983921718597415,1,380.0,,,1108.0,33.373493975903614,crest_trough_half_wave,medium,4.0,380.0,850.9480589761995,25.630965631813236,850.9480589761995,25.630965631813236,crest_track_model
80,2.6666666666666665,59.77559585571288,1,448.0,,,1090.0,32.831325301204814,crest_trough_half_wave,medium,4.0,448.0,852.9369788502956,25.690872856936615,852.9369788502956,25.690872856936615,crest_track_model
