frame,time_s,peak_count,peak_x_px,peak_prominence_px,spacing_px_all,spacing_cm_all,spacing_cm_valid,frame_mean_spacing_cm,frame_median_spacing_cm,surface_contrast_mean,valid_spacing_count
0,0.0,0,,,,,,,,179.09432018649196,0
1,0.03448271604938272,0,,,,,,,,178.76706079189069,0
2,0.06896543209876543,0,,,,,,,,178.7655899977599,0
3,0.10344814814814814,0,,,,,,,,178.76214122703857,0
4,0.13793086419753087,0,,,,,,,,178.75447678651437,0
5,0.17241358024691358,0,,,,,,,,178.74705071124555,0
6,0.20689629629629627,0,,,,,,,,178.74663663474462,0
7,0.241379012345679,0,,,,,,,,178.74503598230288,0
8,0.27586172839506173,0,,,,,,,,178.5948140681004,0
9,0.3103444444444444,0,,,,,,,,178.57434755824374,0
10,0.34482716049382717,0,,,,,,,,178.57405878976255,0
11,0.37930987654320986,0,,,,,,,,178.5715466789875,0
12,0.41379259259259255,0,,,,,,,,178.57229957717297,0
13,0.4482753086419753,0,,,,,,,,178.56944129424286,0
14,0.482758024691358,0,,,,,,,,178.57021484375,0
15,0.5172407407407407,0,,,,,,,,178.5686278421819,0
16,0.5517234567901235,0,,,,,,,,178.46468028953856,0
17,0.5862061728395062,0,,,,,,,,178.30189327116938,0
18,0.6206888888888888,0,,,,,,,,178.30330001120072,0
19,0.6551716049382715,0,,,,,,,,178.30325030801973,0
20,0.6896543209876543,0,,,,,,,,178.34009646617386,0
21,0.724137037037037,0,,,,,,,,178.33993090557797,0
22,0.7586197530864197,0,,,,,,,,178.34700135808694,0
23,0.7931024691358024,0,,,,,,,,178.3479128164203,0
24,0.8275851851851851,0,,,,,,,,178.4053472922267,0
25,0.8620679012345679,0,,,,,,,,178.26951269881275,0
26,0.8965506172839506,0,,,,,,,,178.26928868447584,0
27,0.9310333333333333,0,,,,,,,,178.26588646673392,0
28,0.965516049382716,0,,,,,,,,178.25918213765686,0
29,0.9999987654320988,0,,,,,,,,178.235546875,0
30,1.0344814814814813,0,,,,,,,,178.23475442428318,0
31,1.0689641975308641,0,,,,,,,,178.23364975358425,0
32,1.103446913580247,0,,,,,,,,177.97966859879037,0
33,1.1379296296296295,0,,,,,,,,177.8746506776434,0
34,1.1724123456790123,0,,,,,,,,177.87498564908154,0
35,1.206895061728395,0,,,,,,,,177.87325758848567,0
36,1.2413777777777777,0,,,,,,,,177.87732484879038,0
37,1.2758604938271605,0,,,,,,,,177.87056556619626,0
38,1.310343209876543,0,,,,,,,,177.8726965025762,0
39,1.3448259259259259,0,,,,,,,,177.87230342741938,0
40,1.3793086419753087,0,,,,,,,,177.8813172043011,0
41,1.4137913580246912,0,,,,,,,,177.86742166498658,0
42,1.448274074074074,0,,,,,,,,177.86796664986562,0
43,1.4827567901234566,0,,,,,,,,177.8668178763441,0
44,1.5172395061728394,0,,,,,,,,177.87378367215504,0
45,1.5517222222222222,0,,,,,,,,177.8723132280466,0
46,1.5862049382716048,0,,,,,,,,177.87410079245075,0
47,1.6206876543209876,0,,,,,,,,177.87402728774646,0
48,1.6551703703703702,0,,,,,,,,177.9631849938396,0
49,1.689653086419753,0,,,,,,,,177.88402182739696,0
50,1.7241358024691358,0,,,,,,,,177.88364905353947,0
51,1.7586185185185184,0,,,,,,,,177.88261473734323,0
