frame,ruler_y1,ruler_y2,px_per_cm,strip_estimates_px_per_cm,top_tick_count,top_grid_score_px
0,418,453,28.799999999999997,top_16px:28.800|top_10px:28.490|bottom_10px:28.510,168,0.5155300146201267
8,418,453,28.569999999999997,top_16px:28.570|top_10px:28.520|bottom_10px:28.510,170,0.5194327086087469
16,418,453,28.97,top_16px:28.970|top_10px:28.490|bottom_10px:28.510,165,0.4991437913952882
24,418,453,28.61,top_16px:28.610|top_10px:28.500|bottom_10px:28.500,169,0.5283356744100676
32,418,453,28.65,top_16px:28.650|top_10px:28.500|bottom_10px:28.470,170,0.5556538836452593
40,418,453,28.799999999999997,top_16px:28.800|top_10px:28.490|bottom_10px:28.510,167,0.5021982830299256
48,418,453,28.9,top_16px:28.900|top_10px:28.490|bottom_10px:28.480,175,0.5268007898673422
56,418,453,29.049999999999997,top_16px:29.050|top_10px:28.500|bottom_10px:28.510,171,0.5253188692467526
64,418,453,28.96,top_16px:28.960|top_10px:28.750|bottom_10px:28.480,175,0.5367515698829858
72,418,453,29.049999999999997,top_16px:29.050|top_10px:28.500|bottom_10px:28.530,174,0.532938599400498
80,418,453,28.97,top_16px:28.970|top_10px:29.040|bottom_10px:28.480,174,0.5512854035021315
88,418,453,28.380000000000003,top_16px:28.380|top_10px:28.470|bottom_10px:28.480,162,0.5383780406043395
97,418,453,28.455,top_10px:28.500|bottom_10px:28.410,173,0.5335239530888949
