frame,px_per_cm,ruler_y1,ruler_y2,strip_estimates
0,29.036101599478116,420,451,29.028|29.044|30.568|29.028
8,29.023187703065997,420,451,29.024|29.022|30.481|29.019
17,29.021920458346845,420,451,29.026|29.018|30.307|29.016
26,29.02722375171507,420,451,29.034|28.982|30.121|29.020
35,29.021315018507813,420,451,29.029|28.956|30.129|29.014
44,29.016680178651157,420,451,29.020|28.971|30.114|29.014
52,29.02988793675426,420,451,29.037|28.978|30.037|29.023
61,29.0276783411663,420,451,29.039|28.927|29.967|29.017
70,29.02535069517547,420,451,29.039|28.934|29.981|29.012
79,29.014405095922044,420,451,29.029|28.907|29.478|29.000
88,28.93752932413998,420,451,28.938|28.834|29.811|28.937
97,28.851712145175057,420,450,28.879|28.574|29.297|28.825
