frame,time_s,incident_energy,reflected_energy,reflection_to_incident_ratio,in_low_reflection_window
0,0.0,0.0013556896,0.0010393739,0.75235385,False
1,0.03333333333333333,0.00084339926,0.00062474015,0.72101676,False
2,0.06666666666666667,0.00038158445,0.0002551177,0.6619959,False
3,0.1,0.00018011755,0.00010314515,0.6027296,False
4,0.13333333333333333,0.000112966365,6.242738e-05,0.5813993,False
5,0.16666666666666666,8.551675e-05,5.123809e-05,0.6048319,False
6,0.2,7.251917e-05,4.6454465e-05,0.66078436,False
7,0.23333333333333334,6.453755e-05,4.664377e-05,0.75735164,False
8,0.26666666666666666,5.4858305e-05,4.8690665e-05,0.9027363,False
9,0.3,4.4782584e-05,4.865242e-05,1.0704762,False
10,0.3333333333333333,3.8141836e-05,4.7686764e-05,1.2129003,False
11,0.36666666666666664,3.643933e-05,4.8390197e-05,1.3003528,False
12,0.4,3.7870806e-05,5.079221e-05,1.3458563,False
13,0.43333333333333335,3.897689e-05,5.3614272e-05,1.3831985,False
14,0.4666666666666667,3.8884973e-05,5.5838434e-05,1.4162812,False
15,0.5,3.8726877e-05,5.6580564e-05,1.4069499,False
16,0.5333333333333333,4.12995e-05,5.6033983e-05,1.3240288,False
17,0.5666666666666667,4.782883e-05,5.5847137e-05,1.2052519,False
18,0.6,5.464765e-05,5.840216e-05,1.1410415,False
19,0.6333333333333333,5.7715097e-05,6.522148e-05,1.1920241,False
20,0.6666666666666666,5.735519e-05,7.6075696e-05,1.3442008,False
21,0.7,5.6676967e-05,8.885521e-05,1.5179977,False
22,0.7333333333333333,6.0250426e-05,0.00010244401,1.6112293,False
23,0.7666666666666667,6.84878e-05,0.00011127328,1.5746253,False
24,0.8,7.429214e-05,0.000106949636,1.4564973,False
25,0.8333333333333334,7.1722185e-05,9.317872e-05,1.3565397,False
26,0.8666666666666667,6.4499916e-05,8.2743594e-05,1.3507406,False
27,0.9,5.6836347e-05,8.055252e-05,1.4495302,False
28,0.9333333333333333,5.053999e-05,8.305253e-05,1.5777535,False
29,0.9666666666666667,4.9290782e-05,8.423076e-05,1.6245366,False
30,1.0,5.2778996e-05,8.182531e-05,1.5793084,False
31,1.0333333333333334,5.3940003e-05,8.042686e-05,1.5340593,False
32,1.0666666666666667,5.2281775e-05,8.200666e-05,1.505308,False
33,1.1,5.5160497e-05,8.086709e-05,1.4262377,False
34,1.1333333333333333,6.125075e-05,7.572476e-05,1.3393191,False
35,1.1666666666666667,5.9642876e-05,7.4743446e-05,1.4011142,False
36,1.2,5.0045714e-05,8.0506805e-05,1.6816311,False
37,1.2333333333333334,4.068334e-05,8.66199e-05,2.076616,False
38,1.2666666666666666,3.519035e-05,8.851815e-05,2.4086876,False
39,1.3,3.1677355e-05,8.452823e-05,2.5624237,False
40,1.3333333333333333,2.896372e-05,7.574394e-05,2.5091243,False
41,1.3666666666666667,2.7474824e-05,6.377204e-05,2.286371,False
42,1.4,2.6677568e-05,5.1957002e-05,2.0028486,False
43,1.4333333333333333,2.5413676e-05,4.4088865e-05,1.7581348,False
44,1.4666666666666666,2.5061883e-05,3.949752e-05,1.5451943,False
45,1.5,2.7124144e-05,3.583813e-05,1.3172122,False
46,1.5333333333333334,3.0651416e-05,3.252508e-05,1.0835935,False
47,1.5666666666666667,3.4428915e-05,2.9470402e-05,0.8808812,False
48,1.6,3.8036604e-05,2.650418e-05,0.7294432,False
49,1.6333333333333333,4.0528383e-05,2.4647099e-05,0.6360633,False
50,1.6666666666666667,4.2301323e-05,2.4423542e-05,0.59449655,False
51,1.7,4.365521e-05,2.5312735e-05,0.5887728,False
52,1.7333333333333334,4.381091e-05,2.6184049e-05,0.605889,False
