处理版本,数据范围,页号,水位,视频序号,视频,NPZ路径,逐帧CSV路径,逐列CSV路径,审核PNG路径,宫格序号,帧号,时间_s,fps,视频总帧数,宽_px,ROI_top,ROI_bot,base_y,raw_y有效中位数,final_y有效中位数,final_y有效列,final_y_NaN列,final_y来源_raw列,final_y来源_空间插值列,final_y来源_无效NaN列,无效列数,无效列占比,修正列数,修正列占比,最长连续修正列,最长连续修正占比,最长连续无效列,最长连续无效占比,可靠性P10,可靠性中位数,风险等级,风险分,风险原因,整帧无效列,候选弱响应列,泡泡墙纹降权列,反光降权列,端部边界列,ROI边界列,局部跳变列,离群尖峰列,高水位上浮防护列,下方亮块防护列,备注
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,1,0,0.0000,29.000066,136,1280,240.00,334.00,277.00,278.5000,278.5000,1144,136,1144,0,136,136,0.1062,136,0.1062,119,0.0930,119,0.0930,0.4742,0.9740,低风险,11.13,候选弱响应128列；泡泡/墙纹降权276列,0,128,276,0,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,2,17,0.5862,29.000066,136,1280,241.00,335.00,278.00,279.5000,279.3713,1158,122,1158,0,122,122,0.0953,122,0.0953,117,0.0914,117,0.0914,0.4061,0.9782,低风险,10.37,候选弱响应114列；泡泡/墙纹降权241列；反光降权23列,0,114,241,23,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,3,34,1.1724,29.000066,136,1280,241.00,335.00,278.00,278.5000,278.5000,1152,128,1152,0,128,128,0.1000,128,0.1000,128,0.1000,128,0.1000,0.5115,0.9702,低风险,10.68,候选弱响应142列；泡泡/墙纹降权361列,0,142,361,0,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,4,51,1.7586,29.000066,136,1280,240.00,334.00,277.00,280.5000,280.5758,1141,139,1141,0,139,139,0.1086,139,0.1086,71,0.0555,71,0.0555,0.3797,0.9588,低风险,12.06,候选弱响应133列；泡泡/墙纹降权372列；反光降权46列,0,133,372,46,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,5,68,2.3448,29.000066,136,1280,239.00,333.00,276.00,276.5000,277.0497,1280,0,1280,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.8604,低风险,19.40,候选弱响应136列；泡泡/墙纹降权223列；反光降权21列；可靠性P10偏低,0,136,223,21,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,6,84,2.8965,29.000066,136,1280,256.00,350.00,293.00,292.5000,292.2654,1141,139,1141,0,139,139,0.1086,139,0.1086,67,0.0523,67,0.0523,0.1534,0.8420,低风险,23.30,候选弱响应118列；泡泡/墙纹降权108列；反光降权248列；端部边界39列；可靠性P10偏低,0,118,108,248,39,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,7,101,3.4828,29.000066,136,1280,259.00,353.00,296.00,295.5000,295.7103,1108,172,1108,0,172,172,0.1344,172,0.1344,58,0.0453,58,0.0453,0.0990,0.8833,低风险,25.13,候选弱响应147列；泡泡/墙纹降权316列；反光降权332列；可靠性P10偏低,0,147,316,332,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,8,118,4.0690,29.000066,136,1280,209.00,303.00,246.00,246.5000,246.7184,1215,65,1215,0,65,65,0.0508,65,0.0508,33,0.0258,33,0.0258,0.0000,0.5163,低风险,24.85,候选弱响应214列；泡泡/墙纹降权53列；端部边界35列；可靠性P10偏低,0,214,53,0,35,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0008,4.4,1,D:\虚拟C盘\5.6实验\4.4\6.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0008__水位_4.4cm__视频01_6__水线重处理_v5_regiondp_b__审核图.png,9,135,4.6552,29.000066,136,1280,242.00,336.00,279.00,285.5000,285.6188,1152,128,1152,0,128,128,0.1000,128,0.1000,99,0.0773,99,0.0773,0.3761,0.9491,低风险,11.01,候选弱响应110列；泡泡/墙纹降权392列；反光降权23列,0,110,392,23,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0009,5.0,1,D:\虚拟C盘\5.6实验\5.0\a75c530c575b8e744ff1fec22571591e.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0009__水位_5.0cm__视频01_a75c530c575b8e744ff1fec22571591e__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0009__水位_5.0cm__视频01_a75c530c575b8e744ff1fec22571591e__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0009__水位_5.0cm__视频01_a75c530c575b8e744ff1fec22571591e__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0009__水位_5.0cm__视频01_a75c530c575b8e744ff1fec22571591e__水线重处理_v5_regiondp_b__审核图.png,1,0,0.0000,30.000000,111,1280,104.00,198.00,141.00,141.5000,141.5000,1255,25,1255,0,25,25,0.0195,25,0.0195,25,0.0195,25,0.0195,0.1310,0.6504,低风险,13.66,候选弱响应137列；泡泡/墙纹降权190列；可靠性P10偏低,0,137,190,0,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；低中水位对下方亮块设置偏下惩罚
