frame,time_s,incident_energy,reflected_energy,reflection_to_incident_ratio,in_low_reflection_window
0,0.0,0.0014606834,0.0021517598,1.5533581,False
1,0.034482758620689655,0.0009694851,0.0015613757,1.7356265,False
2,0.06896551724137931,0.0005057822,0.001042656,2.070463,False
3,0.10344827586206896,0.0003264823,0.00084262516,2.3715732,False
4,0.13793103448275862,0.0003228376,0.0008189999,2.4473333,False
5,0.1724137931034483,0.000386893,0.0008988812,2.354029,False
6,0.20689655172413793,0.0005034694,0.0011191302,2.2406611,False
7,0.2413793103448276,0.00070691097,0.0015399293,2.1243181,False
8,0.27586206896551724,0.0010936041,0.002196991,1.9284922,False
9,0.3103448275862069,0.0020038325,0.0032867729,1.6295956,False
10,0.3448275862068966,0.0038434837,0.004833816,1.3037217,False
11,0.3793103448275862,0.0061901193,0.006108066,1.0387286,False
12,0.41379310344827586,0.008155267,0.0067225983,0.8647373,False
13,0.4482758620689655,0.008847839,0.006609727,0.7641072,False
14,0.4827586206896552,0.007328294,0.005154515,0.69858927,False
15,0.5172413793103449,0.0044420925,0.0028663743,0.6340017,False
16,0.5517241379310345,0.0022277592,0.0012297081,0.5659033,False
17,0.5862068965517241,0.0012047425,0.0005880016,0.5210354,False
18,0.6206896551724138,0.00081697514,0.00041831104,0.511871,False
19,0.6551724137931034,0.00067738636,0.0003581501,0.5097633,False
20,0.6896551724137931,0.0006309911,0.00031289435,0.48880607,False
21,0.7241379310344828,0.0006210096,0.00027750144,0.46009365,False
22,0.7586206896551724,0.0006153915,0.0002603204,0.45831442,False
23,0.7931034482758621,0.00056810764,0.00027076443,0.51020193,False
24,0.8275862068965517,0.0004777815,0.00029869264,0.58772016,False
25,0.8620689655172413,0.00044054288,0.0003077926,0.5983167,False
26,0.896551724137931,0.000521346,0.00026788542,0.48866698,False
27,0.9310344827586207,0.0006727705,0.00019473012,0.32273886,False
28,0.9655172413793104,0.00085749687,0.00013071412,0.18993494,False
29,1.0,0.0011023644,0.000103689636,0.12149377,False
30,1.0344827586206897,0.0013836347,0.00012395551,0.10837963,False
31,1.0689655172413792,0.0015865887,0.00019344402,0.13441671,False
32,1.103448275862069,0.0016537682,0.00029528385,0.18736233,False
33,1.1379310344827587,0.0016347724,0.00040912084,0.262329,False
34,1.1724137931034482,0.0015400061,0.00052976055,0.3637098,False
35,1.206896551724138,0.001370848,0.00066074973,0.4930734,False
36,1.2413793103448276,0.0012091538,0.00079937367,0.6173223,False
37,1.2758620689655173,0.0012160266,0.00091005233,0.6665074,False
38,1.3103448275862069,0.0015544222,0.0009771527,0.6131848,False
39,1.3448275862068966,0.0022689532,0.0011047265,0.5211817,False
40,1.3793103448275863,0.0031752696,0.0013898953,0.4608174,False
41,1.4137931034482758,0.004018406,0.0017500337,0.44048944,False
42,1.4482758620689655,0.004795578,0.0021009583,0.438041,False
43,1.4827586206896552,0.0056903893,0.0024888988,0.4416896,False
44,1.5172413793103448,0.0067196027,0.002987315,0.45683512,False
45,1.5517241379310345,0.00765804,0.0036209284,0.50295967,False
46,1.5862068965517242,0.008346155,0.0046458645,0.6153208,False
47,1.6206896551724137,0.009097448,0.00694768,0.8308221,False
48,1.6551724137931034,0.01055398,0.011933142,1.137799,False
49,1.6896551724137931,0.012804847,0.019563,1.4363518,False
50,1.7241379310344827,0.014988639,0.025721114,1.595943,False
51,1.7586206896551724,0.015989272,0.025968742,1.580394,False
52,1.793103448275862,0.015356053,0.022153206,1.4830031,False
53,1.8275862068965518,0.013907002,0.019084299,1.4179338,False
54,1.8620689655172413,0.013048611,0.018440332,1.4109862,False
55,1.896551724137931,0.0134591535,0.019328414,1.421139,False
56,1.9310344827586208,0.0142210955,0.019933142,1.4465206,False
57,1.9655172413793103,0.013131646,0.01903961,1.5783218,False
58,2.0,0.009697897,0.017049318,1.9595932,False
59,2.0344827586206895,0.005964635,0.0148377,2.708072,False
60,2.0689655172413794,0.0034756286,0.012813832,3.821407,False
61,2.103448275862069,0.0021557065,0.011341833,5.00833,False
62,2.1379310344827585,0.0016155605,0.010458246,5.5714245,False
63,2.1724137931034484,0.001898837,0.010321307,4.9656196,False
64,2.206896551724138,0.0035551009,0.011900226,3.6170049,False
65,2.2413793103448274,0.007512711,0.015766831,2.394373,False
66,2.2758620689655173,0.013262766,0.019661998,1.634837,False
67,2.310344827586207,0.01756363,0.01991574,1.2236189,False
68,2.3448275862068964,0.018089646,0.01720601,1.018675,False
69,2.3793103448275863,0.016566241,0.015117096,0.9398239,False
70,2.413793103448276,0.015516028,0.014399672,0.9180723,False
71,2.4482758620689653,0.014521287,0.013186576,0.8991738,False
72,2.4827586206896552,0.012366441,0.01074842,0.8658189,False
73,2.5172413793103448,0.010388282,0.008652761,0.8150997,False
74,2.5517241379310347,0.010166413,0.0076455805,0.74257094,False
75,2.586206896551724,0.01108751,0.0070914896,0.6695311,False
76,2.6206896551724137,0.012141097,0.00722167,0.6448091,False
77,2.6551724137931036,0.013111153,0.0086985,0.69533765,False
78,2.689655172413793,0.014611497,0.011811472,0.78812677,False
79,2.7241379310344827,0.017821437,0.016265202,0.8437667,False
80,2.7586206896551726,0.022988677,0.019651825,0.8006336,False
81,2.793103448275862,0.027910715,0.018805938,0.6737741,True
82,2.8275862068965516,0.029462367,0.014861742,0.5305055,True
83,2.8620689655172415,0.028531734,0.01142592,0.41796586,True
84,2.896551724137931,0.028806223,0.009470518,0.34251738,True
85,2.9310344827586206,0.029954707,0.008327282,0.30427268,True
86,2.9655172413793105,0.02803011,0.007882731,0.31596303,True
87,3.0,0.022311034,0.008082482,0.38232166,True
88,3.0344827586206895,0.016731896,0.008246405,0.47599477,True
89,3.0689655172413794,0.01410249,0.008155469,0.5526924,True
90,3.103448275862069,0.0135858115,0.008179545,0.5949022,True
91,3.1379310344827585,0.014125441,0.008709442,0.6164597,True
92,3.1724137931034484,0.01645734,0.010494854,0.6261946,True
93,3.206896551724138,0.02257444,0.0143928295,0.61075175,True
94,3.2413793103448274,0.033081852,0.0190379,0.55475324,True
95,3.2758620689655173,0.04412413,0.020560687,0.46665883,True
96,3.310344827586207,0.050941147,0.018505832,0.37243462,True
97,3.3448275862068964,0.055212904,0.015672913,0.28971148,True
98,3.3793103448275863,0.059231978,0.012411332,0.22801998,True
99,3.413793103448276,0.056186303,0.009436653,0.21038567,True
100,3.4482758620689653,0.04359511,0.009311618,0.27156544,True
101,3.4827586206896552,0.030291403,0.01179055,0.42507437,True
102,3.5172413793103448,0.021629905,0.013986861,0.6336166,True
103,3.5517241379310347,0.01688946,0.0147259645,0.82624626,False
104,3.586206896551724,0.015656674,0.015511495,0.95340043,False
105,3.6206896551724137,0.01741363,0.01785745,1.0196923,False
106,3.6551724137931036,0.019973317,0.021231977,1.0525861,False
107,3.689655172413793,0.021450246,0.023455545,1.0436108,False
108,3.7241379310344827,0.023521682,0.023867788,0.95194966,False
109,3.7586206896551726,0.02931939,0.022972612,0.7750066,False
110,3.793103448275862,0.037664738,0.020308884,0.5782453,False
111,3.8275862068965516,0.043876268,0.017067125,0.4336573,False
112,3.8620689655172415,0.04639367,0.015549923,0.36404583,False
113,3.896551724137931,0.047172416,0.01596939,0.35122707,False
114,3.9310344827586206,0.045330588,0.016611466,0.3652903,False
115,3.9655172413793105,0.03872166,0.01516294,0.38003436,False
116,4.0,0.029697275,0.0114624435,0.3851371,False
117,4.0344827586206895,0.021627022,0.008004836,0.40183923,False
118,4.068965517241379,0.01492726,0.006291485,0.47321364,False
119,4.103448275862069,0.009724084,0.0057982765,0.6101132,False
120,4.137931034482759,0.006931153,0.0057563977,0.7351288,False
