type,path,name,size,modified
dir,/弹性力学参考书/,弹性力学参考书,,2026-02-27T16:19:41+08:00
file,/弹性力学参考书/Elasticity-Barber.pdf,Elasticity-Barber.pdf,8916900,2026-02-27T16:19:34+08:00
file,/弹性力学参考书/Theory_of_Elasticity-Landau.pdf,Theory_of_Elasticity-Landau.pdf,22922543,2026-02-27T16:19:36+08:00
file,/弹性力学参考书/Theory_of_Elasticity-Timoshenko.pdf,Theory_of_Elasticity-Timoshenko.pdf,19511269,2026-02-27T16:19:39+08:00
file,/弹性力学参考书/弹性力学(第5版上册)-徐芝纶.pdf,弹性力学(第5版上册)-徐芝纶.pdf,43902279,2026-02-27T16:19:31+08:00
file,/弹性力学参考书/弹性力学教程-王敏中.pdf,弹性力学教程-王敏中.pdf,12961351,2026-02-27T16:19:32+08:00
file,"/弹性力学参考书/弹性理论基础(第2版)-陆明万,罗学富.pdf","弹性理论基础(第2版)-陆明万,罗学富.pdf",12857163,2026-02-27T16:19:41+08:00
dir,/材料力学参考书/,材料力学参考书,,2026-02-27T16:19:13+08:00
file,/材料力学参考书/Mechanics_of_Materials-Timoshenko.pdf,Mechanics_of_Materials-Timoshenko.pdf,54207565,2026-02-27T16:19:13+08:00
file,"/材料力学参考书/材料力学(第3版)-范钦珊,殷雅俊,唐靖林.pdf","材料力学(第3版)-范钦珊,殷雅俊,唐靖林.pdf",72868348,2026-02-27T16:19:07+08:00
file,/习题课1.pdf,习题课1.pdf,1027908,2026-04-18T21:02:58+08:00
file,/习题课1_1080p.mp4,习题课1_1080p.mp4,342126555,2026-04-18T21:00:20+08:00
file,/习题课1_720p.mp4,习题课1_720p.mp4,216006195,2026-04-18T21:00:31+08:00
