"1 _ 1",,,,,,"2 _ 3",,,,,,"3 _ 1",,,,,
"时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)"
"sec","N","mm","mm","%","%","sec","N","mm","mm","%","%","sec","N","mm","mm","%","%"
"0","163.327","0","0","0","0","0","563.8194","0","0","0","0","0","543.7098","0","0","0","0"
"0.01","163.331","8.333333E-06","4.8E-06","9.6E-06","1.515152E-05","0.01","563.8162","1.666667E-05","2.5E-06","5E-06","3.030303E-05","0.01","543.713","8.333333E-06","-1.9E-06","-3.8E-06","1.515152E-05"
"0.02","163.3356","1.666667E-05","9.2E-06","1.84E-05","3.030303E-05","0.02","563.8156","7.5E-05","4.7E-06","9.4E-06","0.0001363636","0.02","543.7151","2.5E-05","-3E-06","-6.000001E-06","4.545455E-05"
"0.03","163.3392","6.666667E-05","1.22E-05","2.44E-05","0.0001212121","0.03","563.8182","0.0001833333","6.8E-06","1.36E-05","0.0003333333","0.03","543.7166","0.0001","-2.7E-06","-5.4E-06","0.0001818182"
"0.04","163.3416","0.00015","1.37E-05","2.74E-05","0.0002727273","0.04","563.8274","0.0004166667","9.3E-06","1.86E-05","0.0007575757","0.04","543.7177","0.0002833333","-6E-07","-1.2E-06","0.0005151515"
"0.05","163.347","0.0002833333","1.44E-05","2.88E-05","0.0005151515","0.05","563.8524","0.0006333333","1.25E-05","2.5E-05","0.001151515","0.05","543.7196","0.0005166667","3.1E-06","6.2E-06","0.000939394"
"0.06","163.363","0.0004833333","1.51E-05","3.02E-05","0.0008787879","0.06","563.913","0.0008","1.54E-05","3.08E-05","0.001454546","0.06","543.728","0.0007","8E-06","1.6E-05","0.001272727"
"0.07","163.3974","0.00075","1.6E-05","3.2E-05","0.001363636","0.07","564.0418","0.0009666667","1.76E-05","3.52E-05","0.001757576","0.07","543.7554","0.000875","1.32E-05","2.64E-05","0.001590909"
"0.08","163.4532","0.000975","1.75E-05","3.5E-05","0.001772727","0.08","564.2782","0.001133333","1.91E-05","3.82E-05","0.002060606","0.08","543.82","0.001041667","1.78E-05","3.56E-05","0.001893939"
