"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0","-25.5948","0","0","0","0","0"
"0.01","-25.5892","0","1.6E-06","1.6E-06","3.2E-06","3.2E-06"
"0.02","-25.5832","0","3.7E-06","3.7E-06","7.4E-06","7.4E-06"
"0.03","-25.5776","0","5.9E-06","5.9E-06","1.18E-05","1.18E-05"
"0.04","-25.573","0","7.7E-06","7.7E-06","1.54E-05","1.54E-05"
"0.05","-25.5696","0","8.9E-06","8.9E-06","1.78E-05","1.78E-05"
"0.06","-25.5676","0","9.8E-06","9.8E-06","1.96E-05","1.96E-05"
"0.07","-25.5668","0","1.14E-05","1.14E-05","2.28E-05","2.28E-05"
"0.08","-25.5664","0","1.42E-05","1.42E-05","2.84E-05","2.84E-05"
"0.09","-25.565","0","1.83E-05","1.83E-05","3.66E-05","3.66E-05"
"0.1","-25.5616","8.333333E-06","2.38E-05","2.38E-05","4.76E-05","4.76E-05"
"0.11","-25.5574","8.333333E-06","2.98E-05","2.98E-05","5.96E-05","5.96E-05"
"0.12","-25.555","2.5E-05","3.55E-05","3.55E-05","7.1E-05","7.1E-05"
"0.13","-25.5566","3.333333E-05","4.02E-05","4.02E-05","8.04E-05","8.04E-05"
"0.14","-25.5612","5E-05","4.32E-05","4.32E-05","8.64E-05","8.64E-05"
"0.15","-25.5666","6.666667E-05","4.46E-05","4.46E-05","8.92E-05","8.92E-05"
"0.16","-25.5706","0.0001","4.5E-05","4.5E-05","9E-05","9E-05"
"0.17","-25.5714","0.0001416667","4.46E-05","4.46E-05","8.92E-05","8.92E-05"
"0.18","-25.5678","0.0001916667","4.31E-05","4.31E-05","8.62E-05","8.62E-05"
"0.19","-25.56","0.00025","4.04E-05","4.04E-05","8.08E-05","8.08E-05"
"0.2","-25.5486","0.0003","3.68E-05","3.68E-05","7.36E-05","7.36E-05"
"0.21","-25.5346","0.00035","3.26E-05","3.26E-05","6.52E-05","6.52E-05"
"0.22","-25.5202","0.000375","2.77E-05","2.77E-05","5.54E-05","5.54E-05"
"0.23","-25.5066","0.0004083333","2.27E-05","2.27E-05","4.54E-05","4.54E-05"
"0.24","-25.4954","0.0004416667","1.85E-05","1.85E-05","3.7E-05","3.7E-05"
"0.25","-25.4864","0.000475","1.53E-05","1.53E-05","3.06E-05","3.06E-05"
"0.26","-25.48","0.0005083333","1.32E-05","1.32E-05","2.64E-05","2.64E-05"
"0.27","-25.4754","0.00055","1.19E-05","1.19E-05","2.38E-05","2.38E-05"
"0.28","-25.4706","0.0006","1.16E-05","1.16E-05","2.32E-05","2.32E-05"
"0.29","-25.4638","0.0006416667","1.23E-05","1.23E-05","2.46E-05","2.46E-05"
"0.3","-25.4544","0.0006916667","1.32E-05","1.32E-05","2.64E-05","2.64E-05"
"0.31","-25.4428","0.0007333333","1.39E-05","1.39E-05","2.78E-05","2.78E-05"
"0.32","-25.4296","0.0007833333","1.41E-05","1.41E-05","2.82E-05","2.82E-05"
"0.33","-25.4148","0.0008333334","1.37E-05","1.37E-05","2.74E-05","2.74E-05"
"0.34","-25.3942","0.0008833333","1.27E-05","1.27E-05","2.54E-05","2.54E-05"
"0.35","-25.3622","0.0009333334","1.14E-05","1.14E-05","2.28E-05","2.28E-05"
"0.36","-25.3136","0.0009916667","1.03E-05","1.03E-05","2.06E-05","2.06E-05"
"0.37","-25.2428","0.00105","9.6E-06","9.6E-06","1.92E-05","1.92E-05"
"0.38","-25.1446","0.001108333","1E-05","1E-05","2E-05","2E-05"
"0.39","-25.0144","0.001175","1.18E-05","1.18E-05","2.36E-05","2.36E-05"
"0.4","-24.8482","0.001241667","1.56E-05","1.56E-05","3.12E-05","3.12E-05"
"0.41","-24.6428","0.0013","2.14E-05","2.14E-05","4.28E-05","4.28E-05"
"0.42","-24.3972","0.001375","2.89E-05","2.89E-05","5.78E-05","5.78E-05"
"0.43","-24.111","0.001441667","3.75E-05","3.75E-05","7.5E-05","7.5E-05"
"0.44","-23.785","0.001516667","4.66E-05","4.66E-05","9.32E-05","9.32E-05"
"0.45","-23.4206","0.001591667","5.62E-05","5.62E-05","0.0001124","0.0001124"
"0.46","-23.021","0.001658333","6.61E-05","6.61E-05","0.0001322","0.0001322"
