"1 _ 1",,,,,,
"时间","载荷","行程","应力","行程(应变)","位移","位移(应变)"
"sec","N","mm","N/mm2","%","mm","%"
"0","82.5162","0","82.5162","0","0","0"
"0.01","82.5158","0.0001583333","82.5158","0.0001583333","0.0001583333","0.0001583333"
"0.02","82.5158","0.000675","82.5158","0.000675","0.000675","0.000675"
"0.03","82.5248","0.00155","82.5248","0.00155","0.00155","0.00155"
"0.04","82.5552","0.002366667","82.5552","0.002366667","0.002366667","0.002366667"
"0.05","82.62939","0.003158333","82.62939","0.003158333","0.003158333","0.003158333"
"0.06","82.7964","0.003958333","82.7964","0.003958333","0.003958333","0.003958333"
"0.07","83.1396","0.004775","83.1396","0.004775","0.004775","0.004775"
"0.08","83.7748","0.005625","83.7748","0.005625","0.005625","0.005625"
"0.09","84.8336","0.0065","84.8336","0.0065","0.0065","0.0065"
"0.1","86.4456","0.007383334","86.4456","0.007383334","0.007383334","0.007383334"
"0.11","88.7212","0.008266667","88.7212","0.008266667","0.008266667","0.008266667"
"0.12","91.7414","0.00915","91.7414","0.00915","0.00915","0.00915"
"0.13","95.5486","0.01000833","95.5486","0.01000833","0.01000833","0.01000833"
"0.14","100.1484","0.01085833","100.1484","0.01085833","0.01085833","0.01085833"
"0.15","105.5108","0.01170833","105.5108","0.01170833","0.01170833","0.01170833"
"0.16","111.5778","0.01255833","111.5778","0.01255833","0.01255833","0.01255833"
"0.17","118.2716","0.01340833","118.2716","0.01340833","0.01340833","0.01340833"
"0.18","125.4998","0.01425833","125.4998","0.01425833","0.01425833","0.01425833"
"0.19","133.1642","0.01509167","133.1642","0.01509167","0.01509167","0.01509167"
"0.2","141.1658","0.01593333","141.1658","0.01593333","0.01593333","0.01593333"
"0.21","149.4116","0.016775","149.4116","0.016775","0.016775","0.016775"
"0.22","157.815","0.01760833","157.815","0.01760833","0.01760833","0.01760833"
"0.23","166.2972","0.01845","166.2972","0.01845","0.01845","0.01845"
"0.24","174.7918","0.01928333","174.7918","0.01928333","0.01928333","0.01928333"
"0.25","183.2426","0.02011667","183.2426","0.02011667","0.02011667","0.02011667"
"0.26","191.6056","0.02094167","191.6056","0.02094167","0.02094167","0.02094167"
"0.27","199.8462","0.0218","199.8462","0.0218","0.0218","0.0218"
"0.28","207.9374","0.02261667","207.9374","0.02261667","0.02261667","0.02261667"
"0.29","215.8594","0.02345","215.8594","0.02345","0.02345","0.02345"
"0.3","223.599","0.02428333","223.599","0.02428333","0.02428333","0.02428333"
"0.31","231.1508","0.02511667","231.1508","0.02511667","0.02511667","0.02511667"
"0.32","238.514","0.02595","238.514","0.02595","0.02595","0.02595"
"0.33","245.6918","0.02679167","245.6918","0.02679167","0.02679167","0.02679167"
"0.34","252.6904","0.027625","252.6904","0.027625","0.027625","0.027625"
"0.35","259.5192","0.02845833","259.5192","0.02845833","0.02845833","0.02845833"
"0.36","266.1872","0.02929167","266.1872","0.02929167","0.02929167","0.02929167"
"0.37","272.7038","0.03011667","272.7038","0.03011667","0.03011667","0.03011667"
"0.38","279.0762","0.03095","279.0762","0.03095","0.03095","0.03095"
"0.39","285.3104","0.03179167","285.3104","0.03179167","0.03179167","0.03179167"
"0.4","291.4114","0.03261667","291.4114","0.03261667","0.03261667","0.03261667"
"0.41","297.3848","0.03345833","297.3848","0.03345833","0.03345833","0.03345833"
"0.42","303.2382","0.03429167","303.2382","0.03429167","0.03429167","0.03429167"
"0.43","308.98","0.03513333","308.98","0.03513333","0.03513333","0.03513333"
"0.44","314.616","0.03596667","314.616","0.03596667","0.03596667","0.03596667"
"0.45","320.1508","0.0368","320.1508","0.0368","0.0368","0.0368"
"0.46","325.5894","0.03763333","325.5894","0.03763333","0.03763333","0.03763333"
"0.47","330.9362","0.03846667","330.9362","0.03846667","0.03846667","0.03846667"
"0.48","336.195","0.0393","336.195","0.0393","0.0393","0.0393"
"0.49","341.3684","0.040125","341.3684","0.040125","0.040125","0.040125"
"0.5","346.4604","0.04096667","346.4604","0.04096667","0.04096667","0.04096667"
"0.51","351.4764","0.04179167","351.4764","0.04179167","0.04179167","0.04179167"
"0.52","356.4214","0.042625","356.4214","0.042625","0.042625","0.042625"
"0.53","361.3008","0.04345834","361.3008","0.04345834","0.04345834","0.04345834"
"0.54","366.119","0.04429167","366.119","0.04429167","0.04429167","0.04429167"
"0.55","370.8792","0.04513333","370.8792","0.04513333","0.04513333","0.04513333"
"0.56","375.5854","0.04596667","375.5854","0.04596667","0.04596667","0.04596667"
"0.57","380.242","0.0468","380.242","0.0468","0.0468","0.0468"
"0.58","384.8504","0.04763333","384.8504","0.04763333","0.04763333","0.04763333"
"0.59","389.4112","0.04845833","389.4112","0.04845833","0.04845833","0.04845833"
"0.6","393.9246","0.04929167","393.9246","0.04929167","0.04929167","0.04929167"
"0.61","398.3892","0.050125","398.3892","0.050125","0.050125","0.050125"
"0.62","402.8052","0.05095834","402.8052","0.05095833","0.05095834","0.05095833"
"0.63","407.1736","0.05179167","407.1736","0.05179167","0.05179167","0.05179167"
"0.64","411.4948","0.052625","411.4948","0.052625","0.052625","0.052625"
"0.65","415.7684","0.05345833","415.7684","0.05345833","0.05345833","0.05345833"
"0.66","419.9942","0.05429167","419.9942","0.05429167","0.05429167","0.05429167"
"0.67","424.171","0.055125","424.171","0.055125","0.055125","0.055125"
"0.68","428.2966","0.05596667","428.2966","0.05596667","0.05596667","0.05596667"
"0.69","432.369","0.0568","432.369","0.0568","0.0568","0.0568"
"0.7","436.388","0.05763333","436.388","0.05763333","0.05763333","0.05763333"
"0.71","440.352","0.05846667","440.352","0.05846667","0.05846667","0.05846667"
"0.72","444.2592","0.05930834","444.2592","0.05930833","0.05930834","0.05930833"
"0.73","448.1058","0.06013333","448.1058","0.06013333","0.06013333","0.06013333"
"0.74","451.888","0.06096667","451.888","0.06096667","0.06096667","0.06096667"
"0.75","455.601","0.06180833","455.601","0.06180833","0.06180833","0.06180833"
"0.76","459.2406","0.06263334","459.2406","0.06263334","0.06263334","0.06263334"
"0.77","462.8032","0.06346667","462.8032","0.06346667","0.06346667","0.06346667"
"0.78","466.2866","0.0643","466.2866","0.0643","0.0643","0.0643"
"0.79","469.69","0.06513333","469.69","0.06513333","0.06513333","0.06513333"
"0.8","473.0136","0.065975","473.0136","0.065975","0.065975","0.065975"
"0.81","476.2568","0.0668","476.2568","0.0668","0.0668","0.0668"
"0.82","479.4212","0.06763333","479.4212","0.06763333","0.06763333","0.06763333"
"0.83","482.5116","0.06845833","482.5116","0.06845833","0.06845833","0.06845833"
"0.84","485.5338","0.06929167","485.5338","0.06929167","0.06929167","0.06929167"
"0.85","488.4942","0.07013334","488.4942","0.07013334","0.07013334","0.07013334"
"0.86","491.3986","0.07095833","491.3986","0.07095833","0.07095833","0.07095833"
"0.87","494.2524","0.0718","494.2524","0.0718","0.0718","0.0718"
"0.88","497.0612","0.07263333","497.0612","0.07263333","0.07263333","0.07263333"
"0.89","499.8316","0.07345834","499.8316","0.07345834","0.07345834","0.07345834"
"0.9","502.5688","0.07429167","502.5688","0.07429167","0.07429167","0.07429167"
"0.91","505.277","0.075125","505.277","0.075125","0.075125","0.075125"
"0.92","507.9578","0.07595833","507.9578","0.07595833","0.07595833","0.07595833"
"0.93","510.6138","0.07678334","510.6138","0.07678334","0.07678334","0.07678334"
"0.94","513.2474","0.077625","513.2474","0.077625","0.077625","0.077625"
"0.95","515.8594","0.07845","515.8594","0.07845","0.07845","0.07845"
"0.96","518.4512","0.07929166","518.4512","0.07929166","0.07929166","0.07929166"
"0.97","521.0236","0.080125","521.0236","0.080125","0.080125","0.080125"
"0.98","523.5768","0.08095834","523.5768","0.08095834","0.08095834","0.08095834"
"0.99","526.1132","0.08179167","526.1132","0.08179167","0.08179167","0.08179167"
"1","528.635","0.08263333","528.635","0.08263333","0.08263333","0.08263333"
"1.01","531.1448","0.08346666","531.1448","0.08346666","0.08346666","0.08346666"
"1.02","533.646","0.0843","533.646","0.0843","0.0843","0.0843"
"1.03","536.1428","0.08513334","536.1428","0.08513334","0.08513334","0.08513334"
"1.04","538.6386","0.08595833","538.6386","0.08595833","0.08595833","0.08595833"
"1.05","541.1344","0.08679166","541.1344","0.08679166","0.08679166","0.08679166"
"1.06","543.63","0.08761667","543.63","0.08761667","0.08761667","0.08761667"
"1.07","546.1226","0.08845834","546.1226","0.08845834","0.08845834","0.08845834"
"1.08","548.609","0.08929167","548.609","0.08929167","0.08929167","0.08929167"
"1.09","551.0856","0.090125","551.0856","0.090125","0.090125","0.090125"
"1.1","553.5508","0.09095833","553.5508","0.09095833","0.09095833","0.09095833"
"1.11","556.0048","0.09179167","556.0048","0.09179167","0.09179167","0.09179167"
"1.12","558.4506","0.09263334","558.4506","0.09263334","0.09263334","0.09263334"
"1.13","560.891","0.09346667","560.891","0.09346667","0.09346667","0.09346667"
"1.14","563.3302","0.0943","563.3302","0.0943","0.0943","0.0943"
"1.15","565.771","0.09513333","565.771","0.09513333","0.09513333","0.09513333"
"1.16","568.215","0.09596667","568.215","0.09596667","0.09596667","0.09596667"
"1.17","570.6638","0.09679167","570.6638","0.09679167","0.09679167","0.09679167"
"1.18","573.1176","0.097625","573.1176","0.097625","0.097625","0.097625"
"1.19","575.5756","0.09846666","575.5756","0.09846666","0.09846666","0.09846666"
"1.2","578.0372","0.09929167","578.0372","0.09929167","0.09929167","0.09929167"
"1.21","580.5026","0.100125","580.5026","0.100125","0.100125","0.100125"
"1.22","582.9718","0.1009667","582.9718","0.1009667","0.1009667","0.1009667"
"1.23","585.4456","0.1018","585.4456","0.1018","0.1018","0.1018"
"1.24","587.9248","0.1026417","587.9248","0.1026417","0.1026417","0.1026417"
"1.25","590.41","0.103475","590.41","0.103475","0.103475","0.103475"
"1.26","592.9019","0.1043","592.9019","0.1043","0.1043","0.1043"
"1.27","595.4","0.1051417","595.4","0.1051417","0.1051417","0.1051417"
"1.28","597.9026","0.105975","597.9026","0.105975","0.105975","0.105975"
"1.29","600.4066","0.1068083","600.4066","0.1068083","0.1068083","0.1068083"
"1.3","602.9096","0.1076417","602.9096","0.1076417","0.1076417","0.1076417"
"1.31","605.41","0.1084667","605.41","0.1084667","0.1084667","0.1084667"
"1.32","607.9063","0.1093","607.9063","0.1093","0.1093","0.1093"
"1.33","610.3966","0.1101333","610.3966","0.1101333","0.1101333","0.1101333"
"1.34","612.8808","0.1109583","612.8808","0.1109583","0.1109583","0.1109583"
"1.35","615.3592","0.1118","615.3592","0.1118","0.1118","0.1118"
"1.36","617.8316","0.1126333","617.8316","0.1126333","0.1126333","0.1126333"
"1.37","620.2978","0.1134667","620.2978","0.1134667","0.1134667","0.1134667"
"1.38","622.758","0.1143","622.758","0.1143","0.1143","0.1143"
"1.39","625.2114","0.1151333","625.2114","0.1151333","0.1151333","0.1151333"
"1.4","627.6574","0.1159667","627.6574","0.1159667","0.1159667","0.1159667"
"1.41","630.0954","0.1167917","630.0954","0.1167917","0.1167917","0.1167917"
"1.42","632.526","0.117625","632.526","0.117625","0.117625","0.117625"
"1.43","634.9486","0.11845","634.9486","0.11845","0.11845","0.11845"
"1.44","637.3632","0.1192917","637.3632","0.1192917","0.1192917","0.1192917"
"1.45","639.7704","0.1201167","639.7704","0.1201167","0.1201167","0.1201167"
"1.46","642.1712","0.1209583","642.1712","0.1209583","0.1209583","0.1209583"
"1.47","644.5664","0.1217917","644.5664","0.1217917","0.1217917","0.1217917"
"1.48","646.9578","0.122625","646.9578","0.122625","0.122625","0.122625"
"1.49","649.3458","0.1234667","649.3458","0.1234667","0.1234667","0.1234667"
"1.5","651.731","0.1243","651.731","0.1243","0.1243","0.1243"
"1.51","654.1146","0.1251333","654.1146","0.1251333","0.1251333","0.1251333"
"1.52","656.4974","0.1259667","656.4974","0.1259667","0.1259667","0.1259667"
"1.53","658.8806","0.1268","658.8806","0.1268","0.1268","0.1268"
"1.54","661.2654","0.1276333","661.2654","0.1276333","0.1276333","0.1276333"
"1.55","663.6522","0.1284667","663.6522","0.1284667","0.1284667","0.1284667"
"1.56","666.0416","0.1293","666.0416","0.1293","0.1293","0.1293"
"1.57","668.4336","0.1301333","668.4336","0.1301333","0.1301333","0.1301333"
"1.58","670.8294","0.130975","670.8294","0.130975","0.130975","0.130975"
"1.59","673.2308","0.1317917","673.2308","0.1317917","0.1317917","0.1317917"
"1.6","675.6386","0.132625","675.6386","0.132625","0.132625","0.132625"
"1.61","678.053","0.1334667","678.053","0.1334667","0.1334667","0.1334667"
"1.62","680.4728","0.1342833","680.4728","0.1342833","0.1342833","0.1342833"
"1.63","682.8964","0.135125","682.8964","0.135125","0.135125","0.135125"
"1.64","685.3218","0.1359583","685.3218","0.1359583","0.1359583","0.1359583"
"1.65","687.7476","0.1367917","687.7476","0.1367917","0.1367917","0.1367917"
"1.66","690.1734","0.137625","690.1734","0.137625","0.137625","0.137625"
"1.67","692.5998","0.1384583","692.5998","0.1384583","0.1384583","0.1384583"
"1.68","695.0274","0.1392917","695.0274","0.1392917","0.1392917","0.1392917"
"1.69","697.4582","0.140125","697.4582","0.140125","0.140125","0.140125"
"1.7","699.8936","0.14095","699.8936","0.14095","0.14095","0.14095"
"1.71","702.335","0.1417833","702.335","0.1417833","0.1417833","0.1417833"
"1.72","704.7828","0.142625","704.7828","0.142625","0.142625","0.142625"
"1.73","707.2358","0.1434417","707.2358","0.1434417","0.1434417","0.1434417"
"1.74","709.6914","0.1442833","709.6914","0.1442833","0.1442833","0.1442833"
"1.75","712.149","0.145125","712.149","0.145125","0.145125","0.145125"
"1.76","714.609","0.14595","714.609","0.14595","0.14595","0.14595"
"1.77","717.0744","0.1467917","717.0744","0.1467917","0.1467917","0.1467917"
"1.78","719.5478","0.147625","719.5478","0.147625","0.147625","0.147625"
"1.79","722.0312","0.1484583","722.0312","0.1484583","0.1484583","0.1484583"
"1.8","724.5254","0.1492917","724.5254","0.1492917","0.1492917","0.1492917"
"1.81","727.0291","0.150125","727.0291","0.150125","0.150125","0.150125"
"1.82","729.5404","0.15095","729.5404","0.15095","0.15095","0.15095"
"1.83","732.0592","0.1517917","732.0592","0.1517917","0.1517917","0.1517917"
"1.84","734.5848","0.152625","734.5848","0.152625","0.152625","0.152625"
"1.85","737.1164","0.1534583","737.1164","0.1534583","0.1534583","0.1534583"
"1.86","739.652","0.1542917","739.652","0.1542917","0.1542917","0.1542917"
"1.87","742.1898","0.1551167","742.1898","0.1551167","0.1551167","0.1551167"
"1.88","744.7284","0.15595","744.7284","0.15595","0.15595","0.15595"
"1.89","747.266","0.1567833","747.266","0.1567833","0.1567833","0.1567833"
"1.9","749.8026","0.1576167","749.8026","0.1576167","0.1576167","0.1576167"
"1.91","752.3382","0.1584583","752.3382","0.1584583","0.1584583","0.1584583"
"1.92","754.8726","0.1592917","754.8726","0.1592917","0.1592917","0.1592917"
"1.93","757.4058","0.1601167","757.4058","0.1601167","0.1601167","0.1601167"
"1.94","759.9364","0.1609583","759.9364","0.1609583","0.1609583","0.1609583"
"1.95","762.4632","0.1617833","762.4632","0.1617833","0.1617833","0.1617833"
"1.96","764.9854","0.1626167","764.9854","0.1626167","0.1626167","0.1626167"
"1.97","767.5022","0.1634583","767.5022","0.1634583","0.1634583","0.1634583"
"1.98","770.0134","0.1642917","770.0134","0.1642917","0.1642917","0.1642917"
"1.99","772.5188","0.165125","772.5188","0.165125","0.165125","0.165125"
"2","775.0188","0.1659667","775.0188","0.1659667","0.1659667","0.1659667"
"2.01","777.5138","0.1667917","777.5138","0.1667917","0.1667917","0.1667917"
"2.02","780.0048","0.1676333","780.0048","0.1676333","0.1676333","0.1676333"
"2.03","782.4934","0.1684667","782.4934","0.1684667","0.1684667","0.1684667"
"2.04","784.981","0.1693","784.981","0.1693","0.1693","0.1693"
"2.05","787.4694","0.1701417","787.4694","0.1701417","0.1701417","0.1701417"
"2.06","789.9584","0.1709667","789.9584","0.1709667","0.1709667","0.1709667"
"2.07","792.4488","0.1718083","792.4488","0.1718083","0.1718083","0.1718083"
"2.08","794.9409","0.1726333","794.9409","0.1726333","0.1726333","0.1726333"
"2.09","797.4342","0.1734667","797.4342","0.1734667","0.1734667","0.1734667"
"2.1","799.9296","0.1743","799.9296","0.1743","0.1743","0.1743"
"2.11","802.4274","0.1751417","802.4274","0.1751417","0.1751417","0.1751417"
"2.12","804.9288","0.1759667","804.9288","0.1759667","0.1759667","0.1759667"
"2.13","807.4342","0.1768","807.4342","0.1768","0.1768","0.1768"
"2.14","809.9434","0.1776333","809.9434","0.1776333","0.1776333","0.1776333"
