"1 _ 1",,,
"时间","载荷","行程","位移"
"sec","N","mm","mm"
"0","23.7948","0","0"
"0.01","23.7926","0.0005583334","0.0005583334"
"0.02","23.7914","0.002825","0.002825"
"0.03","23.7934","0.005475","0.005475"
"0.04","23.8068","0.008475","0.008475"
"0.05","23.855","0.01181667","0.01181667"
"0.06","23.9764","0.01519167","0.01519167"
"0.07","24.2196","0.018575","0.018575"
"0.08","24.636","0.02195833","0.02195833"
"0.09","25.2718","0.025325","0.025325"
"0.1","26.1616","0.028675","0.028675"
"0.11","27.326","0.03203334","0.03203334"
"0.12","28.7706","0.0354","0.0354"
"0.13","30.488","0.03875833","0.03875833"
"0.14","32.4612","0.0421","0.0421"
"0.15","34.6666","0.04545834","0.04545834"
"0.16","37.0772","0.04878333","0.04878333"
"0.17","39.663","0.05214167","0.05214167"
"0.18","42.394","0.05548333","0.05548333"
"0.19","45.2424","0.058825","0.058825"
"0.2","48.1828","0.06215834","0.06215834"
"0.21","51.1914","0.06549167","0.06549167"
"0.22","54.2464","0.06881667","0.06881667"
"0.23","57.3306","0.07214167","0.07214167"
"0.24","60.4314","0.07548334","0.07548334"
"0.25","63.5394","0.07881667","0.07881667"
"0.26","66.648","0.08213334","0.08213334"
"0.27","69.7522","0.08545","0.08545"
"0.28","72.8488","0.08878333","0.08878333"
"0.29","75.93581","0.0921","0.0921"
"0.3","79.0104","0.095425","0.095425"
"0.31","82.0708","0.09876667","0.09876667"
"0.32","85.1148","0.1021167","0.1021167"
"0.33","88.1416","0.1054583","0.1054583"
"0.34","91.1512","0.1087917","0.1087917"
"0.35","94.1436","0.1121333","0.1121333"
"0.36","97.1178","0.1154667","0.1154667"
"0.37","100.075","0.1188","0.1188"
"0.38","103.0158","0.1221417","0.1221417"
"0.39","105.941","0.125475","0.125475"
"0.4","108.8506","0.1288","0.1288"
"0.41","111.7464","0.1321417","0.1321417"
"0.42","114.6298","0.1354833","0.1354833"
"0.43","117.5018","0.1388167","0.1388167"
"0.44","120.3632","0.1421417","0.1421417"
"0.45","123.2144","0.145475","0.145475"
"0.46","126.0566","0.148775","0.148775"
"0.47","128.8906","0.1520917","0.1520917"
"0.48","131.7166","0.1554083","0.1554083"
"0.49","134.5342","0.1587333","0.1587333"
"0.5","137.3426","0.1620583","0.1620583"
"0.51","140.1422","0.1654","0.1654"
"0.52","142.9324","0.16875","0.16875"
"0.53","145.7136","0.1721","0.1721"
"0.54","148.4872","0.1754417","0.1754417"
"0.55","151.2552","0.1787833","0.1787833"
"0.56","154.019","0.182125","0.182125"
"0.57","156.777","0.185475","0.185475"
"0.58","159.528","0.188825","0.188825"
"0.59","162.2708","0.19215","0.19215"
"0.6","165.006","0.1954833","0.1954833"
"0.61","167.7336","0.198825","0.198825"
"0.62","170.454","0.20215","0.20215"
"0.63","173.1684","0.2054833","0.2054833"
"0.64","175.8774","0.2088167","0.2088167"
"0.65","178.5814","0.21215","0.21215"
"0.66","181.279","0.2154667","0.2154667"
"0.67","183.9692","0.2187833","0.2187833"
"0.68","186.6516","0.2221083","0.2221083"
"0.69","189.3264","0.225425","0.225425"
"0.7","191.9932","0.22875","0.22875"
"0.71","194.6526","0.2320917","0.2320917"
"0.72","197.3048","0.2354333","0.2354333"
"0.73","199.9492","0.238775","0.238775"
"0.74","202.5864","0.2421167","0.2421167"
"0.75","205.216","0.2454667","0.2454667"
"0.76","207.8386","0.2488083","0.2488083"
"0.77","210.4554","0.25215","0.25215"
"0.78","213.0668","0.2555","0.2555"
"0.79","215.6726","0.2588167","0.2588167"
"0.8","218.272","0.2621333","0.2621333"
"0.81","220.8644","0.2654667","0.2654667"
"0.82","223.4498","0.2688","0.2688"
"0.83","226.0284","0.2721167","0.2721167"
"0.84","228.6004","0.27545","0.27545"
"0.85","231.1654","0.278775","0.278775"
"0.86","233.7234","0.2820917","0.2820917"
"0.87","236.2746","0.2854167","0.2854167"
"0.88","238.8194","0.28875","0.28875"
"0.89","241.3574","0.292075","0.292075"
"0.9","243.889","0.2954","0.2954"
"0.91","246.4138","0.2987417","0.2987417"
"0.92","248.9314","0.3020833","0.3020833"
"0.93","251.442","0.305425","0.305425"
"0.94","253.9458","0.3087667","0.3087667"
"0.95","256.4436","0.3121167","0.3121167"
"0.96","258.9354","0.3154583","0.3154583"
"0.97","261.4214","0.3188083","0.3188083"
"0.98","263.9016","0.3221583","0.3221583"
"0.99","266.3756","0.3254917","0.3254917"
"1","268.8446","0.3288167","0.3288167"
"1.01","271.3092","0.3321667","0.3321667"
"1.02","273.77","0.3355","0.3355"
"1.03","276.227","0.338825","0.338825"
"1.04","278.6796","0.3421583","0.3421583"
"1.05","281.1272","0.3454917","0.3454917"
"1.06","283.5682","0.3488083","0.3488083"
"1.07","286.0022","0.352125","0.352125"
"1.08","288.4292","0.35545","0.35545"
"1.09","290.8486","0.358775","0.358775"
"1.1","293.26","0.3620917","0.3620917"
"1.11","295.6636","0.3654333","0.3654333"
"1.12","298.059","0.368775","0.368775"
"1.13","300.4466","0.3721167","0.3721167"
"1.14","302.8258","0.3754583","0.3754583"
"1.15","305.197","0.3788","0.3788"
"1.16","307.5606","0.3821333","0.3821333"
"1.17","309.918","0.385475","0.385475"
"1.18","312.2702","0.3888167","0.3888167"
"1.19","314.6178","0.3921417","0.3921417"
"1.2","316.9598","0.395475","0.395475"
"1.21","319.2942","0.3988","0.3988"
"1.22","321.6212","0.402125","0.402125"
"1.23","323.9414","0.40545","0.40545"
"1.24","326.256","0.408775","0.408775"
"1.25","328.5652","0.4121083","0.4121083"
"1.26","330.8686","0.415425","0.415425"
"1.27","333.166","0.4187417","0.4187417"
"1.28","335.4566","0.422075","0.422075"
"1.29","337.74","0.4254","0.4254"
"1.3","340.0158","0.4287333","0.4287333"
"1.31","342.2826","0.432075","0.432075"
"1.32","344.5402","0.4354167","0.4354167"
"1.33","346.7878","0.4387667","0.4387667"
"1.34","349.0258","0.4421083","0.4421083"
"1.35","351.2548","0.4454584","0.4454584"
"1.36","353.4738","0.4488","0.4488"
"1.37","355.6828","0.45215","0.45215"
"1.38","357.8828","0.4555084","0.4555084"
"1.39","360.0746","0.45885","0.45885"
"1.4","362.2594","0.4621917","0.4621917"
"1.41","364.438","0.4655167","0.4655167"
"1.42","366.6108","0.46885","0.46885"
"1.43","368.7774","0.472175","0.472175"
"1.44","370.9382","0.4755","0.4755"
"1.45","373.094","0.478825","0.478825"
"1.46","375.2444","0.4821417","0.4821417"
"1.47","377.3884","0.48545","0.48545"
"1.48","379.525","0.488775","0.488775"
"1.49","381.6526","0.4920917","0.4920917"
"1.5","383.7706","0.495425","0.495425"
"1.51","385.8788","0.4987667","0.4987667"
"1.52","387.9772","0.5021","0.5021"
"1.53","390.066","0.50545","0.50545"
"1.54","392.146","0.5087917","0.5087917"
"1.55","394.2162","0.5121334","0.5121334"
"1.56","396.2766","0.5154583","0.5154583"
"1.57","398.329","0.5187917","0.5187917"
"1.58","400.3756","0.5221334","0.5221334"
"1.59","402.4182","0.5254583","0.5254583"
"1.6","404.457","0.5287917","0.5287917"
"1.61","406.4912","0.532125","0.532125"
"1.62","408.5188","0.5354583","0.5354583"
"1.63","410.5384","0.5387833","0.5387833"
"1.64","412.5484","0.5421","0.5421"
"1.65","414.547","0.5454333","0.5454333"
"1.66","416.534","0.5487583","0.5487583"
"1.67","418.5084","0.5520917","0.5520917"
"1.68","420.4712","0.555425","0.555425"
"1.69","422.424","0.5587583","0.5587583"
"1.7","424.3672","0.562075","0.562075"
"1.71","426.3022","0.5654167","0.5654167"
"1.72","428.2302","0.5687667","0.5687667"
"1.73","430.1524","0.5721083","0.5721083"
"1.74","432.0696","0.5754583","0.5754583"
"1.75","433.9822","0.5787917","0.5787917"
"1.76","435.8916","0.5821417","0.5821417"
"1.77","437.7984","0.5854833","0.5854833"
"1.78","439.7016","0.5888333","0.5888333"
"1.79","441.6002","0.5921667","0.5921667"
"1.8","443.4934","0.5955","0.5955"
"1.81","445.3802","0.5988417","0.5988417"
"1.82","447.2606","0.6021667","0.6021667"
"1.83","449.135","0.6054917","0.6054917"
"1.84","451.0046","0.6088167","0.6088167"
"1.85","452.8704","0.6121417","0.6121417"
"1.86","454.733","0.6154584","0.6154584"
"1.87","456.5914","0.6187834","0.6187834"
"1.88","458.4436","0.6221167","0.6221167"
"1.89","460.2864","0.6254333","0.6254333"
"1.9","462.1166","0.6287583","0.6287583"
"1.91","463.9328","0.6320834","0.6320834"
"1.92","465.7368","0.635425","0.635425"
"1.93","467.5306","0.6387666","0.6387666"
"1.94","469.3164","0.6421167","0.6421167"
"1.95","471.096","0.6454583","0.6454583"
"1.96","472.869","0.6488","0.6488"
"1.97","474.6362","0.6521333","0.6521333"
"1.98","476.399","0.6554667","0.6554667"
"1.99","478.1576","0.6588084","0.6588084"
"2","479.9134","0.6621417","0.6621417"
"2.01","481.6658","0.6654834","0.6654834"
"2.02","483.4144","0.6688083","0.6688083"
"2.03","485.1594","0.672125","0.672125"
"2.04","486.9006","0.6754583","0.6754583"
"2.05","488.6364","0.678775","0.678775"
"2.06","490.3654","0.6820917","0.6820917"
"2.07","492.086","0.6854167","0.6854167"
"2.08","493.7968","0.6887583","0.6887583"
"2.09","495.498","0.6920834","0.6920834"
"2.1","497.1904","0.6954","0.6954"
"2.11","498.8748","0.6987417","0.6987417"
"2.12","500.5534","0.7020833","0.7020833"
"2.13","502.2276","0.7054334","0.7054334"
"2.14","503.8978","0.7087833","0.7087833"
"2.15","505.5646","0.712125","0.712125"
"2.16","507.2278","0.7154667","0.7154667"
"2.17","508.8856","0.7188084","0.7188084"
"2.18","510.5372","0.72215","0.72215"
