"1 _ 1",,,,,,"2 _ 3",,,,,,"3 _ 1",,,,,
"时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)"
"sec","N","mm","mm","%","%","sec","N","mm","mm","%","%","sec","N","mm","mm","%","%"
"0","61.9424","0","0","0","0","0","543.233","0","0","0","0","0","531.6928","0","0","0","0"
"0.01","61.9416","8.333333E-06","-1.9E-06","-7.6E-06","1.515152E-05","0.01","543.2324","8.333333E-06","2E-06","8E-06","1.515152E-05","0.01","531.6974","8.333333E-06","-3.2E-06","-1.28E-05","1.515152E-05"
"0.02","61.9426","5E-05","-4.4E-06","-1.76E-05","9.09091E-05","0.02","543.2308","4.166667E-05","2.7E-06","1.08E-05","7.575758E-05","0.02","531.7034","4.166667E-05","-7.1E-06","-2.84E-05","7.575758E-05"
"0.03","61.9458","0.0001083333","-6.4E-06","-2.56E-05","0.0001969697","0.03","543.229","0.0001333333","1.9E-06","7.6E-06","0.0002424242","0.03","531.7102","0.0001","-1.17E-05","-4.68E-05","0.0001818182"
"0.04","61.9522","0.0002166667","-7.8E-06","-3.12E-05","0.0003939394","0.04","543.2282","0.0003416667","-2E-07","-8E-07","0.0006212121","0.04","531.716","0.0002083333","-1.62E-05","-6.48E-05","0.0003787879"
"0.05","61.9646","0.0003833333","-8.8E-06","-3.52E-05","0.0006969697","0.05","543.2284","0.0005666667","-2.9E-06","-1.16E-05","0.001030303","0.05","531.7202","0.0003916667","-2.02E-05","-8.08E-05","0.0007121212"
"0.06","61.9858","0.0006333333","-9.6E-06","-3.84E-05","0.001151515","0.06","543.2316","0.00075","-5.4E-06","-2.16E-05","0.001363636","0.06","531.7228","0.0006416667","-2.36E-05","-9.44E-05","0.001166667"
"0.07","62.0194","0.0008833333","-9.6E-06","-3.84E-05","0.001606061","0.07","543.2404","0.0009083333","-7.8E-06","-3.12E-05","0.001651515","0.07","531.7252","0.0008666667","-2.63E-05","-0.0001052","0.001575758"
"0.08","62.0668","0.001091667","-7.7E-06","-3.08E-05","0.001984848","0.08","543.2586","0.001058333","-9.5E-06","-3.8E-05","0.001924242","0.08","531.7292","0.001066667","-2.8E-05","-0.000112","0.001939394"
"0.09","62.1266","0.001266667","-3.9E-06","-1.56E-05","0.00230303","0.09","543.291","0.001216667","-1.02E-05","-4.08E-05","0.002212121","0.09","531.7364","0.001241667","-2.79E-05","-0.0001116","0.002257576"
"0.1","62.198","0.00145","1.1E-06","4.4E-06","0.002636363","0.1","543.3463","0.001375","-9.8E-06","-3.92E-05","0.0025","0.1","531.7468","0.001408333","-2.62E-05","-0.0001048","0.002560606"
"0.11","62.2788","0.001625","6.1E-06","2.44E-05","0.002954546","0.11","543.4336","0.001533333","-8.3E-06","-3.32E-05","0.002787879","0.11","531.7618","0.001566667","-2.27E-05","-9.08E-05","0.002848485"
"0.12","62.3656","0.001791667","1.04E-05","4.16E-05","0.003257576","0.12","543.5634","0.001691667","-5.3E-06","-2.12E-05","0.003075758","0.12","531.7852","0.001733333","-1.7E-05","-6.8E-05","0.003151515"
