"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0","186.4634","0","0","0","0","0"
"0.01","186.4608","0","1.3E-06","1.3E-06","5.2E-06","5.2E-06"
"0.02","186.456","0","3.1E-06","3.1E-06","1.24E-05","1.24E-05"
"0.03","186.4502","0","4.7E-06","4.7E-06","1.88E-05","1.88E-05"
"0.04","186.4448","0","5.6E-06","5.6E-06","2.24E-05","2.24E-05"
"0.05","186.441","0","5E-06","5E-06","2E-05","2E-05"
"0.06","186.4396","0","2.5E-06","2.5E-06","1E-05","1E-05"
"0.07","186.4406","0","-1.5E-06","-1.5E-06","-6.000001E-06","-6.000001E-06"
"0.08","186.4432","8.333333E-06","-6.6E-06","-6.6E-06","-2.64E-05","-2.64E-05"
"0.09","186.4484","8.333333E-06","-1.24E-05","-1.24E-05","-4.96E-05","-4.96E-05"
"0.1","186.455","1.666667E-05","-1.78E-05","-1.78E-05","-7.12E-05","-7.12E-05"
"0.11","186.4624","2.5E-05","-2.21E-05","-2.21E-05","-8.84E-05","-8.84E-05"
"0.12","186.4696","3.333333E-05","-2.53E-05","-2.53E-05","-0.0001012","-0.0001012"
"0.13","186.4768","5E-05","-2.71E-05","-2.71E-05","-0.0001084","-0.0001084"
"0.14","186.4844","5.833333E-05","-2.73E-05","-2.73E-05","-0.0001092","-0.0001092"
"0.15","186.4928","7.5E-05","-2.59E-05","-2.59E-05","-0.0001036","-0.0001036"
"0.16","186.5026","0.0001","-2.28E-05","-2.28E-05","-9.12E-05","-9.12E-05"
"0.17","186.515","0.0001166667","-1.84E-05","-1.84E-05","-7.36E-05","-7.36E-05"
"0.18","186.5312","0.0001416667","-1.29E-05","-1.29E-05","-5.16E-05","-5.16E-05"
"0.19","186.5522","0.000175","-6.8E-06","-6.8E-06","-2.72E-05","-2.72E-05"
"0.2","186.5786","0.0002083333","-6E-07","-6E-07","-2.4E-06","-2.4E-06"
"0.21","186.611","0.0002583333","5.4E-06","5.4E-06","2.16E-05","2.16E-05"
"0.22","186.6498","0.0003","1.13E-05","1.13E-05","4.52E-05","4.52E-05"
"0.23","186.6946","0.0003583333","1.64E-05","1.64E-05","6.56E-05","6.56E-05"
"0.24","186.7442","0.0004166667","2.01E-05","2.01E-05","8.04E-05","8.04E-05"
"0.25","186.797","0.0004666667","2.22E-05","2.22E-05","8.88E-05","8.88E-05"
"0.26","186.8514","0.0005166667","2.29E-05","2.29E-05","9.16E-05","9.16E-05"
"0.27","186.9066","0.0005666667","2.25E-05","2.25E-05","9E-05","9E-05"
