"1 _ 1",,,,,,"2 _ 3",,,,,,"3 _ 1",,,,,,"4 _ 1",,,,,
"时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)","时间","载荷","行程","引伸计1","引伸计1(应变)","行程(应变)"
"sec","N","mm","mm","%","%","sec","N","mm","mm","%","%","sec","N","mm","mm","%","%","sec","N","mm","mm","%","%"
"0","172.6288","0","0","0","0","0","546.5176","0","0","0","0","0","539.0764","0","0","0","0","0","518.9438","0","0","0","0"
"0.01","172.6314","8.333333E-06","6.2E-06","2.48E-05","1.515152E-05","0.01","546.5138","8.333333E-06","4.2E-06","1.68E-05","1.515152E-05","0.01","539.078","8.333333E-06","-5E-07","-2E-06","1.515152E-05","0.01","518.9534","8.333333E-06","2.7E-06","1.08E-05","1.515152E-05"
"0.02","172.6318","5E-05","1.25E-05","5E-05","9.09091E-05","0.02","546.5106","5E-05","7.7E-06","3.08E-05","9.09091E-05","0.02","539.0828","4.166667E-05","-1.2E-06","-4.8E-06","7.575758E-05","0.02","518.9618","4.166667E-05","4.8E-06","1.92E-05","7.575758E-05"
"0.03","172.631","0.0001","1.9E-05","7.6E-05","0.0001818182","0.03","546.5084","0.0001583333","1.1E-05","4.4E-05","0.0002878788","0.03","539.0894","0.0001166667","-1.6E-06","-6.4E-06","0.0002121212","0.03","518.9696","0.0001333333","5.7E-06","2.28E-05","0.0002424242"
"0.04","172.632","0.0002","2.55E-05","0.000102","0.0003636364","0.04","546.506","0.0004","1.41E-05","5.64E-05","0.0007272728","0.04","539.0964","0.0003416667","-1.1E-06","-4.4E-06","0.0006212121","0.04","518.98","0.0003416667","5.3E-06","2.12E-05","0.0006212121"
"0.05","172.6392","0.0003583333","3.18E-05","0.0001272","0.0006515151","0.05","546.5034","0.000625","1.7E-05","6.8E-05","0.001136364","0.05","539.1018","0.0005583334","2E-07","8E-07","0.001015152","0.05","519.0048","0.00055","4.1E-06","1.64E-05","0.0009999999"
"0.06","172.6602","0.0006083333","3.75E-05","0.00015","0.001106061","0.06","546.5014","0.0007916667","1.93E-05","7.72E-05","0.001439394","0.06","539.1042","0.0007416666","1.7E-06","6.8E-06","0.001348485","0.06","519.0696","0.000725","2.7E-06","1.08E-05","0.001318182"
"0.07","172.7012","0.0008583334","4.23E-05","0.0001692","0.001560606","0.07","546.4996","0.0009583333","2.11E-05","8.44E-05","0.001742424","0.07","539.1034","0.0009083333","2.4E-06","9.6E-06","0.001651515","0.07","519.2136","0.0008916667","2E-06","8E-06","0.001621212"
"0.08","172.7644","0.001058333","4.59E-05","0.0001836","0.001924242","0.08","546.4996","0.001116667","2.29E-05","9.16E-05","0.002030303","0.08","539.1008","0.001066667","1.8E-06","7.2E-06","0.001939394","0.08","519.4794","0.001058333","3.1E-06","1.24E-05","0.001924242"
"0.09","172.848","0.00125","4.8E-05","0.000192","0.002272727","0.09","546.5042","0.001266667","2.48E-05","9.92E-05","0.00230303","0.09","539.0984","0.001241667","-2E-07","-8E-07","0.002257576","0.09","519.9054","0.001225","6.6E-06","2.64E-05","0.002227273"
"0.1","172.9496","0.001425","4.82E-05","0.0001928","0.002590909","0.1","546.5192","0.001416667","2.65E-05","0.000106","0.002575758","0.1","539.0976","0.0014","-3.3E-06","-1.32E-05","0.002545455","0.1","520.519","0.001391667","1.33E-05","5.32E-05","0.002530303"
"0.11","173.0644","0.0016","4.68E-05","0.0001872","0.002909091","0.11","546.5528","0.001575","2.85E-05","0.000114","0.002863636","0.11","539.0998","0.001566667","-6.8E-06","-2.72E-05","0.002848485","0.11","521.3354","0.001566667","2.34E-05","9.36E-05","0.002848485"
"0.12","173.1874","0.001775","4.41E-05","0.0001764","0.003227273","0.12","546.6196","0.001716667","3.07E-05","0.0001228","0.003121212","0.12","539.1062","0.001733333","-1.03E-05","-4.12E-05","0.003151515","0.12","522.3594","0.001733333","3.67E-05","0.0001468","0.003151515"
"0.13","173.3134","0.001941667","4.11E-05","0.0001644","0.003530303","0.13","546.7384","0.001875","3.35E-05","0.000134","0.003409091","0.13","539.1172","0.0019","-1.37E-05","-5.48E-05","0.003454545","0.13","523.586","0.0019","5.3E-05","0.000212","0.003454545"
"0.14","173.4366","0.002108333","3.85E-05","0.000154","0.003833333","0.14","546.9306","0.002033333","3.71E-05","0.0001484","0.00369697","0.14","539.1334","0.002066667","-1.68E-05","-6.72E-05","0.003757576","0.14","525.003","0.002075","7.21E-05","0.0002884","0.003772727"
"0.15","173.5524","0.002275","3.64E-05","0.0001456","0.004136364","0.15","547.2194","0.002191667","4.13E-05","0.0001652","0.003984849","0.15","539.1542","0.002233333","-1.96E-05","-7.84E-05","0.004060606","0.15","526.5938","0.002241667","9.36E-05","0.0003744","0.004075758"
"0.16","173.6566","0.002441667","3.47E-05","0.0001388","0.004439394","0.16","547.6286","0.002358333","4.67E-05","0.0001868","0.004287879","0.16","539.1794","0.002383333","-2.21E-05","-8.84E-05","0.004333333","0.16","528.3396","0.002408333","0.0001168","0.0004672","0.004378788"
"0.17","173.7472","0.002608333","3.34E-05","0.0001336","0.004742424","0.17","548.1796","0.002533333","5.34E-05","0.0002136","0.004606061","0.17","539.2098","0.00255","-2.47E-05","-9.88E-05","0.004636364","0.17","530.2198","0.002575","0.000141","0.000564","0.004681818"
"0.18","173.824","0.002775","3.2E-05","0.000128","0.005045454","0.18","548.8882","0.0027","6.23E-05","0.0002492","0.004909091","0.18","539.2492","0.0027","-2.8E-05","-0.000112","0.004909091","0.18","532.2138","0.00275","0.0001667","0.0006668","0.005"
"0.19","173.8874","0.002941667","3.05E-05","0.000122","0.005348485","0.19","549.7653","0.002866667","7.4E-05","0.000296","0.005212121","0.19","539.307","0.002858333","-3.21E-05","-0.0001284","0.005196969","0.19","534.3026","0.002916667","0.0001941","0.0007764","0.00530303"
"0.2","173.9394","0.003108333","2.84E-05","0.0001136","0.005651515","0.2","550.815","0.003041667","8.9E-05","0.000356","0.005530303","0.2","539.3992","0.003016667","-3.72E-05","-0.0001488","0.005484849","0.2","536.4682","0.003083333","0.0002227","0.0008908","0.00560606"
"0.21","173.982","0.003275","2.56E-05","0.0001024","0.005954545","0.21","552.036","0.003208333","0.0001065","0.000426","0.005833333","0.21","539.5464","0.003166667","-4.26E-05","-0.0001704","0.005757576","0.21","538.694","0.00325","0.0002512","0.0010048","0.005909091"
"0.22","174.0164","0.003433333","2.19E-05","8.76E-05","0.006242425","0.22","553.4218","0.003375","0.0001256","0.0005024","0.006136364","0.22","539.7738","0.003325","-4.61E-05","-0.0001844","0.006045455","0.22","540.9674","0.003416667","0.0002784","0.0011136","0.006212122"
"0.23","174.0456","0.003591667","1.79E-05","7.16E-05","0.006530303","0.23","554.9624","0.00355","0.0001456","0.0005824","0.006454546","0.23","540.1062","0.003483333","-4.61E-05","-0.0001844","0.006333333","0.23","543.2772","0.003591667","0.000304","0.001216","0.006530303"
"0.24","174.075","0.003741667","1.44E-05","5.76E-05","0.006803031","0.24","556.6454","0.003716667","0.0001653","0.0006612","0.006757576","0.24","540.5658","0.00365","-4.16E-05","-0.0001664","0.006636364","0.24","545.6144","0.003758333","0.0003285","0.001314","0.006833334"
"0.25","174.1132","0.0039","1.23E-05","4.92E-05","0.007090909","0.25","558.4566","0.003883333","0.0001839","0.0007356","0.007060606","0.25","541.1724","0.003825","-3.24E-05","-0.0001296","0.006954546","0.25","547.9712","0.003925","0.0003525","0.00141","0.007136363"
"0.26","174.1718","0.004058334","1.24E-05","4.96E-05","0.007378788","0.26","560.3816","0.004058334","0.0002009","0.0008036001","0.007378788","0.26","541.9406","0.003991667","-1.93E-05","-7.72E-05","0.007257576","0.26","550.3412","0.004091667","0.0003766","0.0015064","0.007439394"
"0.27","174.2636","0.004225","1.46E-05","5.84E-05","0.007681819","0.27","562.4052","0.004225","0.0002175","0.00087","0.007681819","0.27","542.8792","0.004166667","-2.8E-06","-1.12E-05","0.007575758","0.27","552.7196","0.004258333","0.0004012","0.0016048","0.007742424"
"0.28","174.4038","0.004383333","1.82E-05","7.28E-05","0.007969698","0.28","564.5116","0.0044","0.0002346","0.0009384","0.007999999","0.28","543.991","0.004333334","1.69E-05","6.76E-05","0.007878788","0.28","555.104","0.004425","0.0004266","0.0017064","0.008045455"
"0.29","174.6088","0.004541667","2.26E-05","9.04E-05","0.008257576","0.29","566.6864","0.004566667","0.000253","0.001012","0.00830303","0.29","545.2732","0.0045","3.92E-05","0.0001568","0.008181819","0.29","557.4937","0.004591667","0.0004527","0.0018108","0.008348485"
"0.3","174.895","0.0047","2.65E-05","0.000106","0.008545455","0.3","568.917","0.004733333","0.0002733","0.0010932","0.008606061","0.3","546.7174","0.004675","6.34E-05","0.0002536","0.0085","0.3","559.8882","0.004766667","0.0004787","0.0019148","0.008666666"
"0.31","175.2778","0.004866667","2.99E-05","0.0001196","0.008848485","0.31","571.1924","0.0049","0.0002959","0.0011836","0.00890909","0.31","548.3134","0.004841667","8.92E-05","0.0003568","0.00880303","0.31","562.288","0.004933333","0.0005039","0.0020156","0.008969697"
"0.32","175.7716","0.005033333","3.31E-05","0.0001324","0.009151516","0.32","573.5048","0.005075","0.0003209","0.0012836","0.009227273","0.32","550.049","0.005008333","0.0001158","0.0004632","0.00910606","0.32","564.6918","0.0051","0.0005285","0.002114","0.009272728"
