"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0","536.6494","0","0","0","0","0"
"0.01","536.6452","0","2.2E-06","2.2E-06","8.8E-06","8.8E-06"
"0.02","536.6414","0","6.3E-06","6.3E-06","2.52E-05","2.52E-05"
"0.03","536.6394","0","1.15E-05","1.15E-05","4.6E-05","4.6E-05"
"0.04","536.6402","0","1.68E-05","1.68E-05","6.72E-05","6.72E-05"
"0.05","536.6442","0","2.08E-05","2.08E-05","8.32E-05","8.32E-05"
"0.06","536.6494","0","2.29E-05","2.29E-05","9.16E-05","9.16E-05"
"0.07","536.654","0","2.35E-05","2.35E-05","9.4E-05","9.4E-05"
"0.08","536.6578","8.333333E-06","2.35E-05","2.35E-05","9.4E-05","9.4E-05"
"0.09","536.66","8.333333E-06","2.36E-05","2.36E-05","9.44E-05","9.44E-05"
"0.1","536.6598","2.5E-05","2.42E-05","2.42E-05","9.68E-05","9.68E-05"
"0.11","536.6568","2.5E-05","2.48E-05","2.48E-05","9.92E-05","9.92E-05"
"0.12","536.6528","4.166667E-05","2.48E-05","2.48E-05","9.92E-05","9.92E-05"
"0.13","536.6494","5E-05","2.43E-05","2.43E-05","9.72E-05","9.72E-05"
"0.14","536.6452","6.666667E-05","2.37E-05","2.37E-05","9.48E-05","9.48E-05"
"0.15","536.64","7.5E-05","2.32E-05","2.32E-05","9.28E-05","9.28E-05"
"0.16","536.6342","0.0001","2.27E-05","2.27E-05","9.08E-05","9.08E-05"
"0.17","536.6286","0.0001166667","2.2E-05","2.2E-05","8.8E-05","8.8E-05"
"0.18","536.6236","0.0001416667","2.08E-05","2.08E-05","8.32E-05","8.32E-05"
"0.19","536.6194","0.000175","1.91E-05","1.91E-05","7.64E-05","7.64E-05"
"0.2","536.6158","0.0002166667","1.74E-05","1.74E-05","6.96E-05","6.96E-05"
"0.21","536.6136","0.0002583333","1.63E-05","1.63E-05","6.52E-05","6.52E-05"
"0.22","536.6124","0.0003083333","1.54E-05","1.54E-05","6.16E-05","6.16E-05"
"0.23","536.6122","0.0003583333","1.37E-05","1.37E-05","5.48E-05","5.48E-05"
"0.24","536.6124","0.0004083333","1.06E-05","1.06E-05","4.24E-05","4.24E-05"
"0.25","536.6128","0.0004583334","6E-06","6E-06","2.4E-05","2.4E-05"
"0.26","536.6132","0.0005083333","3E-07","3E-07","1.2E-06","1.2E-06"
"0.27","536.614","0.00055","-5.7E-06","-5.7E-06","-2.28E-05","-2.28E-05"
"0.28","536.616","0.0006","-1.13E-05","-1.13E-05","-4.52E-05","-4.52E-05"
"0.29","536.6192","0.0006416667","-1.63E-05","-1.63E-05","-6.52E-05","-6.52E-05"
"0.3","536.625","0.0006916667","-2.09E-05","-2.09E-05","-8.36E-05","-8.36E-05"
"0.31","536.6326","0.0007333333","-2.5E-05","-2.5E-05","-0.0001","-0.0001"
"0.32","536.6414","0.0007833333","-2.77E-05","-2.77E-05","-0.0001108","-0.0001108"
"0.33","536.6504","0.0008333334","-2.81E-05","-2.81E-05","-0.0001124","-0.0001124"
"0.34","536.6598","0.0008833333","-2.57E-05","-2.57E-05","-0.0001028","-0.0001028"
"0.35","536.668","0.0009416667","-2.09E-05","-2.09E-05","-8.36E-05","-8.36E-05"
"0.36","536.6732","0.0009916667","-1.5E-05","-1.5E-05","-5.999999E-05","-5.999999E-05"
"0.37","536.6752","0.001058333","-9E-06","-9E-06","-3.6E-05","-3.6E-05"
"0.38","536.6736","0.001116667","-3.3E-06","-3.3E-06","-1.32E-05","-1.32E-05"
"0.39","536.6682","0.001175","2.1E-06","2.1E-06","8.4E-06","8.4E-06"
"0.4","536.6596","0.001241667","7.9E-06","7.9E-06","3.16E-05","3.16E-05"
"0.41","536.6494","0.001308333","1.4E-05","1.4E-05","5.6E-05","5.6E-05"
"0.42","536.64","0.001375","2.01E-05","2.01E-05","8.04E-05","8.04E-05"
"0.43","536.6328","0.001441667","2.61E-05","2.61E-05","0.0001044","0.0001044"
"0.44","536.6282","0.001516667","3.13E-05","3.13E-05","0.0001252","0.0001252"
"0.45","536.6262","0.001583333","3.51E-05","3.51E-05","0.0001404","0.0001404"
"0.46","536.6272","0.001658333","3.7E-05","3.7E-05","0.000148","0.000148"
"0.47","536.6302","0.001733333","3.7E-05","3.7E-05","0.000148","0.000148"
"0.48","536.6338","0.001808333","3.55E-05","3.55E-05","0.000142","0.000142"
"0.49","536.6382","0.001891667","3.31E-05","3.31E-05","0.0001324","0.0001324"
"0.5","536.6436","0.001966667","3.03E-05","3.03E-05","0.0001212","0.0001212"
"0.51","536.65","0.00205","2.73E-05","2.73E-05","0.0001092","0.0001092"
"0.52","536.658","0.002125","2.46E-05","2.46E-05","9.840001E-05","9.840001E-05"
"0.53","536.6688","0.002208333","2.24E-05","2.24E-05","8.96E-05","8.96E-05"
"0.54","536.683","0.002291667","2.09E-05","2.09E-05","8.36E-05","8.36E-05"
"0.55","536.7032","0.002375","1.98E-05","1.98E-05","7.92E-05","7.92E-05"
