id,section,kp,kp_name,source,path,image_path,question
Q0030,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2004 - 2004\2004工程力学期中考试.doc,D:\虚拟C盘\学习\固体力学\考题\2004\2004工程力学期中考试.doc,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2004_2004工程力学期中考试\q-001.png,"一、(30分) 两端简支梁AD长,AB端上为线性分布载荷,A端最小载荷集度为零,B端最大载荷集度为q0,在C处作用一个集中载荷P,q0=P/L,试求: a) A端和D端的约束力; c) 画出剪力和弯矩图。 b) 写出梁的剪力和弯矩方程;"
Q0035,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2004 - 2004\2004年期中（1）.pdf,D:\虚拟C盘\学习\固体力学\考题\2004\2004年期中（1）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2004_2004年期中_1\q-003.png,"三、(30 分) 5 两端简支梁 AD 长 L ,AB 端上 3 为线性分布载荷,A 端最小载荷 集度为零,B 端最大载荷集度为 q0,在 C 处作用一个集中载荷 P, 梁的弹性模量 E 和惯性矩 I 已知, 试求: a) A 端和 D 端的约束力; b) 写出梁的剪力和弯矩方程; c) 画出剪力和弯矩图; d) 写出梁的挠度积分方程式,不 用求解积分方程。"
Q0037,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2004 - 2004\2004年期中（2）.pdf,D:\虚拟C盘\学习\固体力学\考题\2004\2004年期中（2）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2004_2004年期中_2\q-001.png,"一、(30 分) 5 两端简支梁 AD 长 L ,AB 3 端上为线性分布载荷,A 端 最小载荷集度为零,B 端最 大载荷集度为 q0,在 C 处作 用 一 个 集中载 荷 P , q0 = P/L,试求: a) A 端和 D 端的约束力; b) 写出梁的剪力和弯矩方程; c) 画出剪力和弯矩图。"
Q0050,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2004 - 2004\2004秋季工程力学期中考试.doc,D:\虚拟C盘\学习\固体力学\考题\2004\2004秋季工程力学期中考试.doc,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2004_2004秋季工程力学期中考试\q-003.png,"三、(30分) 两端简支梁AD长,AB端上为线性分布载荷,A端最小载荷集度为零,B端最大载荷集度为q0,在C处作用一个集中载荷P,梁的弹性模量E和惯性矩I已知,试求: a) A端和D端的约束力; b) 写出梁的剪力和弯矩方程; c) 画出剪力和弯矩图; d) 写出梁的挠度积分方程式,不用求解积分方程。"
Q0064,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2005 - 2005\2005材力期中试题.doc,D:\虚拟C盘\学习\固体力学\考题\2005\2005材力期中试题.doc,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2005_2005材力期中试题\q-001.png,"1.如图所示,某人体重为P,从梁的A端走向B段。试写出他在任意位置x时,梁的剪力和弯矩表达式;求出当弯矩取最大值时该人所在的位置,并画出相应的剪力图和弯矩图。(25分)"
Q0082,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2008 - 2008\2008年期中.pdf,D:\虚拟C盘\学习\固体力学\考题\2008\2008年期中.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2008_2008年期中\q-001.png,"1. 试画出图示梁的剪力图和弯矩图,并确定 | FQ | max 、 M max 和相应的发生位置。 (25 分)"
Q0083,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2008 - 2008\2008年期中.pdf,D:\虚拟C盘\学习\固体力学\考题\2008\2008年期中.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2008_2008年期中\q-002.png,"2.如图所示,某人体重为 P,从梁的 A 端走向 B 段。试写出他在任意位置 x 时,梁 的剪力和弯矩表达式;求出当弯矩取最大值时该人所在的位置,并画出相应的剪 力图和弯矩图。(25 分) A b B x x l 2l"
Q0086,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009年期中.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009年期中.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009年期中\q-001.png,"1、 (a)外伸梁如图 1 所示,写出内力方程,并画内力图。 (10 分) 图1 (b)梁 AB 和梁 AC 在 B 点由铰链连接,载荷及几何尺寸如图 2 所示,其中 a,q,m 和 F (10 分) 为已知量。求该梁的内力方程,并画出剪力图和弯矩图。 图2"
Q0100,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-010.png,2.( 15 试)[本题得试______] 抄梁考FS 、M 图) q qa2 q a a [计算题-第2题图]
Q0105,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-015.png,2. ( 15 本) 本本如图示 FS (一) qa qa2 /2 M (十) qa2 /2 [计算题-第2题图]
