"Topic","PdfPage","PageType","Chapter","PPT文件","Slide","Note","Image"
"拉压专题","1","思考","第1章 拉伸压缩与材料力学性质","固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.ppt","36","为什么研究应力","slides_png\拉压专题\001_slide036_固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.png"
"拉压专题","2","思考","第1章 拉伸压缩与材料力学性质","固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.ppt","40","为什么研究应变","slides_png\拉压专题\002_slide040_固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.png"
"拉压专题","3","思考","第1章 拉伸压缩与材料力学性质","固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.ppt","44","正应变、剪应变单位问题","slides_png\拉压专题\003_slide044_固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.png"
"拉压专题","4","题链","第1章 拉伸压缩与材料力学性质","固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.ppt","48","轴力与轴力图题链","slides_png\拉压专题\004_slide048_固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.png"
"拉压专题","5","题链","第1章 拉伸压缩与材料力学性质","固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.ppt","49","轴力与轴力图题链","slides_png\拉压专题\005_slide049_固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.png"
"拉压专题","6","题链","第1章 拉伸压缩与材料力学性质","固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.ppt","50","轴力与轴力图题链","slides_png\拉压专题\006_slide050_固体力学基础第1章－概述：拉伸、压缩与材料的力学性质.png"
"拉压专题","7","题干","第4章 剪力图弯矩图与弯曲变形中的轴力图扩展","固体力学基础第4章-剪力图、弯矩图与弯曲变形分析.ppt","52","刚架内力图例题题干","slides_png\拉压专题\007_slide052_固体力学基础第4章-剪力图、弯矩图与弯曲变形分析.png"
"拉压专题","8","续页","第4章 剪力图弯矩图与弯曲变形中的轴力图扩展","固体力学基础第4章-剪力图、弯矩图与弯曲变形分析.ppt","61","刚架轴力图续页","slides_png\拉压专题\008_slide061_固体力学基础第4章-剪力图、弯矩图与弯曲变形分析.png"
"拉压专题","9","续页","第4章 剪力图弯矩图与弯曲变形中的轴力图扩展","固体力学基础第4章-剪力图、弯矩图与弯曲变形分析.ppt","62","刚架轴力图续页","slides_png\拉压专题\009_slide062_固体力学基础第4章-剪力图、弯矩图与弯曲变形分析.png"
"拉压专题","10","开放案例","第5章 弯曲刚度中的温度约束拉压杆","固体力学基础第5章－弯曲刚度.ppt","114","温升约束杆件是否产生应力","slides_png\拉压专题\010_slide114_固体力学基础第5章－弯曲刚度.png"
"拉压专题","11","开放案例","第5章 弯曲刚度中的温度约束拉压杆","固体力学基础第5章－弯曲刚度.ppt","115","温升约束杆件是否产生应力","slides_png\拉压专题\011_slide115_固体力学基础第5章－弯曲刚度.png"
"拉压专题","12","思考","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","7","拉杆斜截面剪应力问题","slides_png\拉压专题\012_slide007_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","13","思考","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","13","低碳钢/铸铁拉伸试验现象","slides_png\拉压专题\013_slide013_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","14","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","101","强度条件问题提出：由简单拉伸推广","slides_png\拉压专题\014_slide101_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","15","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","102","强度条件问题提出：由简单拉伸推广","slides_png\拉压专题\015_slide102_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","16","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","103","强度条件问题提出：由简单拉伸推广","slides_png\拉压专题\016_slide103_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","17","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","104","强度条件问题提出：由简单拉伸推广","slides_png\拉压专题\017_slide104_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","18","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","106","最大拉应力准则题链","slides_png\拉压专题\018_slide106_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","19","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","107","最大拉应力准则题链","slides_png\拉压专题\019_slide107_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","20","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","108","最大拉应力准则题链","slides_png\拉压专题\020_slide108_固体力学基础第7章-应力状态，应力张量，平衡.png"
