time_s,px_per_cm,crests_px,distances_cm,mean_distance_cm,n_distances
20.00,23.5900,391,,,0
20.50,23.5100,443,,,0
21.00,23.5900,502,,,0
21.50,23.5100,85;549,19.736,19.736,1
22.00,23.5100,136;624,20.757,20.757,1
22.50,23.5100,193;693,21.268,21.268,1
23.00,23.5100,253;744,20.885,20.885,1
23.50,23.5100,306;564;767,10.974;8.635,9.804,2
24.00,23.5100,367;568;833,8.550;11.272,9.911,2
24.50,23.5100,426;561,5.742,5.742,1
25.00,23.5100,483,,,0
25.50,23.5100,96;329;543,9.911;9.103,9.507,2
26.00,23.5100,150;566,17.695,17.695,1
26.50,23.5900,209;571,15.345,15.345,1
27.00,23.5100,270;688,17.780,17.780,1
27.50,23.5900,327;737,17.380,17.380,1
28.00,23.5100,386;820,18.460,18.460,1
28.50,23.5900,442;863,17.847,17.847,1
29.00,23.5100,312;498,7.912,7.912,1
29.50,23.5100,129;549,17.865,17.865,1
30.00,23.5900,182;383;573,8.521;8.054,8.287,2
30.50,23.5900,229;667,18.567,18.567,1
31.00,23.5900,301;573;724,11.530;6.401,8.966,2
31.50,23.5900,357;571;763,9.072;8.139,8.605,2
32.00,23.5100,414;567;840,6.508;11.612,9.060,2
32.50,23.5900,464;852,16.448,16.448,1
33.00,23.5900,512;787,11.657,11.657,1
33.50,23.5100,126;400;572,11.655;7.316,9.485,2
34.00,23.5100,176;639,19.694,19.694,1
34.50,23.5100,229;650,17.907,17.907,1
35.00,23.5100,294;592,12.675,12.675,1
35.50,23.5100,355;572;794,9.230;9.443,9.336,2
36.00,23.5100,415;846,18.333,18.333,1
36.50,23.5100,451,,,0
37.00,23.5100,368;543,7.444,7.444,1
37.50,23.5100,144;574,18.290,18.290,1
38.00,23.5000,202;574,15.830,15.830,1
38.50,23.5100,225;693,19.906,19.906,1
39.00,23.5100,294;729,18.503,18.503,1
39.50,23.4300,359;573;786,9.134;9.091,9.112,2
40.00,23.5100,417;578;855,6.848;11.782,9.315,2
40.50,23.5100,299;474,7.444,7.444,1
41.00,23.5100,520,,,0
41.50,23.5100,142;573,18.333,18.333,1
42.00,23.5900,207;642,18.440,18.440,1
42.50,23.5900,266;699,18.355,18.355,1
43.00,23.5900,321;736,17.592,17.592,1
43.50,23.5900,387;794,17.253,17.253,1
44.00,23.5900,451;864,17.507,17.507,1
44.50,23.5100,507,,,0
45.00,23.5100,544,,,0
45.50,23.4300,112;624,21.852,21.852,1
46.00,23.5100,217;686,19.949,19.949,1
46.50,23.5900,268;569;737,12.760;7.122,9.941,2
47.00,23.5900,304;773,19.881,19.881,1
47.50,23.5900,362;579;848,9.199;11.403,10.301,2
48.00,23.5900,423;562,5.892,5.892,1
48.50,23.5900,83;479,16.787,16.787,1
49.00,23.5100,519,,,0
49.50,23.5900,174;569;848,16.744;11.827,14.286,2
50.00,23.5900,248;640,16.617,16.617,1
