term,in_sources,in_v11
虹吸,v106+v108,True
泵安装高度,v106+v108,True
汽蚀,v106+v108,True
水轮机,v106+v108+complete_original,True
串联,v106+v108,True
突扩,v106+v108+complete_original,True
孔板,v106+v108,True
文丘里,v106+v108,True
液面随时间,v106+v108,True
平面闸门,v106+v108,True
圆柱体,complete_original,True
真空吸水,complete_original,True
喷嘴,v106+v108+complete_original,True
法兰,v106+v108+complete_original,True
弯管,v106+v108,True
支座力,v106+v108,True
射流,v106+v108,True
烟囱,complete_original,True
U 型管,complete_original,True
振荡,v106+v108+complete_original,True
点源,v106+v108+complete_original,True
点汇,v106+v108+complete_original,True
点涡,v106+v108+complete_original,True
偶极子,v106+v108+complete_original,True
镜像,v106+v108+complete_original,True
Rankine,v106+v108,True
圆柱绕流,v106+v108+complete_original,True
环量,v106+v108+complete_original,True
机翼,v106+v108,True
半圆柱,v106+v108+complete_original,True
气膜馆,v106+v108+complete_original,True
达朗贝尔,v106+v108,True
Kutta,v106+v108,True
Laval,v106+v108+complete_original,True
拉伐尔,complete_original,False
阻塞,v106+v108+complete_original,True
背压,v106+v108+complete_original,True
面积,v106+v108+complete_original,True
马赫,v106+v108+complete_original,True
正激波,v106+v108+complete_original,True
斜激波,v106+v108+complete_original,True
PM,v106+v108,True
Prandtl,v106+v108,True
Meyer,v106+v108,True
Fanno,v106+v108,True
等熵,v106+v108+complete_original,True
质量流量,v106+v108+complete_original,True
Couette,v106+v108+complete_original,True
Poiseuille,v106+v108,True
Stokes,v106+v108+complete_original,True
两层,v106+v108+complete_original,True
倾斜平板,v106+v108+complete_original,True
充分发展,v106+v108,True
摩擦速度,v106+v108,True
N-S,v106+v108,True
边界层,v106+v108+complete_original,True
平板,v106+v108+complete_original,True
阻力危机,v106+v108+complete_original,True
气球,v106+v108+complete_original,True
沉降,v106+v108+complete_original,True
位移厚度,v106+v108,True
动量厚度,v106+v108,True
Von Karman,v106+v108,True
转捩,v106+v108,True
应力张量,v106+v108+complete_original,True
速度场,v106+v108+complete_original,True
不可压,v106+v108+complete_original,True
无旋,v106+v108+complete_original,True
势函数,v106+v108,True
流函数,v106+v108+complete_original,True
散度,v106+v108+complete_original,True
旋度,v106+v108,True
速度环量,v106+v108+complete_original,True
量纲,v106+v108+complete_original,True
Buckingham,v106+v108,True
模型,v106+v108+complete_original,True
相似,v106+v108+complete_original,True
Re,v106+v108+complete_original,True
Fr,v106+v108,True
Ma,v106+v108+complete_original,True
水击,v106+v108,True
明渠,v106+v108,True
RANS,v106+v108,True
LES,v106+v108,True
DNS,v106+v108,True
连续介质,v106+v108+complete_original,True
Bernoulli,v106+v108,True
流线,v106+v108+complete_original,True
迹线,v106+v108+complete_original,True
脉线,v106+v108,True
非定常,v106+v108+complete_original,True
