"LineNumber","Line"
"48","\newcommand{\chap}[1]{\mt{#1}}"
"57","\newcommand{\mother}[1]{\mt{#1}}"
"107","\mt{母题0 新卷快速定位：题干词 $\to$ 主方程 $\to$ 检查}"
"108","\qt{子题：考场看到新题，先用 20 秒判断应落到哪一个母题。}"
"109","\ans{液面/水池/管/泵/阀/水轮机 $\to$ 母题1；闸门/U管/曲面/浮体 $\to$ 母题2；喷嘴/弯管/射流/叶片/支座力 $\to$ 母题3；$\phi,\psi,Q,\Gamma,$ 圆柱/机翼/镜像 $\to$ 母题4；$p_0,T_0,M,A^*,p_b,$ 喷管 $\to$ 母题5；黏度/充分发展/两平板/圆管层流 $\to$ 母题6；平板边界层/$C_f,C_D$/沉降/风载 $\to$ 母题7；速度场/散度/旋度/应力张量 $\to$ 母题8；量纲/模型/相似/水击/水波 $\to$ 母题9；证明/解释/定义 $\to$ 母题10。}"
"110","\ans{\textbf{旧版素材审计归位：}v106/v108的6页内容不单列：管路/静水/CV三块归母题1--3；势流基本流、镜像、圆柱、环量、半圆柱气膜馆归母题4；等熵Ma链、阻塞、最大流量、面积--马赫双支、汞柱反背压、三临界背压、内/外激波归母题5；H--P、Couette、Stokes、壁律、雷诺应力、边界层阻力归母题6--7；速度场、应力张量、量纲相似、水击水波归母题8--9/16。重整版五的21个母题被压成“完整题干+子题/变式+公式链+易错”贴在对应母题后；看到旧版标题时不要翻目录，直接进对应母题的真题链。}"
"111","\qt{子题：每道计算题的标准落笔骨架。}"
"114","\qt{子题：查表题不要空，写“输入--输出--回代”。}"
"119","\mt{母题1 两油箱变径突扩钢管：管路 PVZ + 局损 + 沿程 + Re}"
"127","\qt{子题：离心泵吸水管，镀锌钢管 $e=0.15$mm，$L=6$m，$D=100$mm，弯头 $\zeta=0.29$，入口阀 $\zeta=2.5$，$Q=50$m$^3$/h，$p_v=19.6$kPa，$p_a=101.3$kPa，入口压至少比汽化压大 $20$kPa，求最大安装高度。}"
"131","\qt{子题：水轮机管路，斜管 $D=20$cm、$L=30$m，水平管 $D=30$cm、$L=15$m，水温 $10^\circ$C，$\nu=1.3\times10^{-6}$，铸铁 $e=0.25$mm，忽略局部损失，斜管平均速度 $2$m/s，压力表 $70$kPa，求输出功率。}"
"135","\qt{子题：两水槽光滑管和粗糙管反推粗糙度。$D=10$cm、$L=200$m 水平管连两 $20^\circ$C 水槽，水位 $800$m 与 $650$m。问光滑管流量；若粗糙管实际 $Q=100$m$^3$/h，问平均粗糙度。}"
"138","\qt{子题：2006 期末粗糙圆管放水。水池有 $20^\circ$C 水 $1$m$^3$，底部接相对粗糙度 $\varepsilon/D\approx0.0012$ 的粗糙圆管，求出口流量 $Q$；若换 SAE 10W30 油，判出口层流/湍流。}"
"145","\qt{子题：开口水箱/普通池底放水管、虹吸管、并联/分支、泵管路四类 Pipe Flow 定位。}"
"147","\ans{\textbf{母题1覆盖确认：} 两油箱变径突扩15分题、普通开口水箱放水、虹吸/泵吸入口防汽蚀、并联/分支管路、泵扬程/水轮机功率、粗糙管反推粗糙度、孔板/文丘里流量计、液面随时间下降，都归到这一母题；共同骨架都是 $A\to V\to Re\to\lambda/\zeta\to h_L\to Q,p,H,P$。}"
"150","\qt{子题：管路五类题考场套写卡，看到图后直接选一行。}"
"154","\qt{子题：孔板/文丘里/喷嘴流量计，给压差 $\Delta p$、管径 $d$、孔径 $d_0$，求 $Q$。}"
"159","\qt{子题：液面随时间变化的放水题，求排空时间或液面下降规律。}"
"164","\qt{子题：管路母题扩展题库，水池/管路/泵阀/分支怎么套}"
"201","\qt{子题：管路与基础读题训练合集，按图形直接落笔}"
"295","\subq{两油箱变径管：已知液面差h/H/管径/局损，求Q、$p_A$、$p_B$}"
"413","\subq{小孔水箱：已知水头H/孔面积/系数，求V、Q、放空时间}"
"415","\subq{U管振荡：已知总液柱长L/初始液面差，求周期T、速度}"
"418","% ---- 母题1归位：静水/CV/管路/通用检查 ----"
"445","\subq{流量计：已知压差/管径/系数，求V或Q}"
"447","\subq{虹吸管：已知几何高差/管损/汽化压，求最高点压力或是否断流}"
"449","\subq{弯管受力：已知Q/管径/进出口压强/转角，求支座反力}"
"451","\subq{射流冲板：已知射流V/Q与板运动，求冲击力/功率}"
"453","\subq{喷嘴/水枪反力：已知入口压强/出口速度/流量，求握持力}"
"465","\subq{泵吸水安装高度：已知Q/管径/损失/汽化压，求最大安装高度}"
"467","\subq{水轮机功率：已知上下游水头/流量/损失，求$H_T$与输出功率}"
"477","\subq{泵汽蚀：已知水面到泵入口管路，求最大zB或是否汽蚀}"
"479","\subq{泵/水轮机管路：已知Q/压表/高差/损失，求扬程或功率}"
"541","\subq{玻璃弯管放水：已知管形/初始水位/阀门，求压强分布和排空时间}"
"554","\subq{弯玻璃管放水：已知竖直段/倾斜段/阀门，求静压和排空时间}"
"582","\subq{闸门铰链：已知水深/闸门尺寸/铰点，求合力、压力中心、拉力}"
"584","\subq{曲面闸门/浮体：已知曲面几何和水深，求水平/竖直分力或浮力}"
"586","\subq{U管相对平衡：已知容器加速度/旋转，求液面差或压差}"
"592","\subq{管路泵题：已知Q、管径、粗糙度、局损，求泵扬程/压强}"
"594","\subq{水轮机压表题：已知压表/流量/高差，求水头和输出功率}"
"596","\subq{流量计：已知压差/流量系数，求流速或流量}"
"783","\subq{喷嘴法兰：已知$p_1$,$p_2$,Q,A，求法兰/螺栓受力}"
"791","\subq{自由涡压差：已知环量/半径，求两点压差或液面凹陷}"
"793","\subq{强迫涡压差：已知角速度/半径，求压差或自由面高度差}"
"795","\subq{气球受风：已知浮力/风速/阻力系数，求绳偏角}"
"968","\qt{子题：普通水池--短管/长管放水，求 $Q$ 或水位差。}"
"970","\qt{子题：虹吸管/离心泵吸水安装高度，求最大 $h$ 防汽蚀。}"
"972","\qt{子题：水轮机/泵在管路中，求功率、扬程或输出压力。}"
"974","\qt{子题：串联/并联管路，求分流量或总水头。}"
"976","\qt{子题：粗糙管/湍流摩阻迭代，题给 Colebrook 或 Moody。}"
"978","\warn{母题1收口：管路题 80\% 的分来自“截面编号 + PVZ 方程 + 每段速度/损失分开算 + 表压绝压检查”。算不完也要把 $Q\to V\to Re\to\lambda\to h_L$ 链写全。}"
"980","\mt{母题2 静水压、测压管、曲面与浮力}"
