topic,source_file,copied_to,exists,bytes,item_count
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\01_工程流体力学期末考试及答案.pdf,True,305876,2
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\期末试题\流体力学2022春期末考试试题.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\02_流体力学2022春期末考试试题.pdf,True,410888,2
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第二章流体静力学补充例题1.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\03_第二章流体静力学补充例题1.doc,True,119296,1
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第二章流体静力学补充例题2.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\04_第二章流体静力学补充例题2.doc,True,83456,2
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第四章流体动力学补充例题1.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\05_第四章流体动力学补充例题1.doc,True,169984,1
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 静力学-1.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\06_第二章 静力学-1.doc,True,309248,4
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 静力学-补充例题.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\07_第二章 静力学-补充例题.doc,True,83456,2
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第四章 动力学-1.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\08_第四章 动力学-1.doc,True,102400,3
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第四章 动力学-补充例题.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\09_第四章 动力学-补充例题.doc,True,169984,1
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\题库\习题\流体力学习题.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\10_流体力学习题.pdf,True,106858,7
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\11_第5章理想流体_原题练习汇总_完整解答版.tex,True,26707,1
静水压力/测压/闸门,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\01_静水压力_测压_闸门\原始文件副本\12_流体力学教材_text.txt,True,877683,14
