topic,source_file,copied_to,exists,bytes,item_count
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\01_工程流体力学期末考试及答案.pdf,True,305876,2
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\期末试题\流体力学2022春期末考试试题.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\02_流体力学2022春期末考试试题.pdf,True,410888,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第三章流体运动学例题1.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\03_第三章流体运动学例题1.doc,True,119296,4
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第三章流体运动学例题2.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\04_第三章流体运动学例题2.doc,True,58368,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第二章流体静力学补充例题2.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\05_第二章流体静力学补充例题2.doc,True,83456,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第三章 运动学.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\06_第三章 运动学.doc,True,61440,2
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 静力学-补充例题.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\07_第二章 静力学-补充例题.doc,True,83456,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\何枫第5章_按课件内容匹配题目_最终纠正版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\08_何枫第5章_按课件内容匹配题目_最终纠正版.pdf,True,6850171,4
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\何枫第5章_按课件内容匹配题目_最终纠正版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\09_何枫第5章_按课件内容匹配题目_最终纠正版.tex,True,14160,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\10_第5章理想流体_原题练习汇总_完整解答版.pdf,True,189516,7
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\11_第5章理想流体_原题练习汇总_完整解答版.tex,True,26707,7
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\12_第5章理想流体_原题练习汇总_答案版.pdf,True,115268,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\13_第5章理想流体_原题练习汇总_答案版.tex,True,9778,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\14_第5章理想流体_补充练习题单.pdf,True,99901,6
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\15_第5章理想流体_补充练习题单.tex,True,7293,3
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\16_第5章第6章流体力学作业_标准教案.pdf,True,133095,5
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\17_第5章第6章流体力学作业_标准教案.tex,True,15411,7
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整答案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\18_第8章粘性流动作业1_完整答案.pdf,True,90044,1
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整题目.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\19_第8章粘性流动作业1_完整题目.pdf,True,1609401,2
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整题目.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\20_第8章粘性流动作业1_完整题目.tex,True,3663,2
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\21_第8章粘性流动作业_补全笔记.pdf,True,110679,2
流体运动学/连续/流线迹线,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\03_流体运动学_连续_应力张量\原始文件副本\22_第8章粘性流动作业_补全笔记.tex,True,9720,1
