topic,source_file,copied_to,exists,bytes,item_count
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\题库\期末试题\流体力学2022春期末考试试题.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\01_流体力学2022春期末考试试题.pdf,True,410888,1
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\02_2003上海交大流体力学期末试题及答案.pdf,True,197755,2
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\03_第5章理想流体_原题练习汇总_完整解答版.pdf,True,189516,14
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\04_第5章理想流体_原题练习汇总_完整解答版.tex,True,26707,13
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\05_第5章理想流体_原题练习汇总_答案版.pdf,True,115268,5
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\06_第5章理想流体_原题练习汇总_答案版.tex,True,9778,3
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\07_第5章理想流体_补充练习题单.pdf,True,99901,1
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\08_第5章理想流体_补充练习题单.tex,True,7293,9
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\09_第5章第6章流体力学作业_标准教案.pdf,True,133095,1
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\10_第5章第6章流体力学作业_标准教案.tex,True,15411,3
势流/圆柱/镜像/升力,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\04_势流_无旋_圆柱_镜像_升力\原始文件副本\11_流体力学教材_text.txt,True,877683,14
