topic,source_file,copied_to,exists,bytes,item_count
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\01_工程流体力学期末考试及答案.pdf,True,305876,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\题库\期末试题\流体力学2022春期末考试试题.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\02_流体力学2022春期末考试试题.pdf,True,410888,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\03_2003上海交大流体力学期末试题及答案.pdf,True,197755,2
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 静力学-1.doc,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\04_第二章 静力学-1.doc,True,309248,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\05_第5章理想流体_原题练习汇总_完整解答版.pdf,True,189516,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\06_第5章理想流体_原题练习汇总_完整解答版.tex,True,26707,2
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\07_第5章理想流体_原题练习汇总_答案版.pdf,True,115268,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\08_第5章理想流体_原题练习汇总_答案版.tex,True,9778,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.tex,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\09_第5章第6章流体力学作业_标准教案.tex,True,15411,1
边界层/外绕流阻力,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整题目.pdf,D:\虚拟C盘\学习\流体力学\期末练习题_按题型整理\07_边界层_外绕流阻力\原始文件副本\10_第8章粘性流动作业1_完整题目.pdf,True,1609401,3
