group,path,status,extracted_text,char_count,candidate_count,note
往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006.6流体力学期末真题.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__期末试题__2006.6流体力学期末真题.doc.txt,862,2,Word COM text gb18030
往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2006年流体力学期末试卷.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__期末试题__2006年流体力学期末试卷.doc.txt,937,2,Word COM text gb18030
往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2007.7流体力学期末真题及答案.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__期末试题__2007.7流体力学期末真题及答案.pdf.txt,158,1,pypdf
往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\2022李玲流力期末.docx,low_text,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__期末试题__2022李玲流力期末.docx.txt,4,0,python-docx
往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\工程流体力学期末考试及答案.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__期末试题__工程流体力学期末考试及答案.pdf.txt,926,10,pdftotext
往年期末题-主目录,D:\虚拟C盘\学习\流体力学\题库\期末试题\流体力学2022春期末考试试题.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__期末试题__流体力学2022春期末考试试题.pdf.txt,1929,19,pdftotext
往年期末题-其他目录,D:\虚拟C盘\学习\流体力学\题库\其他试题\2003上海交大流体力学期末试题及答案.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__其他试题__2003上海交大流体力学期末试题及答案.pdf.txt,9814,11,pdftotext
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第三章流体运动学例题1.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-1__第三章流体运动学例题1.doc.txt,548,4,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第三章流体运动学例题2.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-1__第三章流体运动学例题2.doc.txt,300,1,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第二章流体静力学补充例题1.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-1__第二章流体静力学补充例题1.doc.txt,887,1,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第二章流体静力学补充例题2.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-1__第二章流体静力学补充例题2.doc.txt,621,4,Word COM text gb18030
